start	end	duration	text
1490	5020	3530	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6530	9340	2810	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
9450	11300	1850	Das macht an diesem Freitag Schlagzeilen:
13110	17380	4270	Christoph Blocher will sich auf seine Mission gegen die EU konzentrieren.
19900	25140	5240	Stadler Rail erhält den Milliarden- Auftrag für die neuen NEAT-Züge.
27250	32060.000000000004	4810	Präsident Putin feiert den Sieg über Hitlerdeutschland
32140	33940	1800	auf der annektierten Krim.
35730	39820	4090	Die Schweiz verliert gegen Russland mit 0:5.
41160	43460	2300	Dazu mild bei rund 22 °C.
46430	49340	2910	Diesen Schweizer Politiker kennt man sogar im Ausland.
49490	53500	4010	Und im Inland gilt er als eine der prägendsten Politfiguren überhaupt:
53580	55340	1760	Christoph Blocher.
55510	58420	2910	Heute Morgen hat der alt Bundesrat auf seiner Website Teleblocher
58570	62060	3490	seinen Rücktritt als Nationalrat bekannt gegeben.
62140	64660	2520	Für ihn ein logischer Schritt:
64739.99999999999	67940	3200	Ich war nie begeisterter Parlamentarier, muss ich sagen.
68160	71140	2980	Es war immer langweilig. Ich habe oft gelitten.
71289.99999999999	75820	4530	Aber ich habe es immer gemacht. Nun ist es aber zweitrangig geworden.
76020	83470	7450	Darum mache ich das ausserhalb, das ist politisch jetzt wichtiger.
83630	87350	3720	Christoph Blocher will sich jetzt ganz auf sein Kerngeschäft,
87510	91030	3520	den Kampf gegen eine Annäherung an die EU, konzentrieren.
91140	92830	1690	Viviane Manz berichtet.
94580	98710.00000000001	4130	Es sind die vorläufig letzten Bilder von Christoph Blocher im Nationalrat.
98870	101810	2940	Er will wieder auf der Strasse gegen die EU kämpfen -
101990.00000000001	108210.00000000001	6220	so wie gegen den EWR, den er 1992 in einer Volksabstimmung gebodigt hatte.
108420	111970	3550	Jetzt brauche er erneut alle Zeit für den Kampf gegen die EU-Annäherung,
112060	117250	5190	"begründet er seinen Rücktritt in seiner Sendung ""Teleblocher""."
117350	119810	2460	Ich konzentriere mich jetzt darauf.
119950	121890	1940	Und wenn ich mich darauf konzentriere,
122070	124690	2620	muss ich etwas weglassen - etwas weglassen.
124940	127250	2310	Das am wenigsten Wichtige. Und was ist das?
127330	131090	3760	Die parlamentarische Arbeit.
131260	134690	3430	Fast 4 Jahrzehnte politisierte Christoph Blocher im Bundeshaus -
134920	138810	3890	sein Rücktritt aus dem Nationalrat kommt überraschend.
139040	141890	2850	Gesundheitliche oder familiäre Gründe spielten aber keine Rolle,
142010	145730	3720	sagt der SVP-Vizepräsident.
145829.99999999997	149410	3580	Nein. Familiär ist nichts.
149660	152970	3310	Ich bin noch verheiratet, wir haben 9 Enkel und Kinder,
153200	158850	5650	darum muss nicht zu Hause sein. Und meine Gesundheit ist perfekt.
158940	161450	2510	Seit vielen Jahren hofft man, dass er vielleicht krank ist,
161530	163130	1600	damit er endlich zurücktritt.
165060	167530	2470	Diese Woche war, wie man heute weiss,
167710	169570	1860	Blochers vorläufig letzte im Nationalrat.
169700	171530	1830	Er ist ohne Adieu gegangen.
171670.00000000003	173530	1860	Das hätte ich nicht ertragen.
173700	176890	3190	Diese Verabschiedungen - da ging ich meistens raus.
177010	178930	1920	Da sitzt man so lange im Parlament,
179100	184610	5510	und dann bejubelt man sich für diese Zeit, es gibt Blumensträusse -
184690	189890	5200	und wenn dann die Linken auch noch für mich hätten klatschen müssen ...
190050	192730	2680	Das wäre wirklich unangenehm gewesen.
192940	196090	3150	Ich bin darum herumgekommen.
196320	200690	4370	Kann man sagen - dieses Parlament hat Sie auch einmal abgewählt -
200790	203970	3180	dass es nicht nur eine grosse Liebe war?
204140	206250	2110	Ich habe sie auch nie gesucht.
208620	211329.99999999997	2710	Während Politiker, die nicht der SVP angehören,
211490	214450	2960	eher verhalten auf den Rücktritt von Christoph Blocher reagieren,
214540	217730	3190	erntet dessen Schritt im eigenen Lager - nicht völlig überraschend -
217970	221050	3080	v.a. Lob. So auch bei SVP-Präsident Toni Brunner:
222740	224930	2190	Es ist ein konsequenter Schritt. Christoph Blocher möchte sich
225030	227610	2580	auf die wirklich wichtigen Fragen konzentrieren.
227700	229850	2150	Das ist die institutionelle Bindung,
230040	232090	2050	die der Bundesrat mit der Europäischen Union anstrebt,
232320	234730	2410	also ein versteckter EU-Beitritt.
234840	237370	2530	Und es ist auch die Umsetzung der Masseneinwanderungs-Initiative.
237510	241090	3580	So gesehen muss man sich entlasten von den weniger wichtigen Aufgaben.
241260	245370	4110	Wir standen uns persönlich nicht ganz nahe, aber politisch sehr wohl.
245620	248690	3070	Ich habe seine Meinung auch immer geschätzt.
248860	253890	5030	Ich denke, die Zusammenarbeit war sehr pragmatisch und gut.
254060	256130	2070	Wir mussten einander nicht oft kontaktieren,
256370	258370	2000	weil wir politisch eigentlich gleich ticken.
259899.99999999997	261930	2030	Da tritt eine SVP-Galionsfigur vom politischen Amt zurück,
262140	264490	2350	verlässt aber mitnichten die politische Bühne:
264620	266490	1870	Hanspeter Forster in Bern:
266650	268490	1840	Wie überraschend kommt der Rücktritt von Blocher?
268610	277730	9120	Wir untertiteln live:
277909.99999999994	279730	1820	das war tatsächlich eine grosse Überraschung.
280409.99999999994	282370	1960	Noch gestern war er im Parlament,
284500	286490	1990	nichts hat auf einen Rücktritt hingedeutet.
290470	292409.99999999994	1940	Nur Toni Brunner und Walter Frei waren informiert.
293659.99999999994	295610	1950	Aber man muss auch sagen,
297500	299409.99999999994	1910	ist tatsächlich folgerichtig.
308780	311090	2310	Das Volk entscheidet bald über die Zukunft der Bilateralen,
312140	314130	1990	das wird kein Spaziergang,
317290	319250	1960	dass weiss Christoph Blocher.
320660	322970	2310	Was Blocher der Parlamentsarbeit verpasst, ist weniger ein
323220	325530	2310	Seitenhieb, schon eher eine gerade Rechte. Wie kommt das an?
328830	330770	1940	Das kommt natürlich schlecht an.
333850	335690	1840	Das verächtlich machen des Parlaments,
338740	340690	1950	das hat Tradition in der SVP,
345220	347810	2590	"man will das Volk ständig aufwiegen gegen die ""Classe Politique"""
347900	349850	1950	in Bern.
353180	355130	1950	Der Rücktritt von Christoph Blocher ist das Signal,
356370	358370	2000	dass man diese Oppositionsstrategie
359460	361410	1950	noch intensivieren will.
361930	364370	2440	Blocher hat im Rat v.a. durch Abwesenheit geglänzt - macht der
364570	366690	2120	Rücktritt überhaupt einen Unterschied? Oder ändert sich
366850	368850	2000	allenfalls etwas für die SVP?
372220	374170	1950	Nein, weder noch.
376880	379050	2170	Christoph Blocher bleibt weiterhin die bestimmende Figur
382090	384090	2000	in der Partei, der strategische Kopf der SVP.
385100	386970	1870	Er ist weiterhin Vizepräsident.
389820	391730	1910	Er wird auch an den Fraktionssitzungen der
391870	392409.99999999994	540	Parteikollegen
