start	end	duration	text
2360	4059.9999999999995	1700	.
4250	8460	4210	1:1-Untertitelung. Livepassagen können Fehler enthalten.
18690	21260	2570	Sie flüchteten vor dem Krieg und der Gewalt in ihrer Heimat,
21420	23740	2320	und jetzt, auf der gefährlichen Reise nach Europa,
23870	26780	2910	werden sie mit Blendgranaten und Tränengas zurückgedrängt.
26880	28780	1900	Bilder, aufgenommen heute
28870	30980	2110	an der Grenze von Griechenland zu Mazedonien.
31070	33260	2190	Guten Abend meine Damen und Herren.
33420	35700	2280	Wir richten unseren Fokus heute auf das Leid der Flüchtlinge
35880	37820	1940	und die Reaktion der Politik. Die weiteren Themen:
41810	44580	2770	Was Frauen gegen Lohnungerechtigkeit tun können.
48050	50500	2450	Vor ihrem Rücktritt aus dem Nationalrat
50710	53820	3110	lassen es Ueli Leuenberger und Toni Bortoluzzi nochmal richtig krachen.
57740	60900	3160	"""10vor10""-Reporter gerieten in den vergangenen 25 Jahren"
60990	63420	2430	immer wieder in Gefahr.
66620	68980	2360	Während sich riesige Gruppen von Flüchtlingen an der Grenze
69120	71180	2060	von Griechenland zu Mazedonien stauen,
71310	73700	2390	kommen ständig weitere nach.
73910	76700	2790	Auch heute sind wieder Hunderte Flüchtlinge mit Booten
76910	78980	2070	in Griechenland angekommen.
79070	84660	5590	Rund 160'000 waren es laut der UNO seit Anfang Jahr.
84770	89660	4890	Jeden Tag strömen mehrere Tausend Menschen zur Grenze mit Mazedonien.
89830	94020.00000000001	4190	Dort haben die Behörden gestern den Ausnahmezustand erklärt,
94180	97300	3120	Polizei und Militär haben die Grenze zeitweise abgeriegelt,
97450	99979.99999999999	2530	um den Flüchtlingsstrom besser bewältigen zu können.
100110	102259.99999999999	2150	Dabei kam es zu Ausschreitungen.
102509.99999999999	104620	2110	Laut Ärzte ohne Grenzen wurden zehn Flüchtlinge
104750	107180	2430	durch Blendgranaten verletzt.
107330	111140	3810	Unser Sonderkorrespondent Stephan Rathgeb ist in Griechenland.
111220	114580	3360	Seit Tagen unterwegs auf der sog. Balkanroute.
114700	117220	2520	Seine Reportage gibt eine Vorstellung
117390	119740.00000000001	2350	von den Strapazen, Hoffnungen und Enttäuschungen,
119900	122260	2360	welche die Flüchtlinge erleben.
124430	127500	3070	Sie denken, dass sie es endlich geschafft haben.
127600	129979.99999999999	2380	Ankunft im Hafen von Athen.
130120	132980	2860	Mehr als 2'000 Flüchtlinge strömen aus der Fähre,
133070	136220	3150	die sie von den griechischen Inseln hierhin gebracht hat.
136370	138220	1850	Und sie haben nur ein Ziel:
138360	141020	2660	So schnell wie möglich weiter in den Norden nach Zentraleuropa -
141140	143020	1880	quer durch den Balkan.
146600	148660	2060	Apostolos Tzitzikostas
148780	151300	2520	ist Gouverneur der nördlichsten Provinz von Griechenland.
151590	153660	2070	Er befürchtet, dass bald 10'000 Flüchtlinge
153810	156740	2930	auf der griechischen Seite festsitzen könnten,
156950	159380	2430	denn Mazedonien hat die Grenze in den letzten Tagen immer wieder
159460	163579.99999999997	4120	auf und zu gemacht - ganz nach Belieben.
163790	165980	2190	Das darf auf keinen Fall passieren.
166150	175900	9750	Dafür sind wir schlicht nicht ein- gerichtet. Nichts ist organisiert.
176030	178140	2110	Der Gouverneur bringt uns auf ein Feld,
178300	180140	1840	kurz vor dem Grenzübergang zu Mazedonien.
180340	183180	2840	Schon jetzt stecken hier rund 2'000 Menschen fest.
183330	185100	1770	Und es werden immer mehr.
185220	186980	1760	Der Gouverneur sucht nach Worten.
188150	190140	1990	"""Die andere Seite, die Mazedonier sind schuld,"
190320	192860	2540	"dass sie hier feststecken"", sagt er dieser Lehrerin aus Syrien."
193010	195140	2130	"""Wir versuchen, eine Lösung zu finden."""
195250	197380	2130	Die meisten Flüchtlinge hier stammen aus Syrien.
197530	200579.99999999997	3050	Sie sind seit Wochen oder gar seit Monaten auf der Flucht.
200750	203180	2430	Wir flüchten vor Krieg und Zerstörung in Syrien.
203300	209900	6600	Wir suchen ein besseres Leben.
214270	216300	2030	Was geschieht gerade?
216430	219579.99999999997	3150	Sie öffnen die Grenze wieder.
219800	222420.00000000003	2620	Doch dies entpuppt sich als Gerücht.
222620	225940	3320	Drei Tage sind die meisten hier schon am Warten. Ohne Schutz.
226060	228579.99999999997	2520	Auch Hassan Hammid und seine Familie.
228730	233740	5010	Er sagt, er sei Arzt und stamme aus Syrien.
233980	240460	6480	Es ist kühl in der Nacht. Ich habe ein Baby.
240700	247460	6760	Es gibt weit und breit keine Toiletten hier. Für niemanden.
