start	end	duration	text
4790	6570	1780	.
6730	14330	7600	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14540	16450	1910	"Zeit für ""Schweiz aktuell"". Einen schönen guten Abend."
16670	21050	4380	Das sind heute am Donnerstag unsere Themen für Sie:
22590	25130	2540	Nach den Verhaftungen der FIFA-Funktionäre in Zürich
25270	27450	2180	rückt auch die Stadt selber in den Fokus.
27610	29930	2320	Viele Jahre hat sie den Weltfussballverband unterstützt,
30050	32810	2760	jetzt wird diese Rolle hinterfragt.
34990	38930	3940	Menzikon im Aargau findet, man habe schon genug Asylsuchende.
39030	42650	3620	Der Kanton will aber dort weitere 90 einquartieren.
44650	50090	5440	Der SRF-Korrespondent mit dem markanten Schnauz
50260	53090	2830	hat 35 Jahre lang vom Jurabogen berichtet.
53260	58930	5670	Jetzt wird er pensioniert und blickt auf die wichtigsten Momente zurück.
61880	67930	6050	Nachdem gestern in Zürich wichtige FIFA-Funktionäre verhaftet wurden,
68490	70730	2240	In Menziken/AG will der Kanton eine Asylunterkunft eröffnen.
70970	73450	2480	Ein Haus, das heute noch ein Hotel und ein Restaurant ist,
73610	75289.99999999999	1680	soll Platz für 90 Asylsuchende bieten.
75430	77330	1900	Es wäre schon die zweite kantonale Unterkunft in der Gemeinde.
77530	79289.99999999999	1760	Die Bewohner des Wynethaler Dorfs sind darum der Meinung,
79460.00000000001	81570	2110	dass sie schon genug Asylsuchende haben.
81730	84289.99999999999	2560	Gestern Abend informierte der Gemeinderat die Bevölkerung,
84370	86530	2160	wie er sich gegen die Unterkunft wehren will.
88230	90690	2460	Die Regierung und der Kanton machen ein Riesengeschrei
90890	93250	2360	und Theater, haben die Sache aber nicht im Griff.
93460.00000000001	95530	2070	Es muss eine geregelte, saubere, faire Verteilung geben.
95660	97610	1950	Das ist nämlich loyal und fair.
97780	100770.00000000001	2990	Wir müssen nicht nur für diese Men- schen schauen, sondern auch für uns.
100900	105690	4790	Danke vielmals.
105789.99999999999	107530	1740	Die geplante Asylunterkunft bewegt.
107750	109770.00000000001	2020	400 Leute kamen, die Sitzplätze reichen nicht.
109870	111330	1460	Die Bevölkerung ist wütend,
111590	116490.00000000001	4900	man habe doch schon genug Asylsuchende im Dorf.
116640	118330	1690	Darum geht es: das Restaurant Sternen.
118430	119810	1380	Jetzt ist es noch geöffnet,
120030	121290	1260	morgen kann das letzte Getränk getrunken werden.
121490	123170	1680	Dann vermietet es der Besitzer und Wirt Hans Marti
123320	125210	1890	dem Kanton als Asylunterkunft.
125380	128370	2990	Brisant ist, dass er ehem. Gemeindeammann und SVP-Mitglied ist.
128520.00000000001	130889.99999999999	2370	Er habe alle Möglichkeiten geprüft, sagt er.
130990.00000000001	132890	1900	In der Familie habe niemand gewollt
133050	135690	2640	und mit einem Pächter habe er schlechte Erfahrungen gemacht.
137000	142930	5930	Man sah sich nach einem Käufer um, aber das kam auch nicht zu Stande.
143030	147970	4940	Der Grund: Die Banken sitzen da etwas auf dem Portemonnaie.
148110	151490	3380	Die Vermietung an den Kanton war die letzte Möglichkeit.
151590	153570	1980	Gingen Sie auf den Kanton zu?
153680	157010	3330	Ja, ich bot ihm das an.
157110	159470	2360	Die Menziker fühlen sich übergangen.
159650	161990	2340	Laut kantonalem Verteilschlüssel müssten sie 12 Asylsuchende aufnehmen
161990	165430	3440	58 sind es im Moment.
165630	168430	2800	Ausgerechnet sie sollen noch einmal 90 Personen aufnehmen, sagen sie.
168600	172390	3790	Gestern im Gemeindesaal waren die Meinungen darum klar,
172470	175950	3480	auch von offizieller Seite.
176120	178110	1990	Es geht uns um die Zuteilung des Kantons in die Regionen,
178290	181170	2880	die - wie Menziken - ihre Pflicht schon lange erfüllen
181360	185570	4210	und auch sonst mit einem hohen Ausländeranteil
185830	190010	4180	sicher überbelastet sind.
190250	192370	2120	Die Kritik ist also an den Kanton gerichtet,
192540	194330	1790	der gestern Abend nicht erwünscht war.
194510	196490	1980	Die Gemeinde lud ihn vom Infoabend aus.
