start	end	duration	text
1900	2150	250	.
2260	5430	3170	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7250	9350	2100	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
9470	11830	2360	Das macht an diesem Montag Schlagzeilen:
13680	17470	3790	Die EU-Minister ringen um eine Lösung in der Flüchtlingskrise.
20490	25470	4980	Allein in Libyen warten bis zu 1 Mio. Menschen auf die Überfahrt.
27550	31870	4320	Die Politlandschaft des Tessins bleibt nach den Wahlen stabil.
34170	37410	3240	Die Macher des Schweizer Expo-Pavillons
37560	40650	3090	haben das Konzept leicht verändert.
41940	45450	3510	Im Norden mit Bise 20 °C, im Süden bis zu 24 °C.
47060	51210	4150	Das Mittelmeer als Todesfalle für Flüchtlinge. Auch heute.
51300	53370	2070	Laut einem telefonischen Hilferuf
53510	56530	3020	befindet sich ein Boot mit über 300 Menschen
56750	59930	3180	vor der libyschen Küsten in Seenot, 20 Flüchtlinge seien schon ertrunken.
60030	61970	1940	Bestätigt ist das noch nicht.
62170	64690	2520	Laut den italienischen Behörden versuche man zurzeit,
64830	68210.00000000001	3380	gleich 2 Flüchtlingsboote zu retten.
68420	70530	2110	Das Mittelmeer als Todesfalle. Auch heute.
70710.00000000001	73730	3020	Viele starten ihre lebensgefährliche Reise nach Europa
73890	77810	3920	vom nordafrikanischen Festland in Libyen oder Ägypten.
77970	82289.99999999999	4320	Oder dann von der Türkei aus in Richtung Malta oder Griechenland.
82430	85530	3100	Und auch auf dieser Route sind heute Menschen ums Leben gekommen.
85690	89170	3480	Vor einem Badestrand auf der Touristeninsel Rhodos.
89390	92289.99999999999	2900	3 Flüchtlinge sind dort ertrunken, darunter ein Kind.
93700	97130	3430	Menschen lassen sich auf Teilen des Schiffwracks an Land treiben.
97270.00000000001	99090	1820	Sie haben Glück gehabt.
99280	102130	2850	Mind. 3 ihrer Mitflüchtlinge mussten ihr Leben lassen,
102240.00000000001	104450	2210	auch ein 4 Jahre altes Kind.
104539.99999999999	108250	3710	Nach Angaben der griechischen Küstenwache ist das Flüchtlingsboot
108330	110890	2560	vor der Ferieninsel an einem Felsen zerschellt.
111050	114050	3000	Auf dem Schiff waren mehrere Dutzend Menschen.
114229.99999999999	116250	2020	Viele davon versuchten, an Land zu schwimmen.
116370	118890	2520	93 Personen konnten gerettet werden,
119070	122370	3300	30 von ihnen wurden ins Spital gebracht.
124930	128130	3200	Taucher haben das Wrack untersucht und keine weiteren Menschen gefunden.
128389.99999999999	131210	2820	Viele der Flüchtlinge sollen aus Syrien stammen.
131290	133330	2040	Die Route von der Türkei nach Griechenland
133460	135330	1870	wird von Schleppern oft benutzt.
135430	140010	4580	Allein in den letzten 2 Tagen sollen über 454 Migranten
140170.00000000003	142450	2280	auf den griechischen Inseln angekommen sein.
144240	146970	2730	Der Untergang eines Flüchtlingsbootes in der Nacht auf gestern
147170.00000000003	150530	3360	hat wohl noch mehr Opfer gefordert, als ursprünglich angenommen:
150680	153370	2690	Nur gerade 28 Menschen konnten gerettet werden.
153590	156410	2820	Die Behörden rechnen inzwischen mit über 900 Toten.
157790	162450	4660	24 Opfer wurden gefunden. Sie sollen auf Malta beerdigt werden.
162600	165770	3170	Von den übrigen Flüchtlingen an Bord des Unglücksschiffes
165850	167690	1840	fehlt bisher jede Spur.
167800	169570	1770	Ein Überlebender berichtet,
169790	172490	2700	dass etwa 300 Menschen im Schiffsrumpf eingeschlossen waren.
172670.00000000003	177210	4540	Sie hätten keine Chance gehabt, als das Schiff kenterte.
177350	179690	2340	Und es geht weiter.
179910	183370	3460	Hier ein Internierungslager in der libyschen Hafenstadt Misrata.
183510	187010	3500	Diese Männer warten darauf, mit einem Boot nach Europa zu kommen.
189380	191930	2550	Sie kommen aus Nigeria, aus dem Senegal -
192160	194490	2330	und sie wollen alle nach Europa. Alle.
194620	200730	6110	Und jeden Tag bergen wir Leichen, die am Strand angeschwemmt werden.
201560	206010	4450	Libyens Küstenwache - das sind 8 Boote für mehr als 1'000 km Küste.
206160	208610	2450	Echte Kontrolle ist unmöglich.
208880	211090	2210	Und die Dramen der letzten Tage waren erst der Anfang.
211329.99999999997	214970	3640	Der Sommer, die Hauptsaison der Bootsflüchtlinge, steht erst bevor.
215100	218050	2950	Und die zuständigen Organe können kaum etwas verhindern.
218150	220650	2500	Was bleibt, ist Nothilfe.
222079.99999999997	224530	2450	So auch in Sizilien: In Catania
224750	227810	3060	hat das Rote Kreuz mittlerweile eine Helpline eingerichtet.
227990	232370	4380	Anfragen aus Tunesien, Eritrea oder Bangladesch treffen hier ein.
234570	237250	2680	Meist sind es Familienangehörige,
237430	240250	2820	die mit den Flüchtlingen in Libyen in Kontakt waren.
240370	242130	1760	Man telefoniert und weiss auch,
242300	244970	2670	wann der andere aufbricht, ins Schlepperboot steigt.
245150	248970	3820	Deshalb können sie uns auch genau das Datum der Abreise sagen.
249710	251450	1740	Das Rote Kreuz versucht,
251610	254050	2440	so wenigstens ungefähre Passagierlisten zu erstellen.
255800	258570	2770	Im Hafen von Catania, auf Sizilien, steht jetzt unser Korrespondent.
258740	261170.00000000003	2430	Philipp Zahn, wie erleben Sie die Situation zurzeit vor Ort?
261290.00000000003	269050	7760	Wir untertiteln live:
269160	273250	4090	Sehr bedrückend.
273430	277890	4460	Wir haben die Bilder vom Roten Kreuz gesehen.
