start	end	duration	text
1650	4210	2560	.
4290	7450	3160	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7690	11370	3680	Alexis Tsipras ist auf dem Olymp seiner Karriere angekommen,
11520	13690	2170	und durchs politische Europa hallt es:
13790	16329.999999999998	2540	Lasst die Schwierigkeiten beginnen!
16440	19250	2810	Der Mann, der mit Brüssel noch einen Lorbeerkranz zu rupfen hat,
19380	22410	3030	steht im Zentrum dieser Sendung. Guten Abend. Die Schlagzeilen:
24170	27210	3040	In Griechenland bildet der linke SYRIZA-Chef
27320	31250	3930	in Rekordzeit die Regierung mit einem rechtsnationalen Haudegen.
32130.000000000004	37050	4920	Der Bund will Flüchtlinge vermehrt in die Arbeitswelt integrieren.
40130	44650	4520	Endlich kann der syrische Flüchtlingsjunge Bashar wieder gehen.
46650	50810	4160	Was das Tempo in der Disziplin Regierungsbildung angeht,
50940	53410	2470	kann Europa von Griechenland lernen:
53610	56210	2600	In Windeseile hat der linke Wahlsieger Alexis Tsipras
56360	59890	3530	eine Koalition mit Aussen-rechts geschmiedet.
60050	63330	3280	So sieht die Politlandschaft aus am Tag,
63560	65810	2250	nachdem die Traditionsparteien vom Olymp gefegt wurden.
67940	71930	3990	Ich schwöre bei meiner Ehre und meinem Gewissen,
72020	75330	3310	dass ich die Verfassung und die Gesetze dieses Landes
75490	78250	2760	verteidigen werde und immer im Interesse des griechischen Volkes
78410	80530	2120	handeln werde.
80610	83130	2520	Nur Stunden nach seinem historischen Sieg wurde Alexis Tsipras
83210.00000000001	86210.00000000001	3000	vom Staatspräsidenten als neuer Regierungschef vereidigt.
86350	88530	2180	Als erster Ministerpräsident in der Geschichte des Landes
88610	92410	3800	legte er keinen religiösen Eid ab.
92580	96170	3590	Zuvor einigte Tsipras sich mit dem Chef der rechtspopulistischen Partei
96330	99570	3240	der Unabhängigen Griechen auf ein Bündnis.
99650	102410	2760	Beide fordern einen Schuldenschnitt von der europäischen Union
102520.00000000001	105890	3370	und ein Ende des harten Sparkurses.
106080	108930	2850	Trotzdem sind die Unterschiede zwischen beiden Parteien gross.
109009.99999999999	111490.00000000001	2480	Der Rechtspopulist Panos Kammenos
111660	114250	2590	lehnt eine multikulturelle Gesellschaft ab,
114420	116810	2390	während Tsipras, der hier schon sein neues Büro bezieht,
117050	121050	4000	dagegen mehr Einwanderer ins Land lassen will.
121150	124610	3460	Laut vorläufigem Endergebnis gewann SYRIZA 149 Sitze im Parlament
124800	128449.99999999999	3650	und verpasste damit nur knapp die absolute Mehrheit.
128600	132610	4010	Die ab heute mitregierenden Unabhängigen Griechen
132710	135570	2860	verfügen über 13 Mandate.
135740	140370	4630	Zweitstärkste Kraft wurde die bislang regierende Konservative
140610	142530	1920	Nea Dimokratia.
142710	146610	3900	Die rechtsextremistische Goldene Morgenröte kam mit 17 Sitzen
146690	149210	2520	auf den 3. Platz.
