start	end	duration	text
2140	3960	1820	.
4120	6400	2280	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6550	10160	3610	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10340	12560	2220	Das macht an diesem Samstag Schlagzeilen:
13510	17320	3810	Deutschland verliert eine moralische Instanz.
19470	23440	3970	Die FDP reagiert mit einem Positions- papier auf die Frankenstärke.
27420	31210	3790	Die Wahl Mattarellas ist v.a. auch ein Erfolg für Regierungschef Renzi.
34030	36690	2660	Im Norden und in den Alpen zeitweise Schneefall,
36800	39250	2450	im Süden überwiegend sonnig.
40590	46050	5460	Für viele, für die meisten war er der deutsche Bundespräsident schlechthin:
46150	48250	2100	Richard von Weizsäcker.
48360	51970	3610	Im Alter von 94 Jahren ist er heute in Berlin gestorben.
52070	55330	3260	Die Fahnen vor dem Schloss Bellevue in Berlin
55430	58370	2940	wehen als Zeichen der Trauer auf Halbmast.
58520	61650	3130	Im Schloss ist ein Kondolenzbuch aufgelegt worden,
61910	65050	3140	in das sich die Bürger eintragen können.
65209.99999999999	69930	4720	"""Präsident und Gestalter der Einheit"" nennt ihn ""Die Zeit""."
70090	72930	2840	"""Bundeskönig"" nennt ihn die ""Süddeutsche""."
73030	75850	2820	Seine Reden waren immer Massstab und Kompass.
76010	81930	5920	Besonders aber die eine: die zum 40. Jahrestag des Kriegsendes, 1985.
82140	86130	3990	Da sagte er etwas, was die Deutschen wortwörtlich befreite.
89020	91289.99999999999	2270	Der 8. Mai war ein Tag der Befreiung.
91470	94370	2900	Er hat uns alle befreit von dem menschenverachtenden System
94509.99999999999	98890	4380	der nationalsozialistischen Gewaltherrschaft.
99009.99999999999	101009.99999999999	2000	Da spricht einer Klartext.
101190	103810	2620	Bislang stand der 8. Mai im Verständnis der meisten Deutschen
104030	106330	2300	für die Niederlage im Zweiten Weltkrieg.
106550	109289.99999999999	2740	Weizsäcker räumt mit der Verklärung der Vergangenheit auf,
109330	112170	2840	ein Mahner gegen das Vergessen.
112350	114930	2580	Wer aber vor der Vergangenheit die Augen verschliesst,
115090	117850	2760	der wird am Ende blind für die Gegenwart.
118100	119570	1470	Einsetzender Applaus
119740.00000000001	122450	2710	Wer sich der Unmenschlichkeit nicht erinnern will ...
122550	124770	2220	Applaus
124870	128009.99999999999	3140	Wer sich der Unmenschlichkeit nicht erinnern will,
