start	end	duration	text
2500	11310	8810	.
11420	17710	6290	1:1-Untertitelung
17910	20350	2440	Guten Abend, vielen Dank.
20510	24110	3600	Guten Abend, liebes Publikum und sehr verehrte Gäste.
24220	26300	2080	Herzlich willkommen,
26480	29340	2860	liebe Zuschauerinnen und Zuschauer bei uns in der Arena.
29500	32460	2960	Wenn Sie wählen müssten, was wäre Ihnen wichtiger?
32650	35420	2770	Entweder dass man die Zuwanderung senkt,
35630	37860	2230	also dass man die Massen- einwanderungs-Initiative umsetzt
38010	41380	3370	oder dass man die Bilateralen mit der EU beibehält?
41520	43940	2420	Was wäre Ihnen wichtiger?
44030	46420	2390	Oder sagen Sie sogar, man könnte beides haben?
46670	49180	2510	Masseneinwanderungs-Initiative oder Bilaterale?
49270	52340	3070	Diese Frage diskutieren wir heute mit einer neuen Umfrage
52480	55540	3060	und mit konkreten, handfesten Lösungsvorschlägen.
55660	57580	1920	Wir prüfen und diskutieren diese.
57830	60700	2870	Die Politikerinnen und Politiker in unserer Runde werden Farbe bekennen.
60880	63660	2780	Ich meine damit, dass sie wortwörtlich Farbe bekennen.
63900	66980	3080	Wir haben heute als Gäste Vertreter der 4 grössten Parteien.
67030	69020	1990	Für die SVP Lukas Reimann,
69230	71260	2030	Nationalrat aus dem Kanton St. Gallen.
71400	73860	2460	Für die Sozialdemokraten Nationalrätin Barbara Gysi.
74030	75900	1870	Auch sie ist St. Gallerin.
76110	78580	2470	Für die FDP der Zürcher Ständerat Felix Gutzwiller.
78740	82740	4000	Für die CVP Nationalrat Gerhard Pfister aus dem Kanton Zug.
82930	88700	5770	Frau Gysi, meine Herren, guten Abend.
92270.00000000001	95060	2790	Wenn es hart auf hart kommen würde, was wäre dann den Leuten wichtiger?
95270.00000000001	98020.00000000001	2750	Die Masseneinwanderungs-Initiative oder die Bilateralen?
98259.99999999999	102220	3960	Das Forschungsinstitut gfs.bern hat im grossen Wahlbarometer der SRG
102370	104420	2050	genau diese Frage den Leuten gestellt.
104560	106300	1740	Über 2'000 Personen
106509.99999999999	108420	1910	haben in der letzten Woche bei dieser Umfrage mitgemacht.
108539.99999999999	110300	1760	Genau ein Jahr vor den Wahlen.
110430	112220	1790	So sieht das Resultat aus:
112340	114300	1960	58 % der Wahlberechtigten sagen,
114410	117300	2890	dass ihnen die Bilateralen wichtiger sind.
117340	119180	1840	Also die Verträge mit der EU.
119330	122060	2730	30 % sehen es umgekehrt: Wenn es hart auf hart kommen würde,
122230	125540	3310	ist ihnen die Umsetzung der Massen- einwanderungs-Initiative wichtiger.
