start	end	duration	text
4010	6090	2080	.
8920	10940	2020	1:1-Untertitelung
14950	18060	3110	"Guten Abend und willkommen zu ""Schweiz aktuell""."
18210	21300	3090	Diese Geschichten machen heute Schlagzeilen:
22420	25820	3400	Eine junge Asylsuchende in Sursee/LU möchte arbeiten,
25930	29060	3130	scheitert aber an der Bürokratie.
31210	34780	3570	Die beiden Wracks des Dittinger Flugunfalls
34950	37900	2950	werden seit heute in Payerne analysiert.
38060	41460	3400	Experte hoffen auf wichtige Hinweise zur Unglücksursache.
43300	46940	3640	Die Schweizer Gletscher schmelzen wegen der Hitzewelle weg.
47110	50580	3470	V.a. für die Täler im Wallis hat das verheerende Folgen.
53110	56060	2950	Die Flüchtlingskrise bewegt:
56230	58980	2750	Unzählige strömen in der Hoffnung auf ein besseres Leben
59120	61580	2460	in Richtung Europa.
61760	64860	3100	Und Europa sucht verzweifelt nach Lösungen für all diese Menschen.
65019.99999999999	67380	2360	Und was ist mit denjenigen, die in einem Land bleiben dürfen,
67530	69700	2170	oder zumindest vorläufig aufgenommen sind?
69880	72820	2940	In der Schweiz leben gut 31'000 Menschen mit diesem sog. F-Status.
72970	75700	2730	Ein Grossteil von ihnen bleibt für immer in der Schweiz -
75800	78660	2860	oder zumindest sehr lange.
78850	82220	3370	Sie würden sehr gerne arbeiten, können aber nicht -
82400	85180	2780	das betonten heute rund 200 Menschen in Bern auf dem Bundesplatz.
85360	88300	2940	Der Aufenthaltsstatus F diskriminiere auf dem Arbeitsmarkt,
88460.00000000001	90820	2360	man komme kaum an Arbeitsbewilligungen
90960.00000000001	93220	2260	und das soll sich ändern.
93360	95580	2220	Tatsächlich können nur rund 30 %
95810	98300	2490	der vorläufig aufgenommenen Personen im erwerbsfähigen Alter
98440	100580	2140	in der Schweiz arbeiten.
100690	103100	2410	Dass viele an zu hohen bürokratischen Hürden scheitern,
103280	105700	2420	zeigt der aktuelle Fall einer syrischen Familie in Sursee.
107430	110180	2750	Jeenda Oumari lernt Deutsch.
110350	113180	2830	Die 19-Jährige flüchtete mit ihren Eltern vor eineinhalb Jahren
113280	115820	2540	in die Schweiz.
115970	118180	2210	Sie beantragte Asyl, doch ihr Antrag wurde abgelehnt.
118360	120900	2540	Jetzt ist Jeenda vorläufig aufgenommen.
121040	123860	2820	Eine schwierige Situation,
124030	126140	2110	denn der sog. F-Ausweis erschwert das Finden einer Arbeit.
126210	131860	5650	Ich möchte gerne arbeiten,
132030	137260	5230	damit ich Geld verdienen und mehr Kontakte haben kann.
137390	143260	5870	Ist besser zum Deutschlernen.
143410	148780	5370	Ist für mich in der Freizeit gut.
148950	153260	4310	Es gibt viele Hürden, bis vorläufig Aufgenommene eine Stelle bekommen -
153410	155740	2330	und diese sind schwierig zu überwinden.
156000	160100	4100	Auch mit der Unterstützung von Fredi Banholzer, der die Familie betreut.
160230	163420.00000000003	3190	Der ehem. Dozent für Soziale Arbeit half Jeenda auch,
163600	167540	3940	als sie ein Angebot für einen Arbeitseinsatz erhielt:
167650	170820	3170	Während 5 Tagen hätte sie beim Umzug eines Kleidergeschäfts helfen können.
170910	173500	2590	Jeenda freute sich sehr über diese Möglichkeit -
173720	175940	2220	gekriegt hat sie die Arbeit aber nicht.
176100	178900	2800	Die Arbeitsbewilligung zu erhalten - auch wenn es nur um 5 Tage geht -
179030	181500	2470	war teuer und aufwändig.
181740	184460	2720	Daher wollte die potentielle Arbeit- geberin Jeenda nicht engagieren.
184530	187380	2850	Für Fredi Banholzer eine unhaltbare Situation.
187600	190420	2820	Leute mit einer F-Bewilligung haben häufig nicht die Möglichkeit,
190680	193940	3260	eine regelmässige Stelle zu erhalten.
194040	196180	2140	Aushilfsjobs gäbe es aber.
196310	198540	2230	Deshalb müsste es möglich sein,
198800	200660	1860	so etwas auf unkomplizierte Weise machen zu dürfen.
200850	202820	1970	Beim kantonalen Migrationsamt kann man verstehen,
202920.00000000003	204980	2060	dass die Situation für die Betroffenen ungünstig ist.
205079.99999999997	207180	2100	Aber den Behörden seien die Hände gebunden,
207329.99999999997	209660	2330	weil sie gesetzliche Vorgaben erfüllen müssen,
209880	212350	2470	um eine Arbeitsbewilligung erteilen zu können.
212490	215270	2780	Wir müssen vom Bund her Lohn- und Arbeitsbedingungen überprüfen.
215440	218270	2830	Das wird v.a. zum Schutz der Betroffenen gemacht,
218380	222670.00000000003	4290	nicht nur für die Bürokratie.
222820	226230	3410	Platz für Ausnahmen gebe es fast keine,
226370	228590	2220	auch wenn es um kurze Einsätze geht.
228700	231990	3290	Wir haben bei Praktika
232150	235829.99999999997	3680	und Beschäftigungsprogrammen von Caritas Ausnahmen.
236000	241110	5110	Bei Privaten müssen wir aber genauer hinschauen, wie die Situation ist.
241220	245150	3930	Der Status als vorläufig Aufgenommene bedeutet für Jeenda:
245430	249310	3880	Solange der Bürgerkrieg eine Rückkehr nach Syrien unmöglich macht,
249470	252030	2560	darf sie mit ihrer Familie in der Schweiz bleiben.
252100	254120	2020	Aber danach muss sie zurück.
254220	256399.99999999997	2180	Bis es so weit ist, können Jahre vergehen.
256610	258440	1830	Darum möchte Jeenda etwas aus ihrer Situation machen.
258550	260440	1890	Ich will Pharmazie studieren.
260570	264200	3630	Das war immer mein Traum, als ich ein Kind war.
264380	271360	6980	Ich lerne jetzt Deutsch. Ich muss bis bis C1 lernen.
271530	275840.00000000006	4310	Dann kann ich mit Uni Kontakt aufnehmen,
276010	280520	4510	damit ich eine Stelle finde zum Studieren.
280730	283320	2590	Jeenda hat in Syrien die Matura gemacht.
283460	285600	2140	In der Schweiz lernt sie weiter Deutsch
285750	287840.00000000006	2090	und bemüht sich um eine Arbeitsstelle.
288890	291320	2430	Auch wenn sie arbeiten wollen, grosse bürokratische Hürden
291500	294720	3220	stehen den vorläufig aufgenommenen Asylsuchenden also viele im Weg.
294890	298240	3350	Obwohl sich der Kanton Luzern explizit dafür einsetzen will,
298350	300160	1810	dass sie arbeiten dürfen.
300270	302040	1770	Unser Reporter Reto Holzgang
302180	304680	2500	hat den Luzerner Sozialdirektor heute darauf angesprochen.
305770	308680	2910	Guido Graf, am Sonntag plädierten Sie in den Medien dafür,
308800	312840	4040	dass Flüchtlinge mit dem F-Status arbeiten können sollen.
312980	316440	3460	Jetzt haben wir die Geschichte von Sursee gesehen -
316540	318600	2060	das ist also ein Widerspruch.
318730	320920	2190	Das stört mich persönlich auch sehr.
321100	323240	2140	Das ist auch erschwerend für Menschen, die das wollen.
323350	325400	2050	Dem müssen wir nachgehen.
325560	328000	2440	Alles, was wir hier noch verbessern können,
328150	330840	2690	jede Hürde, die wir abbauen können - das müssen wir auch machen.
330950	333080	2130	Denn für die Integration ist es wichtig, dass jemand arbeiten kann.
333250	335520	2270	Heisst das, dass die Luzerner Regierung
335670	338720	3050	für die Flüchtlinge konkret etwas unternimmt,
338900	342480	3580	damit die bürokratischen Hürden nicht mehr so hoch sind?
342650	344640	1990	Das ist so.
344870	347520	2650	Wir werden sicher untersuchen,
347670	350000	2330	was wir innerhalb unserer Kompetenz anpassen können.
350150	352200	2050	Ich gehe wirklich davon aus, dass die Regierung Ja dazu sagen wird.
352390	354760	2370	Was jedoch auf Stufe Bund angepasst werden muss ...
354960	358280	3320	Das werden wir im offiziellen Bern mitteilen.
358390	360320	1930	Aber wir müssen das anpassen,
360510	362600	2090	denn das brauchen wir für die Integration.
363610	365560	1950	Der Luzerner Regierungsrat Guido Graf
365770	367520	1750	beantwortete die Fragen von Reto Holzgang.
368630	371040	2410	Es war ein dramatisches Ende der internationalen Flugtage
371170	373080	1910	in Dittigen/BL.
373260	375720	2460	Am Sonntag stossen dort zwei Klein- flugzeuge zusammen und stürzten ab.
375910	379240	3330	Ein Pilot überlebte dank Rettungsfallschirm,
379390	382760	3370	der andere kam beim Unfall im Flugzeug ums Leben.
382870	387000	4130	Warum er sich nicht auch mit dem Fallschirm retten konnte
387130	390120	2990	und andere offene Fragen klärt nun
390290	392640	2350	die Schweizerische Sicherheitsuntersuchungsstelle.
392920	396400	3480	Seit heute untersucht sie die beiden Flugzeugwracks am Standort Payerne.
396560	399680	3120	Wir waren exklusiv dabei. Rolf Dietrich.
401310	404840.00000000006	3530	Die Experten der Sicherheits- untersuchungstelle SUST in Payerne
404940	408120	3180	machen eine Art Auslegeordnung.
408250	410570	2320	Sie versuchen, die vielen Wrackteile möglichst präzise
410730	412940	2210	den beiden Flugzeugen zuzuordnen.
413050	415140	2090	Es fällt sofort auf,
415230	417820	2590	dass es zwischen den beiden Wracks grosse Unterschiede gibt.
418060	420820	2760	Es ist augenfällig, dass das eine Flugzeug relativ gut intakt ist.
420900	424580	3680	Das andere ist als solches kaum mehr erkennbar
424800	427780	2980	und bis auf die Struktur eigentlich zerstört.
427860	430020	2160	Es bestehen noch einige Komponenten.
430130	432300	2170	Das Flugzeug war dem Brand ausgesetzt.
432470	434900	2430	Das sind die eigentlichen Unterschiede.
435100	437780	2680	Weil die Kollision an einem Flugmeeting geschah,
437980	440100	2120	gibt es vom Unfall viel Bildmaterial.
440220	442500	2280	Zwei von den drei Flugzeugen dieser Staffel
442620	444860	2240	stiessen in der Luft zusammen.
444960	447180	2220	Ein Pilot konnte sich mittels Fallschirm retten.
447340	449980	2640	Bei den Leichtflugzeugen kommt ein spezielles System zum Einsatz,
450060	452260	2200	das das gesamte Flugzeug trägt.
452390	454700	2310	Es gibt verschiedene Komponenten.
454930	457460	2530	Man sieht hier hinten angefangen die Austrittsöffnung.
457650	462620	4970	Hier kommt ein Treibsatz und Raketenmotor raus,
462770	465300	2530	aus dem der Fallschirm gezogen wird.
465470	469860	4390	Wenn sich dieser entfaltet hat, ist er an diesen Gurten befestigt.
470060	473380	3320	Die Verbindung zwischen der Fallschirmkalotte
473540	476860	3320	und dem Flugzeug als ganzem ist gegeben.
477060	479300	2240	Dann kommt er hinunter und ist ungesteuert.
479470	482020	2550	Das andere Flugzeug stürzte ungebremst in eine Scheune
482130	484740	2610	und brannte.
484920	487260	2340	Der 50-jährige Pilot kam dabei ums Leben.
487430	489620	2190	Die SUST-Experten wollen anhand der Trümmer herausfinden,
489710	492100	2390	warum der zweite Pilot nicht mit dem Fallschirm landen konnte.
492250	495060	2810	Die Flugunfallexperten finden ein verkohltes Fallschirmteil.
495250	499500	4250	Für präzise Aussagen hierzu ist es noch zu früh.
499740	506060	6320	Die Abklärungen laufen, sie wurden bereits begonnen.
506200	509100	2900	Z.B. wie genau der Status des Rettungssystems ist,
509250	512220	2970	ob es der Pilot auslöste, ob es teilweise funktionierte
512370	517260	4890	oder erst beim Zerstörungsprozess startete.
517460.00000000006	521539.99999999994	4080	Für die Experten sind die Kollisions- spuren besonders interessant.
521780	527340	5560	Sie sollen Aufschluss darüber geben, wie sich der Unfall genau abspielte.
527620	529580	1960	Wir verfügen über gutes Fotomaterial,
529730	533260	3530	das uns optisch hilfreiche Hinweise auf das Geschehene gibt.
533400	538060	4660	Dies möchten wir nun mit Spuren an den beiden Flugzeugen
538200	541860	3660	zu korrelieren versuchen.
542020	545300	3280	Auch die beiden überlebenden Piloten dieser Staffel
545450	548420	2970	können wichtige Informationen liefern.
548570	552180	3610	Die SUST-Experten konnten bereits am Sonntag, unmittelbar nach dem Unfall,
552300	555140	2840	mit ihnen sprechen.
555190	557500	2310	Das ging sehr gut, wir sind dankbar,
