start	end	duration	text
14520	16480	1960	MIT TELETEXT-UNTERTITELUNG
19010	20080	1070	Guten Abend miteinander, vielen Dank.
21090	24040	2950	Guten Abend, liebes Publikum, guten Abend, sehr verehrte Gäste.
24200	27720	3520	Herzlich willkommen, liebe Zuschauerinnen und Zuschauer,
27850	29840	1990	"bei uns in der ""Arena""."
30050	33360	3310	Wenn Sie einmal jährlich die Steuern für Bund und Kanton bezahlen,
33480	35160	1680	diese grosse, dicke Rechnung - das kann Ihnen nicht entgehen.
36130	38000	1870	Das merkt man.
38210	41040	2830	Wenn Sie Mehrwertsteuer bezahlen, passiert das immer ein wenig,
41200	44240	3040	überall ein wenig und ohne dass man es richtig merkt.
44380	46330	1950	Vielleicht haben Sie deshalb gar nicht gewusst,
46530	48410	1880	dass Sie 3-mal so viel Mehrwertsteuer bezahlen,
48490	50060	1570	wenn Sie im Restaurant essen gehen,
50690	52860	2170	wie für das Brötchen vom Bäcker oder das Sandwich über die Gasse.
53030	56900	3870	Ist das gerecht? Macht das Sinn? Der Wirteverband möchte das ändern.
57050	59620	2570	Sie stimmen darüber ab und wir diskutieren -
59740	61700	1960	und zwar mit folgenden Gästen:
62530	65140	2610	Casimir Platzer, Präsident des Wirteverbands GastroSuisse,
65990	67780	1790	der diese Mehrwertsteuer-Initiative lancierte.
67970	70980	3010	Gegen die Initiative ist der Bundesrat, der heute vertreten ist
71170	74580	3410	durch Bundesrätin und Finanz- ministerin Eveline Widmer-Schlumpf.
74740	76700	1960	Beide Seiten haben Unterstützung.
76800	78740	1940	Auf der Seite der Initianten:
78940	80100	1160	Adrian Amstutz, Fraktionschef und SVP-Nationalrat.
81640	84020	2380	Und auf der Gegenseite: Ruedi Noser,
84240	86100	1860	FDP-Nationalrat aus dem Kanton Zürich.
86210.00000000001	88100	1890	Guten Abend. Guten Abend.
90530	94100	3570	"Weil das eine ""Abstimmungs-Arena"" ist,"
94289.99999999999	95140	850	schaue ich ganz genau, dass beide Seiten gleich viel Redezeit haben.
98039.99999999999	99940	1900	Das wird hinter den Kulissen gestoppt.
100150	102460.00000000001	2310	Bevor wir loslegen, würde ich Ihnen gerne einen kurzen Film zeigen,
102590	104860	2270	der erklärt, worum es eigentlich geht.
106890	110100	3210	Mit seiner Mehrwertsteuer-Initiative fordert der Verband GastroSuisse
110850	113259.99999999999	2410	die Gleichbehandlung mit den Take-aways.
113400	116259.99999999999	2860	Zurzeit gelten 2 verschiedene Steuersätze:
116979.99999999999	121580	4600	Wer eine Pizza beim Take-away holt, bezahlt dafür 2,5 %.
121770	124020	2250	Isst jemand seine Pizza im Restaurant,
124170	125140	970	sind es dagegen 8 % Mehrwertsteuer.
127140	129139.99999999999	2000	Die Wirte finden das ungerecht.
129280	132620	3340	Take-aways und Restaurants hätten heutzutage dieselbe Kundschaft.
132710	134940	2230	Der höhere Steuersatz würde die Wirte
135090	137500	2410	im Wettbewerb um diese Kundschaft benachteiligen.
138090	140100	2010	Auch seien viele Arbeitnehmer darauf angewiesen,
140410	143390	2980	sich im Restaurant oder in einer Kantine zu verpflegen.
143480	145990	2510	Diese würden mit der höheren Steuer bestraft.
146230	148910	2680	Und: Take-aways würden den öffentlichen Raum
149010	150950	1940	mit Abfall belasten.
152170.00000000003	154150	1980	Für die Gegner der Initiative
154329.99999999997	155190	860	sind die verschiedenen Sätze bei der Mehrwertsteuer gerechtfertigt:
156910	160470	3560	Restaurants und Take-aways würden nicht dasselbe anbieten.
160690	163550	2860	Beim Take-away erhalte der Gast nur das Essen -
163720	166590	2870	im Restaurant kämen weitere Dienstleistungen
166790	169150	2360	wie Bedienung und ein Sitzplatz dazu.
169720	170110	390	Die Initiativgegner warnen auch
171930	175390	3460	vor Steuerausfällen von bis zu 750 Mio. Fr.
175610	178030	2420	Diese müsste der Bund anderweitig kompensieren.
178220	182310	4090	Vermutlich mit einer höheren Mehr- wertsteuer für alle Lebensmittel -
182480	185110	2630	das würde ärmere Haushalte zusätzlich belasten.
185900	189230	3330	Das Stimmvolk entscheidet am 28. September.
190810	192750	1940	Wir haben jetzt schon
192920	194830	1910	die wichtigsten Argumente von beiden Seiten gehört.
195000	196910	1910	Ich würde aber gerne von Ihnen persönlich noch wissen:
197090	199390	2300	Wieso genau sind Sie dafür oder dagegen?
199579.99999999997	200150	570	Beginnen wir doch mit den Initianten!
201930	204310	2380	Herr Platzer, für diese Eröffnungsrunde haben wir die Regel,
204570	206990	2420	dass man nur 1 Min. reden darf - Sie dürfen natürlich auch kürzer.
207180	209829.99999999997	2650	Aber wenn Sie überziehen, ertönt ein Gong. Bitte, Herr Platzer!
209940	211910	1970	Danke.
212120	215150	3030	Wir sind alle für die Gleich- behandlung und gegen Diskriminierung.
215400	218750	3350	Normalerweise sollte das bei den Steuern auch der Fall sein -
218950	221150	2200	aber im Gastgewerbe wird das nicht angewendet.
