start	end	duration	text
11000	12760	1760	.
28210	30200	1990	MIT TELETEXT-UNTERTITELUNG
34210	36360	2150	Die Wahrheit hinter 9/11.
37390	39400	2010	Das Phänomen Donald Trump.
40040	43040	3000	Heute beschäftigen wir uns mit Verschwörungstheorien.
43730	45320	1590	Einst Randerscheinung,
45930	49380	3450	sind sie mitten in Gesellschaft und Politik angekommen.
50090	52340	2250	There's something going on, and it's bad.
52930	55940	3010	There's a problem. There's something wrong. Something's going wrong.
56620	58380	1760	We've got to figure out what's going on.
59090	60460	1370	Trump hat in diesem Wahlkampf
61110	63620	2510	Verschwörungstheorien wirklich ganz explizit formuliert
64290.00000000001	66460	2170	und vermutlich auch sehr strategisch eingesetzt.
67130	70700	3570	Wir wollen wissen, wie Verschwörungstheorien funktionieren,
71280	73100	1820	warum sie so attraktiv sind
73720	77260	3540	und welche Rolle das digitale Zeitalter spielt.
77930	79620	1690	Das Internet hat natürlich
80310	82980	2670	erstens die Verbreitung stark beschleunigt und globalisiert,
83539.99999999999	84980	1440	und auch das Tempo der Verbreitung,
85610	87740	2130	aber auch die Herstellung von Verschwörungstheorien.
88450	91860	3410	Wir blicken in die Geschichte und spannen den Bogen zur Gegenwart
92470	94380	1910	mit einer Sendung
94960.00000000001	98140	3180	über die Entstehung und die Macht von Verschwörungstheorien.
98770.00000000001	102180	3410	"* Funky Popsong: ""Breakfast in America"" von Supertramp *"
102770.00000000001	107460.00000000001	4690	# Take a look at my girlfriend. She's the only one I got.
108960.00000000001	113780	4820	# Not much of a girlfriend - never seem to get a lot.
116270.00000000001	119460.00000000001	3190	"Das ist ""Breakfast in America"" von Supertramp."
120170	124780	4610	Das Plattencover habe ich direkt aus dem Radioarchiv - Jahrgang 1979.
125490	130979.99999999999	5490	Und es gibt welche, die glauben, dass schon damals vorweggenommen wurde,
131650	135180	3530	was sich am 11. September 2001 in New York ereignen würde.
135760	138540	2780	Mehr zu dieser Verschwörungstheorie verrate ich etwas später.
139220	141420.00000000003	2200	"Erst mal herzlich willkommen zu ""Einstein"","
142130	144220	2090	wo sich heute alles um Verschwörungstheorien dreht.
144930	146660	1730	Wir wollen herausfinden, wie sie entstehen,
147340	148860	1520	wie sie funktionieren, sich verbreiten
149430	150579.99999999997	1150	und wie gefährlich sie sind.
151320	155140	3820	Verschwörungstheorien sind im post- faktischen Zeitalter sehr populär,
155810	159020	3210	darum mische ich mich hier in Zürich als Erstes unter die Leute.
161010	164380	3370	Die Mondlandung. Gab's die wirklich oder war das ein Fake?
165000	167300	2300	Ehrlich gesagt, habe ich mich schon oft gefragt,
167890	169460	1570	ob das wirklich passiert ist.
170170.00000000003	172540	2370	Die Russen hatten damals einen solchen Vorsprung.
173190	173860	670	Die gab's.
174570	175540	970	Es könnte sein,
176190	178980	2790	dass sie von den Amerikanern in Area 51 gefaked wurde.
179620	180780	1160	Glauben Sie hingegen,
181410	184060	2650	dass hinter 9/11 eine Verschwörung stecken könnte?
184720	186460	1740	Nein, das glaube ich nicht.
187090	190580	3490	Das war ein ganz gewöhnliches Attentat.
191280	194020	2740	Ich bin überzeugt, dass nicht die Amerikaner dahinterstecken.
194560	197460	2900	Ich meine, es ist ja passiert, man hat's ja gesehen.
198170.00000000003	202140	3970	Das wäre ja eine katastrophale Inszenierung gewesen.
202829.99999999997	204660	1830	Aus der Schweiz gibt's keine Zahlen,
205240	208300	3060	aber neuste repräsentative Umfragen aus den USA zeigen:
208970	211100	2130	54 % der Amerikaner glauben,
211770	215380	3610	dass die US-Regierung Informationen zu 9/11 verschweigt.
216020	220660	4640	Gut 50 % glauben, dass die Ermordung John F. Kennedys ein Komplott war.
221350	222780	1430	Und über 40 % glauben,
223450	225900	2450	wir würden zum Klimawandel bewusst falsch informiert.
226600	228579.99999999997	1980	Die Zahlen aus den USA zeigen:
229260	232260	3000	Der Glaube an Verschwörungstheorien ist ein Massenphänomen.
232890	235180	2290	Und dieser Glauben ist nicht nur in der Gesellschaft,
235770	237300	1530	sondern auch in der Politik angekommen.
237930	241820	3890	Ganz aktuell haben wir das im US-Präsidentschaftswahlkampf gesehen.
243330	246260	2930	We have to figure out what's going on.
246880	248940	2060	There's something going on, and it's bad.
249610	252500	2890	There's a problem. There's something wrong. Something's going wrong.
253250	256180	2930	"""There's something going on"" - ""Irgendetwas stimmt da nicht"","
256839.99999999997	260420.00000000003	3580	diesen Satz hat Trump im Wahlkampf mantrahaft wiederholt.
261130	262940	1810	Die Medien hätten sich gegen ihn verschworen,
263600	264820	1220	das Politestablishment ebenfalls.
265490	267480	1990	Michael Butter von der Universität Tübingen
268130	272120	3990	hat Trumps Rhetorik in Bezug auf Verschwörungstheorien untersucht.
272760	275920	3160	Das Spannende ist wirklich, dass er immer offensiver wurde,
276650	277800	1150	je länger der Wahlkampf dauerte.
278370	281120	2750	Im Vorwahlkampf leitete er das immer noch sehr vorsichtig ein.
281720	283880	2160	"Er sagte noch Sachen wie: ""Die Leute sagen mir ..."""
284520	287200	2680	"oder: ""Ich höre ständig, dass dies oder jenes der Fall ist."""
287890	290159.99999999994	2270	Dass sich Ted Cruz' Vater mit Lee Harvey Oswald traf,
290810	292800	1990	kurz bevor der Kennedy erschoss. Solche Dinge.
294000	298159.99999999994	4160	Als die Fernsehduelle vorbei waren und Trump in Rücklage geriet,
298800	301480	2680	verschärfte er den Einsatz von Verschwörungstheorien.
302170	305600	3430	Die Wahl wurde manipuliert von korrupten Medien.
306240	311320	5080	Obama ist der Gründer des IS.
312030	313400	1370	* Jubel *
314090	316000	1910	Trump hat in diesem Wahlkampf
316640	319200	2560	Verschwörungstheorien wirklich ganz explizit formuliert
319930	322320	2390	und vermutlich auch sehr strategisch eingesetzt.
322880	325600	2720	Ich weiss von Topleuten, dass Sie es ernst meinen.
326270	329000	2730	Alex Jones unterhält sich mit Donald Trump.
329670	332760	3090	Jones ist einer der bekanntesten Verschwörungstheoretiker der USA.
333430	335760	2330	Auf ihr Verhältnis angesprochen, sagt Trump:
336490	338980	2490	Alex Jones ist ein guter Mann.
340090.00000000006	342820	2730	That's good. Alex was ... Alex Jones, nice guy.
343530	346500	2970	Jones hat sich ein wahres Verschwörungsimperium aufgebaut.
347090.00000000006	349220	2130	Seine Kanäle erreichen Millionen Menschen.
349880	353140	3260	Verschwörungstheorien sind ja auch ein Riesengeschäft geworden.
353740	356460	2720	Das sehen wir im deutschsprachigen Raum in den letzten Jahren -
357130	358380	1250	in den USA war es schon vorher so.
359090.00000000006	360820	1730	Alex Jones ist einer der Stars dieser Szene.
361440	362900	1460	Dass sich ein Präsidentschaftskandidat
363610	366220	2610	regelmässig zumindest per Telefon zuschalten lässt
366880	370020	3140	"und sinngemäss sagt: ""Ich bewundere Ihre Arbeit"","
370730	374820	4090	ist etwas, was vor ein paar Jahren nicht denkbar gewesen wäre.
375560	378180	2620	Dabei ist die Nähe des US-Präsidentenamts
378850	380820	1970	zu Verschwörungstheorien nichts Neues.
381440	384460	3020	Roosevelt soll Pearl Harbor absichtlich entblösst haben,
385050	389020	3970	um sein Land zum Eintritt in den Zweiten Krieg Weltkrieg zu zwingen.
