start	end	duration	text
2250	3500	1250	.
12000	13940	1940	MIT TELETEXT-UNTERTITELUNG
16790	18740	1950	Achtung Baustelle:
18930	19340	410	Liebe ZuschauerInnen, dieses Verkehrszeichen sehen wir,
22610	28500	5890	wo Häuser und Strassen gebaut, abgerissen oder saniert werden.
29510	34340	4830	Auf Strassenbaustellen werden tiefe Gräben gezogen,
34910	38340	3430	um Kanalisationsrohre und andere Leitungen zu erneuern.
38530	42900	4370	Ein Strassenabschnitt nach dem anderen wird aufgerissen und saniert.
43970	46780	2810	Schaue ich hinter die rotweisse Abschrankung,
46950	49380	2430	sehe ich Arbeiter, die schwere körperliche Arbeit leisten,
50830	55660	4830	schuften und schwitzen, sich Hände, Gesicht und Kleider schmutzig machen.
56820	59460	2640	Wenn wir auf ein Baustellenschild treffen,
59670	62980	3310	wird unsere Geduld schon mal auf die Probe gestellt.
63200	64379.99999999999	1180	Wir müssen längere Wartezeiten und Umwege in Kauf nehmen,
66830	69900	3070	und Baulärm kann sehr lästig sein.
71680	74340	2660	Dieses Verkehrszeichen erinnert mich auch
74430	77180	2750	an die persönlichen Baustellen von Menschen,
77940	79460.00000000001	1520	die kleinen und die grossen.
80530	83140	2610	Die finanziellen Sorgen, die einen plagen,
83270	85380	2110	den Murks in der Partnerschaft,
85490	87860	2370	die Gesundheit, die einen einschränkt,
88039.99999999999	91020	2980	oder wenn jemand nach dem Sinn im Leben sucht.
92600	94380	1780	Baustellen gehören zum Leben.
95560	99420	3860	Doch manche Menschen befinden sich auf einer Dauerbaustelle.
99550	103620	4070	Sie strengen sich an, aber kommen aus ihrem Loch nicht heraus.
104710.00000000001	107820	3110	Andere haben die eine Baustelle im Leben behoben,
107950	109380	1430	und schon folgt die nächste.
111920	114060	2140	Vielleicht würde jemand von Ihnen
114259.99999999999	117820	3560	am liebsten so ein Baustellenschild bei sich aufstellen.
117950	119940	1990	Achtung Baustelle.
120140	122900	2760	"""Sieht mich denn niemand? Ich brauche Hilfe."""
123030	124380	1350	"""Wer würde mir zuhören?"""
125800	128340	2540	"""Es wäre schön, wenn jemand stehenbliebe"
128440	132340	3900	"und mich fragen würde: 'Was bereitet dir Kummer und Sorgen?'"""
132800	134980	2180	"""'Was bringt dich ins Schwitzen?'"""
137110	139500	2390	Jesus, da bin ich mir sicher, würde diesen Hilferuf nicht übersehen.
143690	147140	3450	Er würde stehenbleiben und über den Bauzaun klettern.
148430	152980	4550	"""Achtung Baustelle"" heisst für ihn: Achtung vor den Menschen."
153750	154500	750	Achtung vor dem, was diese Frau, dieser Mann,
156790	158660	1870	dieses Kind hier leisten muss.
160230	162940	2710	Jesus würde, wenn er auf der Baustelle ist,
163130	166940	3810	den Sorgen und Ängsten zuhören - egal, welcher Art sie sind.
167130	169420.00000000003	2290	Er würde Mut machen und mit anpacken.
171320	174340	3020	Aber Jesus wäre kein bequemer Bauarbeiter.
175550	178540	2990	Er würde einen noch mehr ins Schwitzen bringen.
178700	180620	1920	Er würde in die Tiefe graben
181640	184420	2780	und das Verborgene der Lebensgeschichte offenlegen.
185900	188540	2640	Dort in der Tiefe würde er heilend wirken.
189830	192060	2230	Er würde mit grossem Gottvertrauen
192260	196060	3800	und ohne moralische Vorstellung eine neue Perspektive suchen
196210	198140	1930	und mithelfen, zu sanieren.
199800	201660	1860	Achtung Baustelle:
201840	206420.00000000003	4580	Bauen Sie Ihren Bauzaun nicht zu hoch,
206550	208700	2150	damit Jesus drüber klettern kann!
208960	212620	3660	Manchmal schickt er seine Arbeiterin oder seinen Arbeiter.
212710	214420.00000000003	1710	Denn Jesus hat gesagt:
214920.00000000003	217660	2740	"""Wo 2 oder 3 in meinem Namen versammelt sind,"
217840	219820	1980	"da bin ich mitten unter Ihnen."""
220010	224380	4370	Ich wünsche Ihnen einen gesegneten Sonntag und eine gute neue Woche.
226910	229540	2630	SWISS TXT / UT-Redaktion Zürich Lilian Zbinden - 2014
