start	end	duration	text
2240	9930	7690	.
10550	14370	3820	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15780	17810	2030	"Buna sera. Herzlich willkommen zu ""Schweiz aktuell"""
18480	20690	2210	vom Freitag, 2. Dezember - mit diesen Themen:
22510	26170	3660	Nach nur vier Tagen trennt sich der Walliser SVP-Staatsrat
26750	30610	3860	Oskar Freysinger heute von seinem umstrittenen Überlebensexperten.
33800	36370	2570	Genfer Gymnasiasten simulieren im Schulzimmer
37000	39290	2290	die aktuelle Migrationspolitik.
41470	46090	4620	In Uster/ZH wird heute das grösste Hallenbad der Schweiz eröffnet.
46740	50170	3430	Das ist ein Schlussstrich unter der Katastrophe von 1985
50780	52290	1510	mit zwölf Toten.
54620	56970	2350	Er sorgt wieder für Schlagzeilen:
57710	60170	2460	der Walliser SVP-Staatsrat Oskar Freysinger,
60750	63770	3020	der sich heute von seinem umstrittenen Experten trennen muss.
64430.00000000001	66530	2100	Erst letzten Dienstag stellte er Piero San Giorgio,
67230	69770	2540	Buchautor und selbsternannter Überlebensspezialist,
70340	72210.00000000001	1870	als seinen neuen Berater vor.
72850	75650	2800	U.a. weil Piero San Giorgio
76250	77289.99999999999	1040	in einem Video aber
77880	79930	2050	so abschätzig über Menschen mit Behinderungen sprach,
80620	80890	270	kam es zu massiven Protesten gegen seine Nominierung.
81220	84570	3350	Oskar Freysinger musste zurückkrebsen.
87450	90850	3400	Der Genfer Piero San Giorgio rechnet mit dem Schlimmsten -
91590	93729.99999999999	2140	und rüstet sich für die Verteidigung, wie er sagt.
94390	95130	740	Der welsche Buchautor
95789.99999999999	99289.99999999999	3500	hat Zuhause laut eigenen Angaben gegen zehn Waffen.
99920	101490.00000000001	1570	Die grösste Gefahr
102140	103690	1550	sieht er in einer globalen Finanz- oder Migrationskrise,
104350	105890	1540	die in einen Bürgerkrieg ausarten könnte.
106539.99999999999	107610	1070	Von ähnlichen Szenarien
108259.99999999999	110130	1870	geht auch der Walliser Staatsrat Oskar Freysinger aus -
110729.99999999999	112370	1640	und präsentierte deshalb letzten Dienstag eine Arbeitsgruppe,
112960.00000000001	115330	2370	die die Gefahren für das Wallis analysiert.
116030	118530	2500	Auch hier seien es Migrationsdruck oder eine Finanzkrise.
119229.99999999999	121610	2380	In der Arbeitsgruppe sitzt ebenfalls Piero San Giorgio.
122260	123330	1070	Für Oskar Freysinger
123940	126290	2350	war Piero San Girogio am Dienstag noch eine gute Wahl.
126960	129889.99999999999	2930	Er befasst sich seit Jahren mit dieser Thematik
130509.99999999999	134130	3620	und deshalb ist seine Sicht interessant.
134870	139010	4140	Piero San Giorgio ist wegen seiner Bürgerkriegstheorie umstritten,
139660	145730	6070	und auch wegen Aussagen, die er auf YouTube über Behinderte machte.
147500	150610	3110	Diese Leute haben kein Recht, zu existieren.
151300	154220	2920	Der Sozialismus, die Linken, der Humanismus, die Menschenrechte,
154910	156700	1790	das ist alles Scheissdreck.
157350	159100	1750	Es ist einfach so, dass diese Leute existieren,
159770	163540	3770	obwohl sie kein Anrecht darauf haben.
164260	166220	1960	Für den Rechtsextremismus-Experten Hans Stutz ist klar:
