start	end	duration	text
1510	7200	5690	.
7350	11760	4410	1:1-Untertitelung
11980	16000	4020	"Der ""Club"" heute mit Norbert Bischofberger."
16219.999999999998	18240	2020	"Herzlich willkommen zum ""Club""."
18320	22880	4560	Die sexuellen Übergriffe in Köln und anderen Städten sind ein Schock.
22980	27520	4540	Es ist Zündstoff für das Zusammenle- ben verschiedener Kulturen bei uns.
27630	31320	3690	Die Taten heizen auch eine Diskussion an über den Islam,
31480	35600	4120	über verschiedene Frauenbilder und über die Flüchtlinge.
35770	39880	4110	"Alle Fragen müssen auf den Tisch - jetzt und hier im ""Club""."
40010	42000	1990	Herzlich willkommen.
42220	45840	3620	"Nun noch: Der Moderator des ""Club"", Thomy Scherrer,"
46060	49360	3300	liegt krank mit einer Grippe zu Hause im Bett.
49520	53970	4450	Und jetzt die Zusammenfassung der Ereignisse der letzten Tage.
54060	57050	2990	Diese Bilder schockieren Europa.
57180	60610	3430	In der Silvesternacht kommt es in Köln zu zahlreichen Überfällen
60750	62930	2180	und sexuellen Übergriffen.
63140	66970	3830	Die Informationen gelangen nur tröpfchenweise an die Öffentlichkeit.
67150	70210.00000000001	3060	Der Kölner Polizeipräsident Wolfgang Albers
70380	73170	2790	weiss angeblich nichts über die Herkunft der Täter.
73340	76370	3030	In internen Berichten ist zu diesem Zeitpunkt aber bereits klar:
76520	78490	1970	Ein Grossteil der Verdächtigen
78650	81180	2530	stammt aus Nordafrika und dem arabischen Raum.
81300	84180	2880	Eine Woche nach den Vorfällen muss Albers zurücktreten.
84340	87340	3000	Am selben Tag benennt das deutsche Innenministerium
87430	90940	3510	erstmals die Nationalitäten von Verdächtigen.
91110	93460.00000000001	2350	Ich möchte das ganz gerne aufschlüsseln.
93640	96780	3140	Es sind neun algerische, acht marokkanische, vier syrische,
96970	102060	5090	fünf iranische, ein irakischer, ein serbischer, ein US-amerikanischer
102200	106780	4580	und zwei deutsche Staatsangehörige darunter.
106870	110580	3710	Noch eine weitere umstrittene Tatsache erhärtet sich:
110670	114140	3470	Bei einem Grossteil der Verdächtigen handelt es sich um Asylsuchende
114340	116460.00000000001	2120	oder illegale Aufenthalter.
116630	122060	5430	Die genauen Zahlen und Fakten ändern beinahe täglich.
122190	124900	2710	Über 500 Anzeigen sind bisher eingegangen.
125120	128259.99999999999	3140	Beinahe die Hälfte wegen Sexualstraftaten.
128509.99999999999	131940	3430	Ähnliche Vorfälle in anderen Städten kommen ans Tageslicht.
132110	135460	3350	Auch in der Schweiz häufen sich die Berichte.
135710	138620	2910	Die Vorfälle in Köln haben eine Debatte über Islam,
138829.99999999997	142460	3630	Frauenbild und kulturelle Werte ausgelöst.
143560	146460	2900	Zu dieser Diskussion begrüsse ich nun ganz herzlich
146630	150460	3830	Jerome Endrass, er ist forensischer Psychologe,
150660	154860	4200	arbeitet u.a. im Amt für Justizvollzug des Kantons Zürich.
154980	156740	1760	Er warnt davor,
156930	159980	3050	einen direkten Zusammenhang zwischen schweren sexuellen Straftaten
160190	163660	3470	und einer bestimmten Kultur herzustellen.
163740	165740	2000	Saida Keller-Messahli,
165829.99999999997	168940	3110	Präsidentin des Forums für einen fortschrittlichen Islam.
169090	170980	1890	Sie sieht ganz klar
171200	173860	2660	einen Zusammenhang zwischen Machismus und Islam.
173960	178220	4260	"Michele Binswanger, Philosophin und Journalistin beim ""Tages-Anzeiger""."
178390	180940	2550	Sie sagt, wer hier bei uns lebt,
181090	184620	3530	hat die Frauen und ihre Rechte zu respektieren.
184690	188740	4050	Ashti Amir kam selbst vor 15 Jahren
188920	191540	2620	als Flüchtling von Syrien in die Schweiz.
191690	194660	2970	Heute betreut er jeden Tag Asylsuchende
194870	199860	4990	als stellvertretender Leiter eines Durchgangszentrums in Lyss.
200070	204860	4790	Ich begrüsse ganz herzlich auch die Islamwissenschaftlerin, Muslimin
204950	208140	3190	"und Moderatorin der Sendung ""Sternstunde Religion"""
208310	211060	2750	Amira Hafner-Al Jabaji.
211210	214220	3010	Sie sagt, in weiten Teilen der muslimischen Welt
214260	216820	2560	herrsche eine machoide Kultur.
217070	219380	2310	Das Fehlverhalten könne man aber nicht
219470	222100	2630	auf den Islam an sich zurückführen.
222270	226420.00000000003	4150	Herr Amir, Sie arbeiten mit Asylsuchenden zusammen.
226560	234660	8100	Waren die Exzesse in Köln ein Thema unter den Asylsuchenden?
234820	239540	4720	Natürlich war es ein Thema für Mitarbeiter und Asylsuchende.
239630	242740	3110	Nicht unbedingt bei allen Asylsuchenden,
242850	245100	2250	aber auf einem bestimmten Niveau.
245260	248300	3040	V.a. Akademiker haben sich extrem mit diesem Thema beschäftigt.
248460	251220	2760	Aber die sind seit ein paar Tagen oder Wochen hier.
251380	254820	3440	Muss man ihnen das übersetzen, er- fahren sie das durch soziale Medien?
254910	256380	1470	Wie funktioniert das?
256630	259060	2430	Sie erfahren es durch soziale Medien.
259220.00000000003	262380	3160	Die meisten Personen aus arabischen Ländern, Muslime
262540	266460	3920	sind auf Facebook, und das gibt es auch auf Arabisch.
266540	268420	1880	Wie haben sie reagiert?
268590	270700	2110	Die Reaktionen sind unterschiedlich.
270800	274340.00000000006	3540	Es wird auch gesehen, dass es ein Problem von Flüchtlingen ist,
274530	281500	6970	und was eine Frau im Islam, im Schariasystem bedeutet.
281710	284580	2870	Auf der anderen Seite wird auch kommuniziert,
284740	288740	4000	und das ist auch meine Meinung, dass es ein männliches Problem ist.
288920	291820	2900	Denn diese Problematik ist nichts Neues.
291930	294700	2770	Es gibt sie seit Jahren,
294790	299420	4630	aber es wird nicht so genau und konkret darüber berichtet.
