start	end	duration	text
1920	4760	2840	.
4930	7440	2510	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7490	9200	1710	Guten Abend, meine Damen und Herren.
9450	11840	2390	"Hier ist die ""Tagesschau"", und das sind die Themen heute Freitag:"
13490	17480	3990	Erstmals reden der Iran, die USA und Saudi-Arabien
17630	20010	2380	über eine Lösung für Syrien.
22160	27610	5450	In Bern soll ein Bundesasylzentrum entstehen - und die Anwohner freut's.
29800	31770	1970	Die Trockenheit der letzten Monate
32020.000000000004	35330	3310	zwingt Mostereien, die Notvorräte anzuzapfen.
37660	41250	3590	Mit 2 Mio. Besuchern im Schweizer Pavillon
41340	43170	1830	geht eine erfolgreiche Expo zu Ende.
45120	49210	4090	Im Flachland teils sonnig, teils neblig.
52260	54890	2630	In Wien wurde heute über den Krieg verhandelt -
55050	58250	3200	den Krieg, den man in Syrien stoppen möchte.
58460	60450	1990	Und während in Wien Politiker sprachen,
60580	64330	3750	sprachen in Syrien die Waffen, wie folgende Bilder zeigen,
64489.99999999999	68010	3520	die aus dem Kriegsgebiet ins Internet gestellt wurden.
68940	70410	1470	* Explosion *
70650	73810	3160	Diese Bilder zeigen die Folgen einer Bombardierung in der Provinz Aleppo
73960.00000000001	76810	2850	im umkämpften Nordwesten von Syrien,
77010	80530	3520	einer Region, die von syrischen Rebellen kontrolliert wird.
80740	82690	1950	* Aufgeregte Kinder- und Männerstimmen *
82890	85330	2440	Die syrische Beobachtungsstelle für Menschenrechte berichtet auch
85470	90010	4540	von Luftschlägen mit vielen zivilen Opfern im Süden des Landes.
91400	93810	2410	Zurück zur Konferenz in Wien.
93930	95610	1680	Sie war die bisher grösste
95750	98729.99999999999	2980	seit Beginn des Kriegs in Syrien vor viereinhalb Jahren.
98930	103450	4520	Mit dabei alle UNO-Vetomächte und die wichtigen Staaten der Region,
103600	105930	2330	die Türkei sowie Saudi-Arabien.
106080	108890	2810	Und auf Drängen Russlands erstmals auch der Iran.
110450	113370	2920	Insgesamt 17 Nationen waren an der Syrien-Konferenz vertreten.
113550	116810	3260	Die erstmalige Teilnahme des iranischen Aussenministers
116920	118729.99999999999	1810	gilt als Erfolg Russlands.
118979.99999999999	121450	2470	Russland und der Iran sehen sich als Schutzmächte
121560	123890	2330	der Regierung von Baschar al-Assad.
124060	126370	2310	Der amerikanische Aussenminister John Kerry
126410	128770.00000000001	2360	als Anführer der westlichen Koalition
128949.99999999999	131970	3020	hat den Iran am Verhandlungstisch akzeptiert.
133750	136250	2500	Assads Verbündete, der iranische Aussenminister Sarif
136400	138690	2290	und sein russischer Amtskollege Lawrow,
138870	141210	2340	sie zeigten sich aber bereits im Vorfeld
141320	143410	2090	kompromissbereiter als früher.
143610	147820	4210	Assad werde nicht ewig an der Macht bleiben, liess der Iran durchblicken.
148000	150620	2620	Der Verhandlungstisch war so gut besetzt wie noch nie.
150760	152540	1780	Einig sind sich die Teilnehmer,
152670.00000000003	156180	3510	dass es einen Waffenstillstand und eine Übergangsregierung braucht.
156320	159620	3300	Fernziel sind offenbar freie Wahlen.
160800	164020	3220	Die beiden Grossmächte Russland und USA geben aber zu,
164170.00000000003	166780	2610	dass sie sich über die Zukunft von Machthaber Assad
166890	168220	1330	noch nicht einig sind.
171100	175220	4120	Auch wenn wir Differenzen haben, sind wir uns bewusst,
175430	179180	3750	dass die Lage in Syrien kein weiteres Zuwarten erlaubt.
179990	183540	3550	Für die USA heisst das: Wir intensivieren den Kampf gegen den IS
183710	185820	2110	und verstärken gleichzeitig
185970	189660	3690	die Verhandlungen über ein Ende des Konflikts.
189800	195180	5380	Wir sind überzeugt, dass das kein Widerspruch ist.
196700	199380	2680	Wir haben Differenzen, was die Zukunft Assads betrifft.
199530	201780	2250	Russland ist der Meinung, dass die syrische Bevölkerung
202010	204500	2490	selbst über ihre Regierung entscheiden können soll.
204700	211020	6320	Wir unterstützen deshalb Wahlen unter der Führung der UNO.
211190	214579.99999999997	3390	Was klar ist: Dies war erst der Auftakt der Verhandlungen.
214810	217300	2490	Man will sich in den nächsten 14 Tagen
217490	221060	3570	zu einer weiteren Konferenz treffen, in gleicher Besetzung.
223120	226060	2940	Die Konferenz-Teilnehmer - unter ihnen auch Kerry und Lawrow -
226140	229420.00000000003	3280	ziehen eine recht positive Bilanz dieser Konferenz,
229530	232020	2490	verströmen gar einen gewissen Optimismus.
232260	234579.99999999997	2320	Pascal Weber, wie beurteilen Sie das?
234740	242540	7800	Wir untertiteln live:
242640	247500	4860	Natürlich ist es schon ein Erfolg,
247560	250220	2660	dass die Gespräche überhaupt so stattgefunden haben mit
250330	256339.99999999997	6010	Saudi-Arabien und dem Iran.
258190	261220.00000000003	3030	Es zeugt vielleicht von wachsendem Realismus wenn der deutsche
261320	264660	3340	Aussenminister davon spricht,
264860	268140	3280	dass man jetzt erstmal Schritt für Schritt lokal, regional begrenzte
268220	272620	4400	Waffenruhe aushandeln muss.
272800	275180	2380	Das hat hier und dort schon ganz gut funktioniert.
275260	278060	2800	Was nicht funktioniert, ist,
278220	283060	4840	wenn die 17 Länder jetzt schon davon sprechen,
283260	287420	4160	einen nationalen Waffenstillstand auszuhandeln.
287540	293500	5960	Oder wenn man von Wahlen in absehbarer Zeit spricht.
293940	299380	5440	Wenn man hier mit Leuten von der Aussaat-Seite spricht,
299530	304060	4530	dann sagen sie, man sei dabei, alle Po zurückzuerobern.
304140	308260	4120	Spricht man mit anderen,
308490	314340	5850	sehen Sie, dass Assad gestürzt wird.
315630	318780	3150	Von Russland und Iran hat man gehört,
318940	320900	1960	dass man etwas auf Distanz zu Assad geht.
321000	326140	5140	Ist das neu?
326340	329980	3640	Nein, Vertreter des Iran gaben schon vor etwa vier Monaten
330130	334340.00000000006	4210	zu verstehen, dass man etwas auf Distanz geht.
334570	339300	4730	Aber dem Iran und Russland geht es vor allem darum,
339420	343980	4560	Teile des Regimes,
344180	350060	5880	eine gewisse Regierungsarbeit in Syrien zu erhalten.
350490	353500	3010	Ich könnte mir vorstellen, dass die Länder durchaus bereit sein
353600	355220	1620	könnten, mit Assad zu verhandeln.
355420	361300	5880	Noch aber nicht.
362050	362900	850	Die Amerikaner wollen Elitesoldaten nach Sibirien schicken.
369110	371820	2710	Die Amerikaner wollen Elitesoldaten nach Syrien Schicken.
371970	376940	4970	Was bedeutet das?
377180	379980	2800	Das bedeutet, dass es mehr braucht als nur Luftschläge,
380070	385700	5630	um den IS zu bekämpfen.
385920	391740	5820	Es bedeutet auch, dass Obama auf dem falschen Fuss erwischt wurde.
394870	397980	3110	Diese Soldaten werden nicht dabei helfen, den Krieg zu beenden.
398159.99999999994	400420	2260	Sie senden höchstens eine politische Botschaft der
400520	404180	3660	Schadensbegrenzung.
405830	406540	710	Der Krieg in Syrien, er ist einer der Hauptgründe für die Flüchtlingskrise.
408740	411100	2360	Vergangene Nacht ist in der Ägäis erneut ein Boot gekentert -
411270	413300	2030	26 Flüchtlinge kamen ums Leben, darunter 17 Kinder.
413380	415780	2400	Jene Menschen, die die Küsten lebend erreichen, wollen v.a. eines:
415860	417580	1720	möglichst schnell weiter.
417810	419940	2130	Zurück bleiben Rettungswesten, und zwar nicht nur ein paar,
420090	421980	1890	sondern - wie man hier eindrücklich sieht - gleich haufenweise.
422220	424260	2040	Sie türmen sich an den Stränden der griechischen Inseln
424450	426420	1970	und sind Zeugen davon, wie viele Menschen überstürzt weiterflüchten,
426580	429060	2480	wenn sie mal eine Etappe geschafft haben.
429220	432220	3000	Auch an der Grenze zwischen Slowenien und Österreich
432400	434340	1940	sind weiterhin Tausende von Flüchtlingen unterwegs.
436400	438900	2500	* Unverständliche Rufe über Lautsprecher *
438980	442660	3680	Über Lautsprecher mahnen die slowenischen Behörden
442750	445940	3190	die Flüchtlinge zur Ruhe - doch die Masse ist stärker.
446020	450500	4480	Alle wollen über die Grenze nach Österreich.
450630	454659.99999999994	4030	Hunderte stürmen die Absperrgitter
454820	458060	3240	und reissen mehrere Menschen zu Boden.
459610	462300	2690	Helfer und Sanitäter bergen eine Frau aus dem Tumult.
464480	467700	3220	Das Gedränge ist riesig.
467870	471980	4110	Die österreichischen Behörden haben Mühe,
472210	476540	4330	die vielen Menschen in geordneten Bahnen über die Grenze zu bringen.
477200	479500	2300	Und dies, obwohl heute deutlich weniger Menschen
479590.00000000006	483500	3910	in Slowenien ankamen als in den Tagen zuvor.
495300	496780	1480	Für die Menschen, die in unser Land flüchten
496880	499250	2370	und hier einen Asylantrag stellen,
499330	502290	2960	soll das Verfahren möglichst rasch abgewickelt werden.
502510	504210	1700	Das ist das erklärte Ziel des Bundes.
