start	end	duration	text
4120	6250	2130	.
6430	12530	6100	1:1-Untertitelung
12610	15170	2560	"Der ""Club"", heute mit Karin Frei."
15270	18810	3540	Guten Abend, herzlich willkommen
18970	21330	2360	Sie morden, vergewaltigen und plündern.
21430	23730	2300	Mit unglaublicher Brutalität
23900	26730	2830	breitet sich die Terrormiliz Islamischer Staat aus
26820	29930	3110	und vernichtet alles, was ihr nicht passt.
30050	32729.999999999996	2680	Im Moment ist sie in Syrien und im Irak.
32810	35050	2240	Die Eroberungspläne sind aber grösser.
35150	38410	3260	Wir fragen, wie gross die Gefahr für die arabische Welt ist,
38540	40490	1950	aber auch für uns im Westen.
40620	43050	2430	Ich begrüsse ganz herzlich meine Gäste.
43220	46290	3070	Klaus Reinhardt, ehemaliger deutscher NATO-General.
46460	50770	4310	Er musste schon einmal in einem Vielvölkerstaat für Frieden sorgen
50940	56010	5070	und zwar als Befehlshaber der KFOR-Friedenstruppen im Kosovo.
56140	58850	2710	Mit dabei ist auch Samir,
59000	61610	2610	Filmemacher mit schweizerisch- irakischen Wurzeln.
61810	64810	3000	Seine Familie lebt teils immer noch in Bagdad.
65030	68370	3340	Er macht zurzeit einen Film über seine Verwandten
68500	70130	1630	und über die Verhältnisse im Irak.
70340	72530	2190	Ich begrüsse ganz herzlich Samuel Behloul.
72620	74610	1990	Er studierte Islamwissenschaften.
74830	76810	1980	Er kümmert sich für die Schweizerische Bischofskonferenz
76920	79050	2130	um Christen, die geflüchtet sind.
79260	83050	3790	Mit dabei ist auch Kurt Pelda. Er ist Kriegsreporter für SRF.
83200	87930	4730	Er ist soeben aus den umkämpften IS-Gebieten zurückgekommen.
87970	90490	2520	Welches sind diese Gebiete?
90620	95570	4950	Diese schauen wir uns zu Beginn an. So wissen wir, wovon wir reden.
95729.99999999999	101330	5600	Auf dieser Karte sieht man die Türkei, Irak, Syrien.
101500	104410	2910	Die orangen Gebiete sind weniger bewohnt.
104580	111890	7310	In den rot eingefärbten Gebieten ist der IS - vermeintlich.
112030	115890	3860	Kurt Pelda, gilt diese Karte noch? Es wechselt ja fast täglich.
116000	117810	1810	Ja, sie gilt noch ungefähr.
118009.99999999999	121890	3880	Der Islamische Staat versucht, nach Westen vorzudringen.
122060	125570	3510	Im Irak wurden sie etwas gestoppt durch amerikanische Luftangriffe.
125780	128530	2750	Diesen Stoss sieht man auf der Karte noch nicht,
128630	131250	2620	aber dort wird noch gekämpft.
131420	136850	5430	Das Ende des Feuers ... Der IS wurde gestoppt.
136980	139530	2550	Aber das kann sich jederzeit ändern.
139730	141970	2240	Sie sagen, im Moment sei er gestoppt.
142060	144530	2470	Der IS nannte sich früher ISIS.
144700	147370	2670	Also Islamischer Staat, Irak und Syrien.
147590	150370	2780	Irak und Syrien sind mittlerweile weggefallen.
150470	152690	2220	Es geht um Ausbreitungsgelüste.
152860	155650	2790	Im Internet geistert eine andere Karte herum.
155870	158810	2940	Ich sage geistert, weil es heisst, sie sei nicht gültig.
159020	161010	1990	Wir schauen sie uns trotzdem an.
161140	163490	2350	Wenn es so kommen würde,
163640	167490	3850	würde der IS den ganzen Nahen und Mittleren Osten erobern wollen,
167570	169970	2400	den indischen Subkontinent, ein riesiges Gebiet.
170150	175250	5100	Klaus Reinhardt, Sie sind ein alter Stratege.
175470	179530	4060	Wenn Sie diese Karte sehen, wenn Sie sehen, wie der IS funktioniert,
179630	182730	3100	wie muss man das bewerten?
182930	185530	2600	Sie machen das aus ihrer Sicht im Moment recht günstig.
185660	188010	2350	Sie haben Mossul erobert.
188130	190370	2240	Sie sind bis Kirkuk vorgestossen.
190590	193130	2540	Sie wurden vor Bagdad gebremst.
193240	195770	2530	Jetzt sind sie dabei, wie wir das gehört haben,
195990	199530	3540	die Verbindung zwischen Ost und West, diese Landbrücke,
199620	202410	2790	unter eigene Kontrolle zu nehmen.
202570	206770	4200	Von dort werden sie die nächsten Operationen fahren.
206960	210450	3490	Ich gehe davon aus, dass dies mit Sicherheit in den Süden,
210579.99999999997	212770	2190	Richtung Bagdad laufen wird.
212980	218250	5270	Sie haben massives Gerät von den irakischen Streitkräften erobert.
218380	221730	3350	Sie haben 4 Divisionen der Streitkräfte Iraks zerschlagen
221870	226250	4380	und haben Panzerschützer, Panzer- hubschrauber in Besitz genommen.
226410	232090	5680	Sie haben 3 Brigaden von Assad unter Kontrolle genommen
232310	234610	2300	und zerschlagen.
234720	238730	4010	Sie haben eine Pause, die sie jetzt vorantreiben
238910	243930	5020	und weiter Richtung Westen und nach Süden vorstossen werden.
244190	248410	4220	Diese Sache ist ein Flächenbrand, der mir grosse Sorgen macht.
248590	252490	3900	Trotzdem, auf dieser Karte hat man gesehen, Ägypten ist weg,
252580	255610	3030	bis auf den indischen Subkontinent.
255710	258170.00000000003	2460	Ist das nicht nur geblufft, Kurt Pelda?
258329.99999999997	260290.00000000003	1960	Das sind Träumereien.
260589.99999999997	263290	2700	Aber der Kalif, das ist ein islamisches Kalifat,
263440	268130	4690	hat den Anspruch, alle Muslime auf der Welt zu regieren.
268390	272130	3740	Diese Karte zeigt auch die muslimischen Staaten.
272340.00000000006	275890	3550	Das sind primär Ziele des Islamischen Staates.
276110	280730	4620	Ein Langzeittraum ist natürlich die Weltherrschaft.
280840.00000000006	284050	3210	Sie sagen Traum. Sehen Sie das auch so?
284280	287010	2730	Einen Traum braucht jeder von uns und jeder hat einen Traum.
287230	289370	2140	Das ist ein Traum, den wir absolut ablehnen.
289540	291850	2310	Er ist für uns mitunter das Schlimmste,
292060	293450	1390	was wir uns vorstellen können.
293670	295690	2020	Könnte er Realität werden? Ich glaube es nicht.
