start	end	duration	text
860	3790	2930	.
4510	12030	7520	1:1-Untertitelung
12750	15430	2680	"Der ""Club"", heute mit Thomy Scherrer."
16160	18470	2310	Guten Abend und sehr herzlich willkommen.
19240	21830	2590	Immer mehr alte Menschen werden pensioniert
22440	24270	1830	und beziehen Geld.
24990	27510	2520	Und immer weniger Junge bezahlen in das AHV-System ein.
28220	30030	1810	Der grosse Pensionierungsschub der Babyboomer-Generation
30780	32350	1570	kommt erst noch, das ist ein Problem.
33180	34910	1730	Auch die Abstimmung am Wochenende hat deutlich gezeigt,
35570	38510	2940	dass es nicht drin liegt, das AHV-System weiter zu belasten.
39170	41590	2420	Wir fragen heute Abend: Fühlen sich die Jungen betrogen?
42290	44510	2220	Fehlt der Kit zwischen den Generationen?
45200	47390	2190	Ich freue mich sehr auf meine Runde.
48140	50270	2130	Es ist eine Generationen-Runde, die wir zusammengestellt haben.
50980	52830	1850	Herzlich willkommen, Adolf Muschg, 82, Schriftsteller.
53500	55080	1580	In die Zukunft geschaut,
55860	58600	2740	glaubt er nicht an die Sicherheit des Rentensystems.
59410	63040	3630	Benjamin Fischer, 25, Präsident der Jungen SVP Schweiz.
63820	66560	2740	"""Uns Jungen ist es zu dumm, für ein System einzubezahlen,"
67290	70280	2990	"von dem wir wahrscheinlich nichts mehr zurückbekommen."""
70940	72240	1300	Bei uns in der Runde mit dabei:
72950	74880	1930	Anita Fetz, SP-Ständerätin vom Kanton Basel Stadt.
75570	77240	1670	Mit 59 eine Babyboomerin.
77930	80600	2670	Sie hat sich für die AHVplus- Initiative stark gemacht.
81380	84000	2620	Ihre Generation ist die Generation von Frauen,
84710.00000000001	87160	2450	die zum ersten Mal voll gearbeitet haben.
87880	91480	3600	Georges Roos, Zukunftsforscher. Auch er mit 53 ein Babyboomer.
92250	94640	2390	Er sagt, die Solidarität in unserer Gesellschaft ist gross,
95340	98039.99999999999	2700	aber sie werde schlecht gemacht.
98720	100479.99999999999	1760	Ebenso in der Runde mit dabei:
101200	105440	4240	der 46-jährige AHV-Experte vom Thinktank Avenir Suisse,
106180	107840	1660	Jerome Cosandey.
108570	110520.00000000001	1950	Der Generationenvertrag ist für jede Generation bindend,
111180	113640	2460	Geben und Nehmen der Schlüssel dazu.
114330	115800	1470	Herzlich willkommen, meine Damen und Herren.
116620	119680	3060	Jerome Cosandey, wieso braucht es
120430	126240	5810	den häufig zitierten Generationenvertrag überhaupt?
126970	130160	3190	Der Generationenvertrag ist im Prinzip nicht nur die AHV,
130820	132080	1260	das ist noch wichtig zu betonen.
132780	135080	2300	Der Generationenvertrag ist ursprünglich im Privaten,
135790	137440	1650	in der Familie entstanden.
138180	140720	2540	Als Eltern investiert man viel in die Erziehung seiner Kinder.
141390	143320	1930	Und man hofft,
144060	146280	2220	später auch von den Kindern gepflegt oder unterstützt zu werden.
146970	148800	1830	Wenn man das breiter fast,
149530	151280	1750	mit dem gesellschaftlichen, staatlichen Aspekt,
152020	153960	1940	hat nicht jeder das Glück, eine eigene Familie zu haben,
154570	156240	1670	die bis zum Schluss da ist.
157020	159400	2380	Nicht jeder hat die Möglichkeit, für die ganze Bildung zu sorgen.
160220	162520	2300	Deshalb braucht es einen gesellschaftlichen Vertrag.
163180	164680	1500	Auch hier ist der Gedanke dahinter,
165400	168760	3360	dass alle ins System geben, sei es auf der privaten Schiene,
169540	171680	2140	in der Familie, oder über die gesellschaftliche Schiene,
172460	176920.00000000003	4460	die Krankenkassenprämien, über Steuern, freiwilliges Engagement.
177590	178760	1170	Und man hofft natürlich,
179450	183640	4190	dass man über die ganze Lebensdauer gleich viel zurückbekommt,
184270	186040	1770	vielleicht über andere Kanäle,
186690	191800	5110	aber gleich viel zurückbekommt, wie man selber hat.
192540	194720	2180	Und das liefert den Kit über die Generationen und stellt sicher,
195390	197440	2050	dass die Gesellschaft als Ganzes funktionieren kann.
198170.00000000003	200240	2070	Wir leben das erste Mal in einer Vier-Generationen-Gesellschaft.
200980	202880	1900	Wir haben es miteinander zu tun, leben und arbeiten miteinander.
203630	205400	1770	Das ist historisch bedeutend, aber gleichwohl herausfordernd.
206100	207680	1580	Und der Druck, wenn man die junge Generation anschaut,
208360	210160	1800	der Druck auf die Jungen, für so viele Ältere zu bezahlen,
210820	212160	1340	ist gross und wird grösser.
212820	214680	1860	Man könnte von einer gesell- schaftlichen Explosion sprechen,
215430	217360	1930	die möglicherweise geschehen könnte.
217970	219720	1750	Herr Fischer, Sie haben gesagt:
220450	224760	4310	"""Uns wird es irgendwann zu dumm, in das System einzubezahlen."""
225450	227160	1710	Brennt Ihr Zündholz schon an der Lunte dieser Bombe,
227850	229800	1950	die gesellschaftlich explodieren könnte?
230530	233520	2990	"Dass die Jungen sagen: ""Nein, wir bezahlen nicht mehr."""
234350	235840	1490	Das ist vielleicht etwas martialisch ausgedrückt.
236620	237800	1180	Ich habe gesagt, es wird zu blöd,
238530	240280	1750	wenn die Jungen kein Vertrauen mehr in ein System haben,
241040	242640	1600	dass auch ihr Rentenversprechen eingehalten wird.
243420	246160	2740	Ich finde aber wichtig, was Herr Cosandey gesagt hat:
246870	250660	3790	Die Generationensolidarität ist nicht einfach ein Sozialwerk.
251410	255420	4010	Früher hat man noch mit drei Generationen in einem Haus
256140	257500	1360	unter einem Dach gelebt.
258279.99999999997	259700	1420	Die Eltern haben für die Kinder gesorgt.
260329.99999999997	261860	1530	Später hat man für die Grosseltern gesorgt.
262510	263940	1430	So hat man Hand in Hand gelebt.
264660	266620	1960	Mit der gesellschaftlichen Entwicklung wurde es nötig,
267440	270500	3060	dass man zumindest einen Teil davon in die Gesellschaft auslagert.
271240	276350	5110	Wir müssen aber aufpassen, dass wir das nicht übermässig strapazieren.
277050	279990	2940	Wann kommt der Moment, an dem die Jungen aussteigen?
280620	284550	3930	Im Moment ist es höchst unsicher,
285260	289000	3740	wie lange wir mit diesem System fortfahren können.
289610	292240	2630	Wir haben aktuell die Reform Altersvorsorge 2020,
292980	296320	3340	bei der es darum geht, dass wir sie über die nächsten 20-30 Jahre
297020	299040	2020	retten können - vielleicht nicht einmal.
299820	305280	5460	Aber gemäss der Gesetzgebung werde ich im Jahr 2056 pensioniert.
305970	308160	2190	Ich glaube zwar nicht, dass sich dann pensioniert werde.
308900	310320	1420	Das ist sicher nicht möglich.
311130	312880	1750	Aber gemäss der heutigen Gesetzgebung wäre es so.
313610	315640	2030	Aber so weit denkt heute niemand.
316300	317880	1580	Die heutige junge Generation
318610	320720	2110	ist mit sehr vielen Herausforderungen konfrontiert.
321380	322890	1510	Und es ist nicht redlich,
323620	325850	2230	diese junge Generation immer stärker zu belasten -
326490	328530	2040	für ein starres System aus der Vergangenheit,
329180	332850	3670	das eigentlich für die Zukunft nicht tauglich ist.
333590.00000000006	335170	1580	Ich bezahle ebenfalls für die AHV ein,
335800	337730	1930	aus einem Solidaritätsgedanken.
338400	339770	1370	Ich glaube nicht daran,
340510	342050	1540	dass ich einmal etwas aus der AHV beziehen werde.
342790	345210	2420	Auf jeden Fall sorge ich dafür, dass ich das nicht nötig haben werde.
345950	347690	1740	Den gleichen Tipp gebe ich allen meiner Generation:
348409.99999999994	349610	1200	"""Schaut selber!"""
350380	351690	1310	"""Wenn es noch etwas gibt, ist es schön und gut,"
352390	353409.99999999994	1020	"aber verlasst euch bitte nicht darauf!"""
354150	358180	4030	Wie machen Sie das genau? - Ich persönlich mit der Ausbildung.
358900	360620	1720	Es gibt sehr viele verschiedene Varianten.
361310	363420	2110	Darauf können wir vielleicht später noch zu sprechen kommen.
364100	366060	1960	Auch die Lebenswege, die Biografien
366860	368460	1600	sind heute nicht mehr so geradlinig wie früher.
369170	371940	2770	Dass man einen Beruf erlernt und ein Leben lang diesen Beruf ausübt -
372660	374740	2080	wenn möglich noch bei der gleichen Firma -
375460	378340	2880	und mit 65 wird man pensioniert. Das ist heute nicht mehr so.
379060	381180	2120	Es gibt verschiedene Modelle und Lebenswege.
381980	386140	4160	Da muss jeder für sich eine Möglichkeit und einen Weg finden.
386870	391260	4390	Entweder genug auf die Seite legen, eine genug gute Ausbildung machen.
391940	394060	2120	Oder dafür sorgen,
394770	396700	1930	dass man auch später im Alter weiterhin berufstätig sein kann.
397460	399580	2120	Frau Fetz, Sie haben den Spreng- stoff, den wir angesprochen haben,
400310	402460	2150	noch befeuert - als Befürworterin der AHVplus-Initiative.
403140	404460	1320	Sie haben den Druck auf die Jungen erhöht.
405120	406980	1860	Nein, ich würde warnen davor,
407780	410380	2600	hier einen Generationenkonflikt herbeizureden,
411180	413990	2810	den es real nicht gibt.
414650	417390	2740	Ich bin auch der Meinung, dass wir uns mittel- und langfristig
418140	419590.00000000006	1450	uns ein anderes System überlegen müssen.
420240	421870	1630	Vorher, Herr Fischer, ist es noch so,
422580	427710	5130	dass ich Ihre Ausbildung bezahle. Etwas simpel ausgedrückt.
428300	429510	1210	Verlangen Sie Dankbarkeit?
430220	432390	2170	Nein, überhaupt nicht, aber die Realitäten.
433140	435390	2250	Auf der einen Seite wird davon gesprochen,
436220	440550	4330	die Älter-Werdenden, v.a. wenn man in Pension ist, werden immer teurer.
441340	444990	3650	Aber man vergisst, dass wir auch immer mehr in Bildung investieren.
445710	448510	2800	Wir investieren über 30 Mrd. Fr. pro Jahr
449220	451700	2480	in die Bildung von Jungen - das ist ja auch richtig.
452440	457070	4630	Das will jede Generation, dass die Jungen gut ausgebildet sind.
457900	461150	3250	Vom Kindergarten bis zu den ETHs - das ist auch richtig.
461790	463909.99999999994	2120	Das ist immer noch ausgeglichen.
464600	466260	1660	Es wäre falsch, zu sagen,
466960	470260	3300	eine Generation bezahlt mehr und die andere weniger.
471020	475260	4240	Ganz abgesehen davon, dass ich es dumm finde,
475990	479220	3230	die Generationen gegeneinander auszuspielen.
479930	483270	3340	Wir müssen jetzt aber folgendes machen:
483980	486470	2490	Und ich mache mir weniger um die AHV Sorgen,
487220	490150	2930	dafür aber grosse Sorgen um die Pensionskassen.
490900	492510	1610	Darf ich noch kurz die anderen drei Herren
493160	495150	1990	zum Thema Sprengstoff befragen?
