start	end	duration	text
11810	12440	630	.
27990	29880	1890	MIT TELETEXT-UNTERTITELUNG
31700	34280	2580	Für die Wissenschaft ist die menschliche Libido
34400	36240	1840	bis heute ein Rätsel.
36410	39520	3110	Wie entsteht Lust? Wo entwickelt sich Begierde?
40760	43160	2400	Sex ist Kopfsache, nicht Unterleibsache.
43770	46760	2990	Wo im Kopf sitzt der Sex denn?
46990	51160	4170	Diesem Geheimnis sind Genfer Sexualforscher dicht auf der Spur.
51560	54320	2760	Sexuelles Verlangen entsteht in Hirnarealen,
54410	54680	270	die zu den komplexesten überhaupt gehören.
60280	63680	3400	Sexuelle Unlust kennt der Mensch wohl, seit es ihn gibt.
63860	68160	4300	Heute aber versprechen potente Pillen Abhilfe, auch für Frauen.
68240	69520	1280	Sind wir denn wirklich alle krank?
71130	74680	3550	Wir leben in einer Kultur, die es begründungspflichtig findet,
74840	77160	2320	wenn man keine Lust auf Sexualität hat.
77310	78960.00000000001	1650	Erstaunlich: Beim Sex in der Ehe
79140	83080	3940	verlieren die Frauen die Lust früher als Männer.
83190	84520	1330	Das zeigen neue Studien.
85660	88720	3060	Ich verstehe nicht, warum es noch immer heisst,
88830	92880	4050	alle Männer seien Betrüger, Frauen dagegen treue Madonnen.
93140	97720	4580	In Langzeitbeziehungen gehen Lust und Leidenschaft häufig verloren.
98289.99999999999	99520.00000000001	1230	Immer mehr Paare erhoffen sich Hilfe vom Sexualtherapeuten.
102170	105840	3670	Wir zeigen, wie ein Ehepaar den Sexfrust bekämpfen will.
106170	109080	2910	Es wurde für uns immer schwerer, auf den anderen zuzugehen
109200	111000	1800	und mit ihm intim zu werden.
111130	113039.99999999999	1910	Die Strukturen der Lust:
113210.00000000001	114560	1350	"""Einstein"" zeigt, warum wir Menschen uns gegenseitig begehren"
117200	119680	2480	und weshalb manchmal auch nicht.
123200	125480	2280	"Herzlich willkommen zu ""Einstein""."
125690	128360.00000000001	2670	Wir sind heute in der Welt von Pipilotti Rist.
128410	129560	1150	Die Schweizer Künstlerin hat hier im Kunsthaus Zürich
131280	133240	1960	eine lustvolle Ausstellung geschaffen,
133420	136160	2740	in die man mit Haut und Haaren abtauchen kann.
136410	140160	3750	Wir wollen hier heute herausfinden: Was ist es, wissenschaftlich gesehen?
140420.00000000003	143360	2940	Was törnt uns an und was törnt uns ab?
144760	146680	1920	* Jubel *
146880	151079.99999999997	4200	Feuchtfröhlicher Mädchenabend in einer Hamburger Studentinnen-WG.
152000	154000	2000	(Alle) Prost!
154530	158960	4430	In wenigen Augenblicken wird sich hier ein Stripper nackt ausziehen.
159150	159560	410	Wie werden die acht jungen Frauen reagieren?
162130	164880	2750	Wird sie der Strip an- oder abtörnen?
165770	168840	3070	Bühne frei für Sascha alias James Bond.
168930	170920.00000000003	1990	"* ""James Bond""-Titelmelodie *"
172090	174040	1950	* Lachen *
175260	177320	2060	(Aufnahme) James Bond.
177650	179440	1790	* Schussgeräusche *
181470	183440	1970	Die jungen Frauen werden dabei
183650	186200	2550	von der Soziologin Marianne Pieper beobachtet.
186300	188160	1860	Die Hamburger Forscherin
188320	189600	1280	analysiert für uns die Reaktionen der Studentinnen.
192610	194920	2310	Ganz oft also diese vorgehaltene Hand,
195060	197000	1940	das versteckte Lachen dahinter.
197240	200480	3240	Man könnte vermuten, sie nehmen die Situation nicht ganz ernst,
200690	203600	2910	aber die Situation ist ihnen auch ein bisschen unheimlich.
203760	204600	840	Üblicherweise sind die Frauen diejenigen,
206079.99999999997	208040	1960	die etwas als Dienstleistung anbieten,
208180	210120	1940	und hier ist es nun plötzlich ein Mann.
210340	213400	3060	Und das, glaube ich, durchbricht die Normalitätserwartungen
213530	215920.00000000003	2390	schon ein Stück weit. Das macht unsicher.
