start	end	duration	text
4460	6380	1920	.
6630	14060	7430	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14090	16740	2650	Hallo, guten Abend.
16840	18580	1740	"Das ist ""Schweiz aktuell"" am Montag, und dies sind unsere Schwerpunkte:"
19860	23420	3560	Der Mann, der gestern im aargauischen Würenlingen
23560	28020	4460	4 Menschen und sich selbst erschossen hat,
28100	30660	2560	soll bei Behörden und Nachbarn
30840	33020	2180	in seinem Wohnort Reichenburg im Kanton Schwyz
33030	34420	1390	kein Unbekannter gewesen sein.
37120	40020	2900	Die Abwahl der SP aus der Luzerner Regierung macht deutlich,
40090	43620	3530	wie schwierig es für Linksparteien in der Zentralschweiz ist.
45290	47620	2330	Im Fürstentum Liechtenstein
47810	51140	3330	wehren sich aufgeschlossene Katho- liken gegen Erzbischof Wolfgang Haas.
51280	54380	3100	Sein erzkonservativer Kurs
54520	58500	3980	könnte im Ländle eine Kirchenspaltung provozieren, sagen Kritiker.
60160	62860	2700	Ein 36-jähriger Mann fuhr am Samstagabend
63030	67020	3990	von seinem Wohnort im Kanton Schwyz nach Würenlingen/AG
67160	68740	1580	und erschoss dort in einem ruhigen Wohnquartier
68960.00000000001	71140	2180	seine Schwiegereltern, seinen Schwager,
71380	74620	3240	einen Nachbarn der Familie und schliesslich auch sich selbst.
74800	76660	1860	Auch 2 Tage nach dem schweren Verbrechen
76750	79100	2350	sind noch vielen Fragen offen.
79210.00000000001	81300	2090	V.a. zum Motiv des Täters,
81550	83580	2030	der offenbar wegen Gewaltdelikten vorbestraft war,
83670	86220	2550	sind viele Fragen offen.
86330	88220	1890	In der Tatortgemeinde Würenlingen
88370	90380	2010	sind Anwohner und Behörden schockiert.
91289.99999999999	93420	2130	Kerzen und Blumen,
93570	96100	2530	das sind heute die stillen Symbole für ein schweres Verbrechen.
96229.99999999999	98420	2190	Der Medientross ist verschwunden,
98490.00000000001	100420	1930	fast kehrt wieder etwas Ruhe ein in Würenlingen,
100640	102660	2020	wären da nicht noch die Kriminaltechniker.
102759.99999999999	104740.00000000001	1980	Sie suchen auch heute noch nach Spuren,
104950	106820	1870	die Antworten auf ein Verbrechen geben sollen,
106990.00000000001	109220	2230	das sich hier niemand so richtig erklären kann.
109370	112140	2770	Antworten sucht auch der Seelsorger der Gemeinde Würenlingen.
112330	115620	3290	Er führte bereits erste Gespräche mit Opferangehörigen.
115729.99999999999	118020.00000000001	2290	Er hat schon viele Todesfälle erlebt,
118150	121700	3550	aber so ein schweres Verbrechen gehe besonders unter die Haut.
121870	127620	5750	Das Ganze ist diffus für mich und mit vielen Fragezeichen verbunden.
127710	131460	3750	Ich denke, es ist eine länger schwelende Konfliktgeschichte,
131610	134580	2970	eine Beziehungsgeschichte mit verschiedenen Episoden.
134710	137700	2990	Es geschah am Samstagabend.
137860	139940	2080	Ein 36-jähriger Schweizer aus dem Kanton Schwyz
140090	143540	3450	tötet seine Schwiegereltern und sei- nen Schwager mit mehreren Schüssen.
143650	146579.99999999997	2930	Bevor sich der Mann selber richtet, tötet er einen Nachbarn,
146670.00000000003	148860	2190	wahrscheinlich ein Zufallsopfer.
148970	151700	2730	Gestern erklärte die Kantonspolizei Aargau,
151800	154500	2700	dass der Täter wegen Körperverletzung und Drohungen vorbestraft war.
154740	157500	2760	Erst letzten Monat fand eine Hausdurchsuchung nach Waffen statt.
157620	159740	2120	Die Polizei fand dabei aber nichts.
159860	162300	2440	Die Schwyzer Behörde ordnete eine fürsorgerische Unterbringung
162370	166220	3850	für ihn und seine Familie an.
166400	170420.00000000003	4020	Momentan betreut ein Care-Team des Kantons Aargau die Angehörigen.
170600	173860	3260	Später will die Gemeinde für sie da sein, sagt der Gemeindeamman,
173990	176060	2070	Andre Zoppi.
176240	178579.99999999997	2340	Der Täter war den Schwyzer Behörden bekannt,
178650	181660	3010	trotzdem konnte niemand die Tat verhindern.
181760	184940	3180	Macht Sie das wütend oder traurig?
185090	188180	3090	Ja, das macht einen schon wütend und traurig und v.a. betroffen,
188350	193060	4710	denn das kann nicht der einzige sein, der unter Beobachtung steht
193180	197100	3920	und dann ausser Kontrolle gerät.
197270	201579.99999999997	4310	Unterdessen gedenkt der Seelsorger der Opfer, aber auch der Familien -
201690	203780	2090	die Zurückgebliebenen.
203890	205940	2050	Vermutlich wird er die Trauerfeier
206040	208700	2660	zusammen mit den Angehörigen gestalten.
208960	211860	2900	Es ist ganz wichtig zu sig- nalisieren, dass ich für sie da bin
212010	217620	5610	und die Situation mit ihnen aushalte.
217840	222100	4260	Ich habe nicht auf alle offenen Fragen eine Antwort,
222280	226180	3900	aber es gibt Antworten, die vom Glauben her kommen.
226380	228860	2480	Aber diese Antworten beantworten nicht alles.
229079.99999999997	230940	1860	2 Tatorte, 5 Tote. Zurück bleiben viele Fragen.
231110	234740	3630	Auch die Polizei steht vor grossen Herausforderungen,
234960	238860	3900	mehrere Familien sind involviert und müssen befragt werden.
238960	240980	2020	Das braucht Zeit.
245970	247940	1970	Schon gestern erwähnten die Aargauer Behörden
248030	249900	1870	im Zusammenhang mit dem Verbrechen,
250050	251940	1890	dass die Spuren des Täters in den Kanton Schwyz führen.
252030	254020	1990	Verschiedene Medien berichten heute,
254200	256500	2300	der Täter habe in Reichenburg gewohnt.
256690	258820	2130	Vor Ort ist jetzt unser Team um Reporterin Livia Baettig.
258920.00000000003	260660.00000000003	1740	Was weiss man über den Mann konkret?
260790.00000000003	268140	7350	Wir untertiteln live:
268310	273380	5070	der Täter hatte in Reichenburg gewohnt.
273520	278540	5020	Die Nachbarin beschrieben ihn als instabil.
278760	281460	2700	Er habe sie bedroht und Prügel versprochen in einem Brief.
281570	283860	2290	Laut Nachbarn
284080	287180	3100	habe er sich bedroht und verfolgt gefühlt.
287340.00000000006	289900	2560	Er habe darum eine Kamera installiert
290000	293980	3980	im Eingangsbereich seiner Wohnung,
294090.00000000006	297500	3410	damit der immer weiss, was im Treppenhaus geschieht.
297610	303580	5970	Ein Care-Team ist hier.
304850	310100	5250	Sie haben Objekte aus seiner Wohnung geholt und in einen Bus verladen.
310270	310860	590	Nahmen die Behörden im Kanton Schwyz heute offiziell Stellung
312700	318980	6280	zum Mann oder zum Verbrechen?
319110	324980	5870	Nein, sie waren zurückhaltend.
325540	331460	5920	Morgen soll es aber ein Communique geben, wo man mehr erfahren soll.
332620	337460	4840	Im Kanton Luzern ging gestern eine politische Epoche zu Ende.
337540	340060	2520	Im 2. Wahlgang für den Regierungsrat scheiterte Felicitas Zopfi,
340150	342110	1960	die Kandidatin der SP.
342270	344510	2240	Damit ist die SP im Kanton Luzern
344730	347390	2660	zum ersten Mal seit 56 Jahren nicht in der Regierung vertreten.
347560	350350	2790	Und der Trend der letzten paar Regierungsratswahlen geht weiter:
350510	354030	3520	Linksparteien verlieren Regierungskompetenzen.
354130	357190	3060	Warum Linke es v.a. in den Zentralschweizer Regierungen
357330	360190	2860	schwer haben, zeigt der Bericht von Nicole Frank.
361810	364710	2900	Zeitung lesen am Tag nach der Wahlniederlage.
364930	367110	2180	Der SP-Präsident ist immer noch ein bisschen geknickt.
367280	369790	2510	Klar, die bürgerlich geprägte Zentralschweiz,
370010	372950	2940	das konservative Stammland, sei kein einfaches Pflaster.
