start	end	duration	text
1670	3540	1870	.
4230	6580	2350	1:1-Untertitelung
7450	10100	2650	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10840	12380	1540	Das macht an diesem Freitag Schlagzeilen:
14310	18740	4430	Vorläufig Aufgenommene sollen eine bessere Perspektive erhalten.
21080	25340	4260	Der Leichnam des Königs wird in den Palast überführt.
27600	32020.000000000004	4420	Sieben Kandidaten der Republicains im ersten TV-Duell.
34220	38380	4160	Michelle Obama knöpft sich Donald Trump vor.
39820	43940	4120	Nur am Morgen noch hier und da ein paar Wolken.
45720	49860	4140	Vorläufig Aufgenommene sind Menschen, die hierzulande kein Asyl erhalten,
50540	51780	1240	aber aus diversen Gründen
52450	55300	2850	auch nicht in ihr Herkunftsland zurückgeschickt werden können.
55970	57940	1970	Rund 37'000 sind das zurzeit.
58660	61340	2680	Sie bleiben meist länger und leben oft von Sozialhilfe.
62030	63220	1190	Das soll sich jetzt ändern.
63960	65940	1980	So hat das Parlament den Bundesrat beauftragt,
66720	69380	2660	den viel kritisierten Status der vorläufig Aufgenommenen
70190	72340	2150	zu überdenken. Aus Bern, Christoph Nufer.
73750	76700	2950	Vorläufig Aufgenommenen bleibt heute häufig nichts anderes übrig
77480	80180	2700	als Beschäftigungsprogramme oder der Gang aufs Sozialamt.
80920	82940	2020	Im Schnitt arbeitet nur knapp ein Drittel.
83640	85900	2260	Gestempelt, stigmatisiert seien vorläufig Aufgenommene,
86680	89060	2380	obwohl die meisten von ihnen für immer hier bleiben.
89789.99999999999	91539.99999999999	1750	"V.a. der irreführende Begriff ""vorläufig"""
92289.99999999999	95580	3290	sei bei der Jobsuche ein Problem, sagt der zuständige Staatsekretär.
96520.00000000001	99420	2900	Welcher Arbeitgeber stellt eine vorläufig aufgenommene Person an
100240.00000000001	104460.00000000001	4220	und investiert in deren Integration im Betrieb?
105140	107700	2560	Die Zahl der vorläufig Aufgenommenen ist in den letzten sieben Jahren
108430	113620	5190	um das Eineinhalbfache von 22'000 auf über 37'000 Personen angestiegen.
114350	118340	3990	Bei den Eritreern stieg sie gar um das Sechseinhalbfache,
119039.99999999999	120700	1660	bei den Syrern seit Beginn des Bürgerkrieges 2011
121370	122700	1330	um mehr als das Achtfache.
123400	127460	4060	"Darum schlägt der Bundesrat nun vor, den Status ""vorläufig Aufgenommene"""
128199.99999999999	129620	1420	durch die sog. Schutzgewährung zu ersetzen,
130310	132980	2670	mit einem neuen bundesrechtlichen Status.
133800	135300	1500	Mit dem Ziel, die Rahmenbedingungen für eine rasche Integration
136020	139300	3280	von Personen, die wahrscheinlich dauerhaft bleiben, zu verbessern.
139960	143340	3380	Und auch, um die Sozialabhängigkeit und die Sozialkosten zu senken.
144040	146860	2820	Gleichzeitig ist der Bundesrat der Meinung,
147510	151060	3550	dass nicht ein zusätzlicher Pull-Effekt entstehen darf.
151790	153860	2070	Konkret: Mit dem neuen Status der Schutzgewährung
154610	156460	1850	hätten heute vorläufig Aufgenommene mehr Rechte.
157190	160500	3310	Anspruch auf Arbeit und Stellenwechsel in der ganzen Schweiz.
161180	163460	2280	Der Kanton kann nach fünf Jahren
164190	166540	2350	einfacher eine Aufenthalts- bewilligung erteilen als heute.
167360	168420.00000000003	1060	Keine Schutzgewährung gäbe es für Kriminelle
169160	171460	2300	mit langjährigen Freiheitsstrafen.
172160	176180	4020	Der Bericht des Bundesrates zu diesem neuen Status der Schutzgewährung
176870	177910	1040	kommt jetzt dann ins Parlament.
178640	180670	2030	Laut ersten Reaktionen geht der Status den Linken zu wenig weit
181320	183750	2430	und den Rechten viel zu weit.
184390	186910	2520	Doch wie auch immer: Dieser neue Status ist v.a. eine Etikette
187720	189670	1950	für Menschen, die kein Asyl bekommen sollen
190400	193670	3270	und trotzdem nicht nach Hause geschickt werden können.
194390	196510	2120	Doch am Schluss ist es einem Syrer oder Eritreer egal,
197310	200630	3320	ob er jetzt vorläufig aufgenommen ist oder ihm Schutz gewährt wird.
201350	203510	2160	Deswegen werden nicht weniger Leute kommen.
204920.00000000003	209270	4350	Und wir bleiben beim Thema: 4'500 illegale Grenzübertritte.
209900	211950	2050	So viele Migranten sind von Januar bis August
212670.00000000003	215230	2560	unerlaubt von der Schweiz aus in Deutschland eingereist.
216040	219110	3070	Die meisten im Juli und August - rund 1'000 pro Monat.
219829.99999999997	222110	2280	Nachdem sich der deutsche Innenminister Thomas de Maiziere
222810	224270	1460	darüber beschwert hat, hat man sich jetzt
225010	228430	3420	mit Bundesrätin Simonetta Sommaruga auf einen Aktionsplan geeinigt:
229230	231270	2040	mehr gemeinsame Kontrollen, weniger Flüchtlinge,
232040	234710	2670	die hierzulande untertauchen, um dann nach Norden zu reisen.
236400	239790	3390	Deutsche Polizisten fahnden nach Migranten,
240520	243830	3310	auch im Schweizer Grenzgebiet. Und oft gemeinsam mit Schweizer Kollegen.
244520	247350	2830	Und das auch immer öfter, denn diese Zusammenarbeit soll verstärkt werden.
247950	249150	1200	So der Aktionsplan.
249870	254030	4160	Dazu kommen etwa ein Informations- austausch auf allen Ebenen
254720	255990	1270	und schnellere Rückführungen.
256690	258310	1620	Doch: Viele, die illegal nach Deutschland einreisen,
259010	260430	1420	sind zuvor in der Schweiz untergetaucht,
261160.00000000003	263270	2110	auch im Asylverfahren, auf Transporten.
263950	265310	1360	Der Bund will das unterbinden.
266060	268590	2530	Etwa, indem Flüchtlinge schneller registriert werden.
270410	272470	2060	Dann werden Asylsuchende, die aus dem Tessin
273159.99999999994	275390	2230	in andere Zentren verlegt werden, in Bussen transportiert -
276080	277150	1070	in Gruppen, begleitet.
277830	279670	1840	Auch das Aussteigen und der Eintritt in ein Bundeszentrum
280300	281270	970	werden begleitet.
281980	284150	2170	Und: Asylsuchende, die im Tessin aufgegriffen werden,
284960	288430	3470	werden wenn möglich nicht in Zentren an der deutschen Grenze verlegt.
289120	291030	1910	Weitere Punkte des Aktionsplans:
291780	294470	2690	verstärkte Kontrollen an der Schweizer Südgrenze
295280	300070	4790	und mehr Hilfe direkt vor Ort an Hotspots in Südeuropa.
300780	302310	1530	Wir werden die Zahl der Mitarbeitenden verdoppeln,
303020	304910	1890	die in den Hotspots in Italien und Griechenland
305680	307950	2270	die Aufnahme und Registrierung von Asylsuchenden unterstützen.
308630	312390	3760	Wir werden auch die Aufnahme von Asylsuchenden aus Griechenland
313080	315990	2910	und Italien im Rahmen des Relocation-Programms beschleunigen.
316800	318750	1950	So soll etwa Italien entlastet werden,
319470	321590	2120	und damit letztendlich auch die Schweiz und Deutschland.
324840	328550	3710	Wenn es um Wahlen in die Schweizer Gemeindeexekutiven geht,
329350	331710	2360	ist es nicht gerade immer und überall so,
332310	334790	2480	dass Kandidaten in Scharen die Gemeindehäuser stürmen,
335480	336830	1350	um sich zur Wahl zu stellen.
337460	339310	1850	Also umgarnt der Schweizerische Gemeindeverband
340080	341630	1550	jetzt besonders die unter 40-Jährigen,
342450	344909.99999999994	2460	auf dass die politisches Engagement zeigen.
345659.99999999994	347350	1690	Schliesslich ist so ein Amt nicht nur Bürde,
348040	349150	1110	sondern auch Karrierechance.
349860	352150	2290	Noemi Ackermann mit einem Beispiel aus dem Kanton Aargau.
353590.00000000006	356909.99999999994	3320	Gewerbeausstellung im aargauischen Niederrohrdorf.
357640	360790	3150	Ein Pflichttermin für den 33-jährigen Gemeinderat Lukas Fus.
361510	364590	3080	Zwei bis drei Abende pro Woche steht er im Dienst seiner Gemeinde -
365280	367110	1830	und das aus Überzeugung.
367860	371030	3170	Somit kann ich etwas zurückgeben, denn ich habe in der Vergangenheit
371790	374470	2680	davon profitiert und möchte, dass das Dorf auch weiterkommt.
375240	377290	2050	Fus ist zweifacher Familienvater
378030	380290	2260	und hauptberuflich als Berater in einer Informatikfirma tätig.
381040	384810	3770	100 % arbeitet er dort, 20 % für die Gemeinde.
385520	387050	1530	Ein Gewinn für beide Bereiche.
388030	390810	2780	Einerseits sicherlich das Netzwerk: Man lernt diverse Personen kennen,
391600	393810	2210	die auch für den Beruf interessant sein können.
394600	396890	2290	Andererseits aber auch, dass man Management-Aufgaben
397630	403210	5580	früher übernehmen kann, weil man das Ganze Learning by Doing erlernt.
403920	405890	1970	"""Die Wirtschaft unterstütze solche Doppelrollen"","
406659.99999999994	408690	2030	sagt Monika Rühl von economiesuisse.
409350	410330	980	Deshalb sei es wichtig,
411050	413409.99999999994	2360	dass für diese Leute gute Bedingungen geschaffen würden.
414159.99999999994	415810	1650	Unternehmungen können ganz konkret unterstützen,
416520	419970	3450	indem sie flexible Arbeitsmodelle offerieren und zulassen.
420710	425210	4500	Sie können aber auch weiter gehen und den Mitarbeiter/-innen erlauben,
425950	429610	3660	sich während der Arbeitszeit für die Vorbereitung der politischen Arbeit
430340	431250	910	Zeit zu nehmen.
431990	433970	1980	Reto Lindegger vom Gemeindeverband sagt,
434680	435970	1290	es brauche auch in der Gesellschaft
436710	439890	3180	mehr Wertschätzung für die Arbeit von Gemeinderäten.
440630	442090	1460	Viele arbeiten 100 % oder Teilzeit in einem Beruf
442800	445130	2330	und übernehmen zusätzlich eben diese Milizaufgabe.
445820	448250	2430	Ich denke, da braucht es wieder ein bisschen mehr Anerkennung
