start	end	duration	text
1160	2640	1480	.
2800	6200	3400	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7210	8840	1630	Guten Abend, meine Damen und Herren.
8990	11840	2850	"Hier ist die ""Tagesschau"", und das sind die Themen heute Freitag:"
13040	18040	5000	Der Germanwings-Kopilot war am Tattag nicht arbeitsfähig.
19220	24960	5740	Swiss und viele andere europäische Airlines ändern ihre Vorschriften.
25480	32479.999999999996	7000	CVP, FDP und SVP präsentieren 13 Massnahmen gegen die Frankenstärke.
33560	39680	6120	Nigeria wählt unter schwierigsten Umständen einen neuen Präsidenten.
40120	43520	3400	Ziemlich sonnig und mild, am Nachmittag aus Westen mehr Wolken.
44920	47640	2720	Warum? Diese Frage stand bereits
47750	51200	3450	unmittelbar nach dem Absturz der Germanwings-Maschine im Mittelpunkt.
51420	54520	3100	3 Tage später weiss man zwar sehr viel mehr
54620	57760	3140	über die technischen Details, über die Umstände des Unglücks,
58000	61360	3360	doch nun stellt sich erst recht die Frage nach dem Warum.
61550	64720	3170	Warum in menschlicher und psychologischer Hinsicht.
64800	66560	1760	Denn der Kopilot, der die Maschine
66640	69560	2920	wahrscheinlich willentlich an den Felsen zerschellen liess,
69760	73880	4120	hat offenbar verheimlicht, dass er am Tag des Flugs arbeitsunfähig war.
75190	78280	3090	Hausdurchsuchung vergangene Nacht in Montabaur
78420	81200	2780	100 km nordwestlich von Frankfurt.
81400	85120	3720	Hier lebte der Absturzpilot Andreas L. im Haus seiner Eltern.
85260	87160	1900	Die Polizei stellt persönliche Gegenstände,
87280	89240	1960	Dokumente und Computer sicher.
89380	91240	1860	Gesucht wird nach Hinweisen
91380	95200	3820	auf ein mögliches Motiv und eine psychische Erkrankung.
95360	98680	3320	Durchsucht wird auch die Zweitwohnung von Andreas L. in Düsseldorf.
98759.99999999999	100720	1960	Die Ermittler finden hier
100910	103600	2690	weder einen Abschiedsbrief noch ein Bekennerschreiben.
103759.99999999999	106440	2680	Die zuständige Staatsanwaltschaft Düsseldorf sagt später,
106520.00000000001	111720	5200	es seien aber andere aufschlussreiche Papiere gefunden worden.
111940	115320	3380	Allerdings wurden Dokumente medi- zinischen Inhalts sichergestellt,
115430	117759.99999999999	2330	die auf eine bestehende Erkrankung
117960.00000000001	120880	2920	und entsprechende ärztliche Behandlung hinwiesen.
120990	124560	3570	Der Umstand, dass dabei u.a. zerrissene aktuelle
124730	130400	5670	und auch den Tattag umfassende Krankschreibungen gefunden wurden,
130560	133720	3160	stützt nach vorläufiger Bewertung die Annahme,
133960	137240	3280	dass der Verstorbene seine Erkrankung gegenüber dem Arbeitgeber
137390	140640	3250	und dem beruflichen Umfeld verheimlicht hat.
140870	145160	4290	Die Staatsanwaltschaft sagt nicht, welche Krankheit Andreas L. hatte.
145310	148640	3330	Unbekannt ist auch, weshalb er diese verheimlichte.
148790	153079.99999999997	4290	In Südfrankreich gehen die Bergungsarbeiten unterdessen
153160	155560	2400	in den 4. Tag.
155670.00000000003	157410	1740	Erstmals haben die Behörden
157570	160250	2680	detaillierte Bilder von der Unglücksstelle veröffentlicht.
160410	164090	3680	Sie zeigen, mit welcher Wucht das Flugzeug in den Berg gestürzt ist.
164220	167650	3430	Trümmerteile haben sich z.T. tief in den Boden gegraben.
167770	169530	1760	Noch immer nicht gefunden worden
169720	172090	2370	ist der Flugschreiber der Unglücksmaschine.
174400	177930	3530	Der Kopilot war am Unglückstag also krankgeschrieben.
178070	192610	14540	Adrian Arnold, weiss man, weshalb? Wir untertiteln live:
192710	197370	4660	Den Krankheitgrund kennt man nicht.
197470	202130	4660	Die Universität Düsseldorf hat gesagt,
202240	205329.99999999997	3090	der junge Mann war 2 Wochen vor dem Absturz Tag
205470	209329.99999999997	3860	in Behandlung in der Klinik gewesen.
209520	214530	5010	Der Grund für die Behandlung wird nicht genannt.
214750	219170.00000000003	4420	Man beruft sich auf die medizinische Schweigepflicht.
219310	222650	3340	Er sei aber nicht wegen einer Depression in Behandlung gewesen.
222890	228730	5840	Die Süddeutsche Zeitung schreibt,
230430	236329.99999999997	5900	der junge Mann sei bei mehreren Medizinern in Behandlung gewesen.
241610	245370	3760	Er soll sich dieses Attest von einem Arzt im Rheinland geholt haben.
245460	247730	2270	Von einem renommierten Psychiater.
247860	251770	3910	Das ist die Faktenlage.
251990	254730	2740	Man kann noch keine Krankheit Grund nennen.
254850	257730.00000000003	2880	Und auch kein Tatmotiv.
257950	260649.99999999997	2700	Die Tonqualität ist zu schlecht.
260820	264290	3470	Wir müssen dieses Gespräch unterbrechen.
267590	270090	2500	Verschiedenste internationale Fluggesellschaften
270280	272610	2330	haben bereits 72 Std. nach dem Absturz in Südfrankreich
272740	274730	1990	Konsequenzen gezogen.
274870	276770	1900	Im Cockpit sollen während des gesamten Flugs
277030	278810	1780	künftig immer 2 Personen anwesend sein.
278960	282530	3570	So auch bei Lufthansa und Swiss. Monika Schönenberger berichtet.
283730	286610	2880	Sobald ein Pilot während des Fluges das Cockpit verlassen muss,
286700	288570	1870	wird die Crew verständigt.
288710	290490	1780	Ein Flugbegleiter wechselt auf den Pilotensitz,
290630	292890	2260	noch bevor sich die Tür zum Cockpit wieder verschliesst.
293000	294770	1770	Dies teilt die Swiss heute mit.
294990	297050	2060	Wir haben uns - wie alle anderen Airlines auch -
297200	299210	2010	mit dem Fall in Frankreich natürlich beschäftigt.
299420	301490	2070	Was können wir daraus lernen? Was können wir besser machen?
301660	303530	1870	Wir haben das mit unseren Experten analysiert.
303750	306010	2260	Wir kamen zur Überzeugung, dass das hilft,
306190	309530	3340	das Risiko, dass so etwas nochmals passiert, zu reduzieren.
309640	312050	2410	Der Verdacht, es gehe v.a. darum,
312200	314290	2090	das Vertrauen in die Piloten wiederherzustellen,
314420	317250	2830	weist Hiltebrand zurück.
317440	320290	2850	Ich habe 100 % Vertrauen in meine Piloten. Das ist kein Thema.
320470	322570	2100	Aber wenn wir mit dieser Massnahme helfen können,
322760	324730	1970	dass so eine Situation nicht mehr entsteht,
324830	326930	2100	ist es richtig, dass wir sie einführen.
327080	330090	3010	Die 2-Personen-Regel fürs Cockpit ist einfach umzusetzen.
330240	332930	2690	Es braucht kein zusätzliches Personal.
333110	336530	3420	Die Massnahme wird begrüsst, auch vom Leiter des Studiengangs Aviatik
336680	340610	3930	der Zürcher Hochschule für Angewandte Wissenschaften, Christoph Regli.
340740	343730	2990	Er gibt aber zu bedenken:
343870	348970	5100	Einerseits hat die Kabinenbesatzung gewisse Aufgaben in der Kabine,
349100	351290	2190	nicht nur die Betreuung der Passagiere,
351440	354490	3050	sondern auch gewisse Aufgaben im Sicherheitsbereich.
354659.99999999994	358130	3470	Da muss untersucht werden, ob damit nicht Risiken eingeführt werden,
358260	360130	1870	die nicht beabsichtigt sind.
360310	362970	2660	Andererseits ist diese Person auch nicht ausgebildet,
363100	365530	2430	das Flugzeug fliegen zu können.
365750	368410	2660	Man müsste definieren, was genau die Aufgabenbereiche
368560	370770	2210	im Cockpit für jemanden aus der Kabinenbesatzung,
370870	373210	2340	der darin Platz nimmt, sind.
373380	376970	3590	Airlines wie etwa easyJet, Helvetic Airways und Air Berlin
377070	380010	2940	setzen die neue Sicherheitsmassnahme fürs Cockpit ebenfalls um.
380110	382450	2340	Sie gilt bei allen ab sofort.
384980	389770	4790	Es ist ein Schulterschluss mit Ansage.
389960	395570	5610	CVP, FDP und SVP wollen in wirtschaftspolitischen Fragen
395750	398130	2380	enger zusammenarbeiten.
398280	401250	2970	Die Absichtserklärung war schon länger bekannt.
401400	404730	3330	Heute gabs von den Parteipäsidenten Präzisierungen dazu.
404880	406570	1690	Aus Bern, Hanspeter Trütsch:
407440	411130	3690	Da sitzen sie also, die Chefs der 3 grossen bürgerlichen Parteien.
411310	414409.99999999994	3100	Die Botschaft: Die Wirtschaft brauche günstige Rahmenbedingungen,
414590.00000000006	418010	3420	deshalb müssten die Bürgerlichen geeinter auftreten.
418180	420210	2030	Das heisst aber auch, dass man die Massnahmen
420470	422210	1740	nicht nur auf dem Papier beschliessen soll,
422410	424290	1880	sie müssen auch Mehrheiten im Parlament haben.
424450	427170	2720	Das braucht mehr als eine Partei, das braucht 3 Parteien.
427320	429170	1850	Und diese 3 Parteien haben sich gefunden
429350	431330	1980	und dieses Paket heute vorgestellt.
431580	435090	3510	Das Paket listet 13 wirtschafts- politische Anliegen auf, im Zentrum:
435330	438850	3520	keine neue Steuern, weder Erbschafts- steuern noch bei den Kapitalgewinnen,
438940	442610	3670	Bundeshaushalt auf Stand 2014, Stellenplafonierung Bundespersonal,
442780	447570	4790	eine Abstimmung über die Energiewende bis 2017.
447770	449730	1960	Ein Schwerpunkt im Papier ist:
449820	452010	2190	keine neuen Steuern in den nächsten 5 Jahren,
452159.99999999994	455250	3090	ein Personalstopp und - für mich ganz zentral -
455409.99999999994	459330	3920	dass eine Energiestrategie 2050 zwingend vors Volk muss.
459409.99999999994	461210	1800	Das ist ein Durchbruch.
461390	465530	4140	Noch ist vieles etwas unklar - der kleinste gemeinsame Nenner?
465750	468090.00000000006	2340	Diese 13 Massnahmen sind wichtige Massnahmen.
468260	470770	2510	Wir haben uns geeinigt, haben sehr viel gearbeitet
470980	473409.99999999994	2430	und die wichtigen Punkte sind darin enthalten.
473610	476290	2680	Das wir das trotz Wahljahr realisieren konnten,
476540	478570	2030	ist ein sehr starkes Zeichen für die Wirtschaft,
478830	481210	2380	für die Arbeitsplätze in diesem Land.
481380	484930	3550	Das finde ich nicht so bescheiden, das ist eine grössere Sache.
485030	487890	2860	Trotz symbolischer Unterschrift: Zentrale Fragen rund um Europa,
488020	492210	4190	Bilaterale oder Masseneinwanderung bleiben unbeantwortet.
492350	495090	2740	Die Umsetzung der Masseneinwanderungs-Initiative
495240	498490	3250	ist im Inhalt noch mit Differenzen behaftet.
498590	499890	1300	Wo es passt,
500110	502090	1980	will man hingegen künftig wieder enger zusammenarbeiten.
502240	505130	2890	Keinen Konsens gibt es in der Europa- oder Sozialpolitik.
505290	508890	3600	Hier ticken die Parteien trotz Schulterschluss zu unterschiedlich.
510270	513010	2740	Nicht viel bzw. gar nichts von dieser bürgerlichen Allianz
513179.99999999994	515850	2670	hält SP-Parteipräsident Christian Levrat.
516020	520409.99999999994	4390	Dass CVP und FDP mit der SVP zusammenarbeiten wollen,
520510	523809.99999999994	3300	gleiche einer politischen Kapitulation, kritisiert Levrat.
525180	527930	2750	Es ist sehr unschweizerisch,
528100	531450	3350	dass sich 3 der 4 grössten Parteien im Voraus absprechen,
531580	534690	3110	ausserhalb der politischen Dis- kussion, ausserhalb des Parlaments.
534780	536490	1710	Das ist in etwa so,
536660	538650	1990	wie wenn die bürgerlichen Mitglieder des Bundesrats
538750	540650	1900	im Voraus ihre Positionen abmachen
540810	542730	1920	und dann im Rat nur noch durchsetzen würden.
542890	545530	2640	Das 2. sind die Inhalte, die vorgeschlagen werden.
545630	547850	2220	Die sind absolut inakzeptabel.
548070	550730	2660	Es sind Steuergeschenke in Milliardenhöhe für die Unternehmen
550900	554650	3750	bei gleichzeitigen Sparprogrammen beim Bund.
557230	560370	3140	In Lausanne sind die Atomgespräche zwischen dem Iran und den USA
560520	562410	1890	wieder aufgenommen worden.
562630	565250	2620	Aussenminister John Kerry und sein Amtskollege Sarif
565380	567090	1710	wollen bis kommenden Dienstag
567270	569890	2620	zumindest die Rahmenbedingungen für ein Abkommen festlegen.
571520	574770	3250	US-Aussenminister John Kerry und sein Amtskollege Mohammad Dschawad Sarif
574900	577730	2830	sind offenbar auf gutem Weg.
577840	580770	2930	Nach den Gesprächen sagte der Chef der iranischen Atomenergiebehörde,
580940	584450	3510	Ali Akbar Salehi, er sei optimistisch für den Deal.
584710	586970	2260	Ein gemeinsames Verständnis zu den technischen Bestimmungen
587070	589290	2220	sei zumindest schon mal erreicht.
591910	594730	2820	In weiten Teilen der Niederlande
600320	602290	1970	Die Allianz unter Führung von Saudi-Arabien
602480	604690	2210	hat ihre Militärintervention im Jemen fortgesetzt.
604950	607010	2060	Trotz iranischer und russischer Warnungen.
607130	609770	2640	Kampfflugzeuge haben in den Gebieten,
609850	612130	2280	die von den Huthi-Rebellen kontrolliert werden,
612180	614090	1910	Stellungen bombardiert.
614220	616010	1790	Angriffe gab es in der Hauptstadt Sanaa.
616160	618330	2170	Getroffen wurde auch Sada in der Heimatprovinz der Huthi.
618590	620970	2380	Saudi-Arabien hatte seine Militärintervention
621070	622610	1540	gestern gestartet,
622760	624890	2130	weil die Rebellen auf Aden vorgerückt waren,
625070	627330	2260	in die Präsident Hadi vorübergehend geflüchtet war.
627460	629610	2150	Mit dem Eingreifen Saudi-Arabiens
629830	632330	2500	hat der Macht-Kampf im Jemen eine internationale Dimension bekommen.
633890	636210	2320	Saudi-Arabien rechtfertigt die Militärintervention in Jemen
636400	638130	1730	mit der Vertreibung von Präsident Hadi.
638320	641370	3050	"Es gehe darum, die ""legitimen Rechte"" des Präsidenten wiederherzustellen."
641590	643810	2220	Dafür sei die Allianz zu allem bereit.
645160	647450	2290	Im Moment planen wir keine Bodenoffensive.
647600	650090	2490	Aber wenn die Situation dies verlangt,
650230	653010	2780	dann sind saudische Bodentruppen und die unserer Alliierten bereit,
653200	656090	2890	um auf jegliche Aggression zu reagieren.
657430	659930	2500	Auf die Seite Saudi-Arabiens
660080	662570	2490	stellt sich heute auch der türkische Präsident,
662670	665490	2820	der den Iran für den Vormarsch der Huthi verantwortlich macht.
665580	669130	3550	Der Iran versucht, die Region zu dominieren.
669250	671290	2040	Das passt vielen Ländern nicht,
671550	674330	2780	inklusive der Türkei und Saudi-Arabien.
674580	678330	3750	Wir können das nicht tolerieren. Der Iran muss das verstehen.
678510	684170	5660	Dutzende Zivilisten sind bei den Luftangriffen bereits getötet worden.
684430	688370	3940	Einen sofortigen Stopp der Kämpfe fordern Iran und Russland -
688500	690690	2190	wohl vergeblich.
690820	693730	2910	Denn Saudi-Arabien wird nicht nur von Regionalmächten unterstützt,
693890	697130	3240	das Land erhält auch Rückendeckung von westlichen Staaten
697310	700290	2980	wie Deutschland, Grossbritannien und den USA.
703990	707090	3100	Nach Nigeria, wo morgen ein neuer Präsident gewählt wird.
707270	709770	2500	Und wo sich gerade jetzt Regierungsmeldungen häufen,
