start	end	duration	text
2080	2330	250	.
2920	4770	1850	Man sagt, die Zukunft gehöre den Jungen.
5440	6970	1530	"Diese ""Arena"" gehört ihnen auf jeden Fall."
7580	9810	2230	Uns interessiert heute: Welche Themen sind den Jungen wichtig?
10440	12210	1770	Was sind ihre Hoffnungen und was sind ihre Ängste?
12870	14610	1740	"Das ist die ""Zukunfts-Arena""."
15190	28770	13580	1:1-Untertitelung
31440	34250	2810	"(Offstimme) Heute in der ""Arena"":"
35000	39330	4330	Tamara Funiciello, Präsidentin der Jungsozialisten, 26 Jahre alt.
40510	42330	1820	Funiciello spielte Landhockey,
43040	46010	2970	sogar in der Schweizer National- mannschaft an Europameisterschaften.
46670	50050	3380	Andri Silberschmidt, Präsident der Jungfreisinnigen, 22.
50670	53730	3060	Silberschmidt spielte früher Gitarre und Tischtennis.
54340	56170	1830	Heute geht er eher ins Fitness.
56780	61010	4230	Tino Schneider, 25, ist heute Präsident der Jungen CVP.
61630	62970	1340	Für die Politik hat Schneider sogar
63710	65970	2260	seine Karriere als Fussballgoalie beendet.
66790	70210.00000000001	3420	Benjamin Fischer, Präsident der Jungen SVP, 25.
70920	73090	2170	Fischer spielte früher lange Trompete.
73710.00000000001	76170	2460	Heute ist er im Militär stark engagiert.
76800	80210.00000000001	3410	"Zudem in der ""Arena"": der höchste Schweizer, Jürg Stahl,"
80860	83770	2910	Nationalratspräsident und Mitglied der SVP.
84480	87530	3050	"Die ""Arena"", moderiert von Jonas Projer."
88280	91570	3290	Guten Abend, herzlich willkommen, sehr verehrte Gäste,
92259.99999999999	94370	2110	liebes Publikum, Herr Nationalratspräsident
94990.00000000001	95970	980	und Sie zu Hause.
96640	99330	2690	"Willkommen zu dieser besonderen ""Arena"", der ""Zukunfts-Arena""."
100080	101850	1770	Vielen Dank für den freundlichen Empfang.
102470	106570	4100	Was ist das für eine Welt, in der die Jungen altern werden?
107240.00000000001	109050	1810	Viele Leute sagen, es sei eine unsichere Welt.
109700	111450	1750	Man kann in einem Club in Istanbul sein,
112020.00000000001	114530	2510	auf einem Weihnachtsmarkt in Berlin, und plötzlich knallt es -
115200	116009.99999999999	810	Terror.
116720	119250	2530	Beni Fischer, ist das eine unsichere Welt, die Sie antreffen?
119880	121890	2010	Ja, es ist sicher eine unsichere Welt.
122580	124610	2030	Ob sie viel unsicherer ist als früher ...
125220	126810	1590	Es kommt natürlich darauf an, womit man vergleicht.
127450	131570	4120	Ich glaube nicht, dass die Welt lange Zeit viel sicherer war.
132190	135330	3140	Es hat einfach damit zu tun, dass wir uns sehr sicher gefühlt haben.
135960	137850	1890	Sicherheit ist für uns selbstverständlich geworden.
138560	140850	2290	Jetzt wird uns vor Augen geführt, dass sie das eben nicht ist.
141470	142610	1140	Frau Funiciello.
143270	144170.00000000003	900	Ich glaube nicht,
144880	146650	1770	dass wir unsicherere Welt haben als auch schon.
147260	149610	2350	Wir machen v.a. Polemik und Politik mit dieser ganzen Angelegenheit.
150260	152610	2350	Wenn man sich nämlich die Zahlen und Statistiken anschaut,
153260	157210	3950	wird das absolut nicht nachgewiesen.
157860	161610	3750	Man muss auf die wirklichen Probleme dieser Welt fokussieren,
162230	163329.99999999997	1100	und das ist nicht Terrorismus.
163920.00000000003	166050	2130	Das ist z.B. die ungleiche Verteilung von Reichtum.
166700	168260	1560	(Benjamin Fischer) Es ist absurd, wenn du sagst,
168900	171540	2640	der Terrorismus in Europa sei kein Problem.
172140	173420.00000000003	1280	Selbstverständlich ist er ein Problem.
174040	175500	1460	Natürlich, wenn man es statistisch anschaut,
176150	178140	1990	ist die Wahrscheinlichkeit, bei einem Autounfall zu sterben,
178829.99999999997	180540	1710	immer noch viel grösser, als bei einem Terroranschlag zu sterben.
181230	182460	1230	(Tamara Funiciello) Die Wahrscheinlichkeit,
183140	184300	1160	dass man von einem Meteorit getroffen wird,
184940	186180	1240	ist sogar noch grösser.
186800	188500	1700	(Benjamin Fischer) Aber du negierst,
189200	191100	1900	dass uns der Islamische Staat den Krieg erklärt hat.
191760	192740	980	Der Islamische Staat hat der freien Gesellschaft,
193380	194940	1560	hat Europa den Krieg erklärt.
195580	196740	1160	Viele hier haben das noch nicht begriffen.
197380	199260	1880	Immer mehr begreifen es, aber du anscheinend noch nicht.
199880	201860	1980	Sicherheit ist ja nichts Absolutes. Sie hat zwei Aspekte.
