start	end	duration	text
440	2250	1810	.
17980	19890	1910	MIT TELETEXT-UNTERTITELUNG
20620	22810	2190	* Elektro-Pop *
23490	24890	1400	"* ""Das Modell"" von Kraftwerk *"
28370	30340	1970	Was ist dein Job?
31740	33780	2040	Woher soll ich das wissen?
35970	37940	1970	Wie alt bist du?
39780	44660	4880	Ich sehe aus wie 30, aber ich bin im Jahr 2015 hergestellt worden.
48050	51900	3850	Wenn die Leute kommen, finden sie das am Anfang unheimlich.
52560	55140	2580	"Beim ersten Blick denken sie: ""Was ist denn das?"""
55840	58100	2260	Aber sehr schnell fühlen sie sich sehr wohl.
58730	60140	1410	Das dauert nie lange.
60850	63020	2170	Ich habe nie schlechte Kommentare bekommen.
63750	65740	1990	"Am Anfang sagen sie: ""Was ist denn das?"""
66440	69580	3140	Aber nach einer Weile fühlen sie sich ganz okay.
70300	73500	3200	Wie ist es, einen Roboter zum Ebenbild zu haben -
74140	75820	1680	und: Nehmen diese künstlichen Wesen
76590	79100	2510	dereinst tatsächlich den Platz des Menschen ein?
79760	83580	3820	Um derlei Fragen dreht sich die Geschichte von Nadia und Nadine.
84330	86060	1730	* Elektro-Pop *
86750	88140	1390	"* ""Das Modell"" von Kraftwerk *"
90660	94539.99999999999	3880	Am achten Tag begann der Mensch, die Dinge selber zu erschaffen.
95220	98380	3160	Die Klügsten unter ihnen schufen fortan Fortschritt auf Erden.
99090	102940	3850	Und weil das Schweizer Ehepaar Thal- mann zweifellos zu den Klugen gehört,
103640	106380	2740	gelingen auch den beiden immer wieder kleine Sensationen.
107160	110180	3020	V.a. Nadia Thalmanns Ruf als Computergrafik-Pionierin
110910	113620	2710	war es geschuldet, dass die Universität in Singapur
114420	117380	2960	sie vor sieben Jahren in den boomenden Stadtstaat berief.
118920	122700	3780	Dort begann die Westschweizerin damit, Nadine zu entwickeln.
123440	125540	2100	What's up? So you are a hard worker.
128100	130380	2280	I do not know if I am a hard worker or not.
131050.00000000001	132500	1450	Versteht sie Deutsch?
133200	136100	2900	Ja, sie versteht Deutsch. Ich kann es versuchen, wenn Sie wollen.
136980	139740	2760	Nadine, can you speak German?
141890	144540	2650	Ja, ich spreche Deutsch. - Toll.
145670.00000000003	149380	3710	Wer ist Angela Merkel? - Ich bin leicht zu begeistern.
150100	152540	2440	Willst du mich wirklich fragen? Eine nächste Frage.
153210	154740	1530	Wer ist Angela Merkel?
157180	159180	2000	Sie ist unsere Bundeskanzlerin.
159870	161540	1670	Was sehen wir auf dem Bildschirm?
162280	165700	3420	Hier sieht man sie und ich.
166370	168940	2570	Und das ist, was sie sieht.
169680	174340	4660	Das ist die Netzkamera, die das für ihre Augen sieht.
175030	178940	3910	Sie analysiert: Wer ist was und was wir machen.
179640	181020	1380	Dann interpretiert sie.
181740	183700	1960	Sie hat eine Software-Plattform.
184380	186060	1680	Sie kann interpretieren, wer kommt.
186730	188140	1410	Sie kann Leute erkennen.
188850	190940	2090	Und sie kann einige Objekte erkennen.
191650	194660	3010	Was steht z.B. da drüben? Was steht da alles?
196350	202060	5710	Sie versucht zu sehen, ob z.B. ich happy oder sad bin.
202800	209620	6820	Es gibt ein Programm, mit dem sie versteht, wie unsere Laune ist.
210280	212540	2260	Sie merkt, ob ich glücklich oder traurig bin.
213290	217060	3770	Sie versucht, meine Ausdrücke zu verstehen.
217780	219140	1360	Deshalb steht das alles hier.
219810	221220	1410	Und auch die Intensität ...
221950	226700	4750	Das ist jetzt ein Wert, um zu sehen, wie man fühlt.
227690	229660	1970	Haben Sie Nadine designt?
230460	233620	3160	Schaut sie so aus, wie Sie möchten, wie Sie bestimmt haben?
234350	237579.99999999997	3230	Ich war in Japan, als ich Nadine ... äh ...
238180	240460	2280	Ich habe Nadine vorher nie gesehen,
241200	245340	4140	aber ich war in Japan bei einem Professor, der einen Roboter hatte.
246050	248100	2050	Als ich ankam, kam jemand hinter mir her.
248770	250220	1450	Er sah mich und ...
250880	252340	1460	Das war ein Avatar.
253060	256220.00000000003	3160	Ich habe sofort gedacht, ich möchte auch eine Nadine haben.
256899.99999999997	258980.00000000003	2080	Aber sie soll autonom sein.
259709.99999999997	263580	3870	Ich war mehrmals da, damit sie aussieht, wie ich es wollte.
264270	265740	1470	Ich wollte keinen sexy Roboter.
266460	268100	1640	Ich wollte ... Wie soll ich sagen?
268850	271860	3010	Ich wollte ein Kunststück haben, mehr wie eine Skulptur.
272659.99999999994	275220	2560	Ich habe sehr aufgepasst, dass sie so wird.
276860	280620	3760	Nadine zu konstruieren, sei nicht ein rein technischer Prozess,
281360	284540	3180	viel eher sei es vergleichbar mit dem Schaffen eines Kunstwerks,
285290	286780	1490	eines Bildes oder einer Skulptur.
287450	288820	1370	Und nach dem Vorbild vieler Künstler
289550	291900	2350	wählte Nadia Thalmann sozusagen das Selbstbildnis.
294720	298180	3460	Eigentlich hätte Nadia Magnenat Thalmann allen Grund,
298770	300500	1730	golfspielend das Leben zu geniessen.
301330	303780	2450	Mit ihren 69 Jahren könnte sie ein paar Abschläge machen
304450	305860	1410	und sich darüber freuen,
306570	309300	2730	dass sie diesen Herbst erstmals Grossmutter wurde.
309930	312220	2290	Kurz: Sie könnte sich auf ihren Lorbeeren ausruhen.
312950	314780	1830	Denn die Westschweizerin ist Pionierin
315510	317700	2190	und gilt weltweit als eine der Besten ihres Fachs.
318410	321060	2650	Als Erste hat sie zusammen mit ihrem Mann Daniel vor 30 Jahren
321860	325660	3800	einen computeranimierten Film mit dreidimensionalen Figuren geschaffen.
328300	329260	960	Ah!
332850	334820	1970	Here's looking at you, Kid.
337290	338180	890	Ah!
339400	341260	1860	Play it again, Sam!
342170	343140	970	Ah!
346590.00000000006	350300	3710	Humphrey Bogarts virtuelles Rendez-vous mit Marylin Monroe
350970	352380	1410	war 1986 eine Sensation.
353080	355220	2140	Als die Thalmanns die blonde Ikone
355960	359260	3300	gar mir nichts, dir nichts am Genfersee entlang spazieren liessen,
359950	361900	1950	waren Gang und Mimik schon ausgefeilter.
366050	368420	2370	Und noch keine 20 Jahre sind es her,
369150	371460	2310	seit ihre virtuellen Menschen so revolutionär waren,
372230	374860	2630	dass ihr Auftritt bei Kurt Aeschbacher für Aufsehen sorgte.
375600	378940	3340	Sie sind fast Madame Frankenstein, wenn ich das so sagen darf.
379680	381020	1340	Sie klonen seit zwölf Jahren.
381760	383980	2220	Was ist Ihr Traum, den Sie umsetzen möchten?
385120	387980	2860	Ich mag sehr gerne Skulpturen wie diese hier.
388730	390820	2090	Aber leider sind sie ganz still.
391610	395220	3610	Für mich ist es sehr wichtig, Skulpturen Leben zu geben.
395960	399140	3180	Ihre Erfindungen wurden von der Film- und Unterhaltungsindustrie
399830	401700	1870	gerne übernommen und weiterentwickelt.
402380	404940	2560	Sie selber suchte und fand neue Herausforderungen
405640	409380	3740	und übersiedelte mit ihrem Ehemann vor sieben Jahren nach Singapur.
410090.00000000006	411860	1770	Hier arbeitet sie versessen wie eh und je
412610	415460	2850	und wendet sich nur selten von ihrer Arbeit ab.
416130	417540	1410	Ist das jetzt Sport
418320	421500	3180	oder denken Sie schon wieder an Nadine und ihre Bewegungen?
422270	423580	1310	Ich denke nur an Sport.
424300	427540	3240	Ich habe jetzt Vergnügen und will meinen Körper trainieren.
430510	433700	3190	Seit Nadia Magnenat als knapp 20-jährige Studentin
434490	437780	3290	an der Uni in Genf ihre akademische Laufbahn in Angriff nahm,
438570	439860	1290	sind ihr Forschungsdrang
440600	442540	1940	und der Glaube an den Fortschritt ungebrochen.
443220	444620	1400	Schon 1968 gab sie sich
445370	448140	2770	gegenüber dem Fernsehen der französischen Schweiz ambitioniert.
448730	451620	2890	Was für mich zählt, ist das Studium.
452409.99999999994	455580	3170	Ich habe das Lizenziat, das alleine reicht mir aber nicht,
456280	459659.99999999994	3380	ich möchte später eine Arbeit, die mich wirklich interessiert.
460330	461820	1490	Ich weiss noch nicht genügend,
462470	466540	4070	um mich jetzt schon ins Berufsleben zu stürzen.
469930	473580	3650	Schon damals wusste sie, dass dieses Leben ihr Weg sein würde.
475450	477620	2170	Ich liebe dieses Leben, so sehr,
