start	end	duration	text
920	3860	2940	.
4040	6700	2660	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6890	9820	2930	Zeit für den Blick hinter die Schlagzeilen, guten Abend.
9930	16620	6690	Wahlkampf wie noch nie - es wird ein historischer Herbst in den USA.
16800	18900	2100	Mit Hillary Clinton steht erstmals eine Frau
19160	21940	2780	im Endkampf ums Weisse Haus.
22040	27060	5020	Und sie tritt an gegen Donald Trump - einen Mann, der bekannt ist dafür,
27230	31580	4350	die Regeln der Politik auf den Kopf zu stellen.
31800	34700	2900	Was bedeutet dieses Duell für die Frauen in den USA?
34800	37300	2500	Und woher kommt der Wählerfrust,
37470	40780	3310	der Trump und Clintons Konkurrenten Bernie Sanders so befeuert hat?
40980	44340	3360	Diesen Fragen gehen wir heute nach - es ist 10 vor 10.
44470	46700	2230	Und ebenfalls bei uns:
48640	50940	2300	Wie der stramm bürgerliche Kurs von Gerhard Pfister
51080	53700	2620	in der CVP-Fraktion ankommt.
56770	58860	2090	Wie Fachleute bereits jetzt
58960	62500	3540	flächendeckend eine Insektenplage bekämpfen.
65590	70660	5070	"Der Schweizer Jungstar Breel Embolo im Taktik-Check von ""10vor10""."
74680	77780	3100	Sie hat es nun also auch rechnerisch geschafft:
77970	80340	2370	Hillary Clinton wird von der demokratischen Partei
80530	82740	2210	ins Rennen um das Weisse Haus geschickt.
82880	85180	2300	Eine Frau als Spitzenkandidatin
85360	89180	3820	im härtesten politischen Zweikampf der Welt - das gab's noch nie.
89420	92300	2880	Welche Rolle der historische Moment von jetzt an
92520.00000000001	95380	2860	in Hillarys Wahlkampf spielt, zeigt Franziska Ramser.
100009.99999999999	106580	6570	Zum ersten Mal in der Geschichte unserer Nation
106800	110460.00000000001	3660	ist eine Frau Kandidatin einer der grossen Parteien.
110610	115020.00000000001	4410	Das sagt Clinton zu ihren Wählern.
115200	120180	4980	Sie seien Zeugen eines historischen Moments.
120390	124220	3830	"""Geschichte geschrieben"", verkündet sie auch auf Twitter."
124480	128220	3740	Eine Frau schafft es nach ganz oben, das ist Clintons Botschaft.
128310	129940	1630	Ihr jüngstes Wahlkampfvideo
130160	133620	3460	dreht sich um Frauenrechte und Emanzipation.
137720	139910	2190	Vor acht Jahren war Clinton noch gescheitert.
140020	142990	2970	Sie unterlag in den Vorwahlen Barack Obama.
143280	146310	3030	Wir konnten die gläserne Decke nicht zerschmettern,
146490	153829.99999999997	7340	aber dank euch hat sie nun 18 Mio. Risse.
155150	156990	1840	Doch Clinton zieht sich nicht zurück.
157079.99999999997	159430	2350	Sie wird Obamas Aussenministerin, reist um die Welt,
159579.99999999997	161829.99999999997	2250	steht im Rampenlicht.
164710	169270	4560	Und jetzt soll das Glas splittern, sagen ihre Fans.
169400	175910	6510	Das ist eine Zeit in der Geschichte, wie ich sie noch nie erlebt habe.
176060	179750	3690	Es ist wundervoll.
181050	184310	3260	Ich habe mein ganzes Leben auf diesen Moment gewartet.
184460	187470	3010	Auch Ex-Aussenministerin Madeleine Albright appelliert:
187640	190750	3110	"""Wählt Clinton, weil sie eine Frau ist!"""
191000	194830	3830	Euch jungen Frauen sage ich: Unser Kampf ist nicht vorbei.
194960	196710	1750	Und denkt daran:
196880	198950	2070	Es gibt in der Hölle einen Platz speziell für Frauen,
199070	207630	8560	die anderen Frauen nicht helfen.
207720	212670.00000000003	4950	Sie ist die erste Frau, die es bis hier geschafft hat.
212860	217030	4170	Hillary steigt mit dem Schwung des historischen Moments in die Endrunde.
218750	221470	2720	First Lady, Senatorin, Aussenministerin -
221680	224630	2950	und bald vielleicht die erste Präsidentin der Vereinigten Staaten?
224790	227870	3080	Das besprechen wir mit Peter Düggeli in Washington.
227970	230030	2060	Eine Frau auf ihrem Weg.
230170.00000000003	233870	3700	Was bedeutet Hillary Clintons Nomination den Frauen in den USA?
233970	248430	14460	Wir untertiteln live:
248400	254310	5910	Es ist natürlich ein historischer Tag für die Frauen.
254720	257950	3230	Gerade für ältere Fragen, die eine grössere Diskriminierung erfahren
258160.00000000003	262310	4150	mussten.
262520	265550	3030	Ich habe aber das Gefühl, dass die Frauenkarte noch nicht richtig
265760	266550	790	dicht.
266790	270110	3320	Das hat damit zu tun, dass Hillary Clinton relativ schlecht ankommt in
270310	272670	2360	der ganzen Bevölkerung.
272909.99999999994	275870	2960	Wenn man einer Person nicht vertraut, hat es relativ wenig mit
276080	278110	2030	dem Geschlecht zu tun.
278100	280110	2010	Ihr Gegner Donald Trump hat u.a. mit frauenfeindlichen Sprüchen
280200	282510	2310	für Aufsehen gesorgt.
