start	end	duration	text
14380	17250	2870	Keine Chance für die beiden Initiativen Grüne Wirtschaft und
17970	22330	4360	AHVplus, sie scheitern beide am Ständemehr.
22980	25490	2510	Wir haben somit die Resultate aus 17 Kantonen, das Bild ist sehr
26170	31570	5400	einheitlich mit einer Ausnahme.
32659.999999999996	35460	2800	Als erster Kanton überhaupt stimmt der Kanton Neuenburg der
36130	37860	1730	AHVplus-Initiative zu.
38510	40580	2070	Und zwar mit einem Anteil von 54 %.
41340	46660	5320	Die höchste Ablehnung kommt bisher vom Kanton Appenzell Innerrhoden.
48710	52980	4270	Aufrüsten gegen den Terror, das ist den Stimmbürgern offenbar wichtiger
53700	59060	5360	als Vorbehalte gegenüber einem so genannten Schnüffelstaat.
64959.99999999999	67380	2420	Die bisher aufgezählten Kantone sagen Ja zum neuen
68050	70980	2930	Nachrichtendienstgesetz, das höchste Ja kommt aus obwaltenden.
71780	77020	5240	Das bisher knappste Ja kommt aus Schaffhausen.
80900	84140	3240	Anders sieht es bei der Initiative Grüne Wirtschaft aus, sie ist am
84840	86220	1380	Ständemehr gescheitert.
86950	92259.99999999999	5310	Kein einziger Kanton hat bisher dazu Ja gesagt.
92950	95700	2750	17 ausgestellte Kantone, 17-mal nein,
96440	101780	5340	am deutlichsten Nein sagt bisher der Kanton Schwyz.
111920	115259.99999999999	3340	Der Kanton Neuenburg am billigsten deutlich, aber immer noch lehnen 56
116039.99999999999	121340	5300	% der Initiative ab.
122860	125980	3120	Noch zwei interessante kantonale Abstimmungen, wir blicken in den
126680	131260	4580	Kanton Schwyz, sich die Bevölkerung sagt nein zur Steuerreform.
132040	134020	1980	Schwyz war lange ein Steuerparadies, in der Staatskasse
134800	140150	5350	fehlen aber inzwischen 130'000'000 Fr..
146040	148990	2950	Eine Pauschalsteuer stand zur Abstimmung, die Reichen hätten
149770	151710	1940	proportional gleich die Steuern bezahlen sollen wie die
152430	157750	5320	Mittelschicht, aber dazu kommt es nicht.
163890	167230	3340	Und der Vorreiter Kanton Neuenburg wird seine Rolle nicht ganz gerecht
167950	170670.00000000003	2720	in Sachen Ausländerrecht, sie sagen Nein zum passiven Wahlrechts auf
171320	176710	5390	Kantonsebene.
177800	180910	3110	In den Neuburg Gemeinden dürfen ausländische Staatsbürger mit der
181640	183670	2030	C-bewilligung seit mind. fünf Jahren, auf Gemeindeebene
184400	185750	1350	abstimmen.
186480	189110	2630	Zum Novum auf Kantonsebene haben die Stimmbürger aber nein gesagt.
189670	192550	2880	Sehr vieles ist also schon klar.
193250	196030	2780	Also doch nicht ein ganzer normaler Abstimmungssonntag.
196690	202110	5420	Vielen Dank im Resultate Studio.
204320	207070	2750	Wir schauen uns die AHVplus- Initiative noch einmal an, die
207740	213150	5410	Hochrechnung sagte 60 zu 40 %.
221890	224990	3100	Claude Longchamp, man sagt immer wieder, dass der Ausgang dieser
225710	227590	1880	Initiative durchaus die Parlamentsdebatte von morgen
228280	230140	1860	beeinflussen könnte.
230870	233500	2630	Man muss sagen, dass wir einen Spezialfall hatten, das kann bisher
234230	239540	5310	noch nicht oft vor:
241840	245380	3540	In einer laufenden parlamentarischen Debatte gab es eine Volksbestimmung,
246160	247420	1260	die einen direkten Einfluss haben könnte.
248150	249980	1830	Bei einer Annahme wäre der Einfluss direkt gewesen.
250670	256060	5390	Es gibt keine schönen Faustregeln.
265320	268380	3060	Aber sicher ist die Rechnung der Initianten nicht aufgegangen, sie
269100	271380	2280	haben sich eine deutlichere Unterstützung erhofft, auch wenn
272090.00000000006	272820	730	Initiative abgelehnt wird.
273510	275860	2350	Sie wollten ein Zeichen setzen, damit das mit den 70 Fr. noch
276530	278300	1770	ausgeweitet werden kann.
279020	281460	2440	Also wenn die Zustimmung bei 45 % gelegen hätte, dann hätte das
282159.99999999994	283540	1380	morgen an Einfluss gehabt.
284240	285860	1620	Ja, aber es ging nicht auf.
286560	291940	5380	Jetzt die Frage, ob es kontraproduktiv ist.
294520	300420	5900	Alle unsere Information sagen, dass es bisher überzeugte,
303290	306860	3570	keine Einzelmassnahmen vorzunehmen, sondern ein Gesamtpaket zu schnüren.
307570	310260	2690	Alle können irgendwo ein bisschen verlieren oder profitieren, wichtig
311010	313500	2490	ist, dass es ausgeglichen ist.
314240	316420	2180	Morgen wird darum gerungen werden, wie man ein Gesamtpaket
317120	320180	3060	zusammenstellt.
320890	323820	2930	Wie das ausgestaltet sein soll, da gibt es sicher Spielraum und einiges
324430	326100	1670	zu diskutieren.
326930	328820	1890	Das Ergebnis dieses Abstimmungswochenendes sollen auch
329510	334900	5390	gewürdigt werden.
335670	338180	2510	Es wird in Richtung der neuen Parlamentsmehrheit gehen, SVP und
338840.00000000006	344140	5300	FDP werden den Ton angeben.
344880	347700	2820	Also diese Erhöhung von 70 Fr., die der Ständerat noch hinein genommen
348450	352020	3570	hat, werden wohl keinen Bestand haben?
352850	355860	3010	Sie werden sicher ein Angriffspunkt sein, der umstrittenste Punkt
356600	360510	3910	ist aber die Erhöhung des Rentenalters.
361160	363590	2430	Das sagen alle Experten und Umfragen, dass Vorsicht angebracht
364220	369630	5410	ist.
374400	377790	3390	Wenn man also nur rechnet, was nötig ist - mit skeptischen Annahmen für
378530	383990	5460	die Zukunft, dann braucht es eine Erhöhung des Rentenalters.
384690	387030	2340	Und das zusätzliche Geld wird das zweite wichtige Thema
387700	388310	610	Auseinandersetzung sein.
389030	391800	2770	Letzte Woche hatten wir also schon eine intensive Debatte, diese Woche
392520	393880	1360	noch einmal eine,.
394730	399880	5150	Vielen Dank für diese begründete Spekulation, wie sie es nannten.
402090.00000000006	404760	2670	Wir waren bei der AHVplus- Initiative, wir gehen noch zur
405480	410880	5400	grünen Wirtschaft und schauen uns noch einmal die Hochrechnung an:
