start	end	duration	text
3670	5580	1910	.
5670	8700	3030	"""10vor10"" mit Andrea Vetsch."
8790	12540	3750	"Guten Abend und herzlich willkommen zu ""10vor10""."
12630	14740	2110	Heute mit diesen Schwerpunkten:
17590	20460	2870	Google löscht auf Antrag Daten,
20710	22940	2230	wenn sie die Persönlichkeitsrechte verletzen.
25370	30300	4930	Wie Abstürze die Flugzeugbranche verändern und sicherer machen.
32680	36860	4180	Ausländische Anleger sollen vom Immo- bilienmarkt ausgeschlossen werden.
39740	42780	3040	Auch Schweizer Senioren haben die Gauner
42950	47220	4270	hunderttausende Franken aus der Tasche gezogen.
47350	51460	4110	1:1-Untertitelung
53910	56060	2150	Das Internet vergisst nicht,
56180	58980	2800	und so sind mitunter Daten in der digitalen Welt gespeichert,
59130	61580	2450	die uns vielleicht unangenehm sind.
61740	64860	3120	Prinz Harry z.B. würde wohl so einiges tun, um dieses Bild,
65010.00000000001	68700	3690	das ihn alkoholtrunken im Nazi-Kostüm zeigt, ungeschehen zu machen.
68900	72100	3200	Doch es gibt gute Neuigkeiten für Prinz Harry und auch für Sie,
72230	74340	2110	falls Sie zu den Betroffenen gehören.
74550	76820	2270	Google gibt ab sofort die Möglichkeit,
76920	79260	2340	Links zu Daten zu löschen.
79420	81539.99999999999	2120	Ab heute ist ein Formular online,
81720	84340	2620	mit dem ein entsprechender Antrag gestellt werden kann.
84460.00000000001	87260	2800	Einen Haken hat die Sache allerdings,
87430	89500	2070	denn nicht in jedem Fall drückt Google die Delete-Taste.
89610	91620	2010	Wo schon und wo nicht,
91830	94740.00000000001	2910	Antworten im Beitrag von Samira Matta und Sebastian Ramspeck.
96750	99500	2750	Findet man via Google im Internet Dinge von Ihnen,
99710.00000000001	102500	2790	die sie nicht dort haben wollen? Ich glaube nicht.
102680	106020.00000000001	3340	Aber ich bin selbstständig erwerbend und habe mich auch schon gegoogelt.
106170	109420	3250	Sieht man etwas, das Ihnen nicht genehm ist?
109560	113460.00000000001	3900	Nein, ich glaube nicht. Wir haben erst kürzlich nachgeschaut.
113670	115500	1830	Aber Sie haben sich auch schon gegoogelt?
115670	117539.99999999999	1870	Ja, aber es kommt nichts.
117650	120140	2490	Gar nichts? Gar nichts. Echt nichts, gar nichts.
120310	123780	3470	Es ist sicherlich sinnvoll, dass man Einträge löschen lassen kann,
123880	126100	2220	weil es bestimmt Leute gibt,
126250	128940	2690	die nicht alles von sich im Internet haben möchten.
129110.00000000001	132820	3710	Das Löschen von Informationen im Internet ist nun einfacher geworden.
132900	136060	3160	Neu muss Google prüfen,
136250	138900	2650	ob ein Eintrag den Datenschutz oder die Privatsphäre verletzt.
