start	end	duration	text
1540	6540	5000	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6740	10700	3960	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10940	13020	2080	Das macht an diesem Freitag Schlagzeilen:
13960	18300	4340	US-Kampfjets greifen Stellungen in Nordirak an.
19760	22580	2820	Die Weltgesundheitsorganisation erklärt Ebola
22700	26540	3840	zum internationalen Notfall.
27750	31980	4230	Israel bricht Verhandlungen über eine Waffenruhe im Gazastreifen ab.
33540	36780	3240	Es bleibt weiterhin schwül und warm.
37880	41940	4060	Vor 16 Std. hat US-Präsident Obama in Washington erklärt,
42080	45660	3580	dass er das amerikanische Militär ermächtigt habe, mit Luftangriffen
45820	49420	3600	gegen die Dschihadisten des Islamischen Staat IS
49530	51460	1930	im Nordirak vorzugehen.
51540	54420	2880	Vor knapp 7 Std. ist dann genau das passiert:
54590	60260	5670	2 F/A-18-Kampfjets starten vom US-Flugzeugträger George H.W. Bush
60430	62820	2390	im Persischen Golf in Richtung Nordirak
62980	66100	3120	und bombardieren mobile Artillerieeinheiten des IS
66290	68260	1970	nahe der Stadt Erbil.
68490	72020	3530	Zum einen sollen so dort stationierte US-Truppen geschützt werden,
72110	74580	2470	zum anderen Hunderttausende Menschen,
74750	77260	2510	die vor den IS-Terroristen auf der Flucht sind -
77440	79060	1620	insbesondere die Menschen,
79250	82620	3370	die ins Sindschar-Gebirge westlich von Erbil geflohen sind,
82700	85620	2920	um den mordenden IS-Schwadronen zu entkommen.
85820	88539.99999999999	2720	Zuvor hatte die Regierung in Bagdad Washington gebeten,
88710.00000000001	91460.00000000001	2750	sie gegen die Dschihadisten des IS zu unterstützen.
92729.99999999999	96539.99999999999	3810	Auf dieses Bild haben viele Menschen im Norden Iraks lange gehofft.
96740.00000000001	100300	3560	Stellungen der IS-Terroristen vor Erbil sind ausser Gefecht gesetzt,
100500	103860	3360	beschossen von der US-Luftwaffe.
104020.00000000001	106420	2400	Hundertausende sind im Nordirak
106580	109500	2920	seit Monaten vor den IS-Terroristen auf der Flucht.
109580	112220	2640	Zum Symbol ihres Schicksals
112420	115340	2920	wurde in den letzten Tagen der Berg Dschabal Sindschar.
115450	118340	2890	Hier, wo es kaum Bäume hat und weder Pflanzen noch Wasserquellen,
118490.00000000001	122420	3930	sind seit Tagen um die 50'000 Menschen der Volksgruppe der Jesiden
122560	125220	2660	von der Umwelt abgeschnitten.
125300	126940	1640	In Panik flüchteten die Menschen
127030	130020.00000000001	2990	vor den anrückenden IS-Terroristen hierhin.
130190	133700	3510	70 Menschen sollen auf dem Berg be- reits verdurstet und verhungert sein.
133810	136660	2850	Auf das Schicksal der Jesiden
136810	139900	3090	bezog sich auch Barack Obama in seiner Rede.
140050	142740	2690	Die Luftwaffe werde neben den Angriffen auf die Extremisten
142880	145700	2820	auch die Versorgung der Flüchtlinge übernehmen.
145880	148140	2260	Er wolle sich nicht in einem Krieg engagieren, aber:
148220	152740	4520	Wenn wir die Möglichkeit haben, ein Massaker zu verhindern,
152850	156060	3210	dürfen wir nicht wegschauen.
156150	159740	3590	Nachdem die USA heute mit den Luftangriffen begonnen haben,
159820	161740	1920	melden kurdische Kämpfer,
161910	166180	4270	sie hätten einige 1'000 Menschen vom Dschabal Sindschar geborgen.
166329.99999999997	169180	2850	In den nordirakischen Dörfern und Städten,
169340	171340	2000	die noch unter kurdischer Kontrolle sind,
171540	173700	2160	kommen Tausende erschöpfte Menschen an.
173850	176060	2210	Darunter sind arabische Iraker,
176220	179180	2960	aber auch viele Angehörige von Minderheiten, die Schutz suchen:
179200	181900	2700	Christen, Jesiden, Turkmenen.
182080	189860	7780	Das Leben wird immer härter, aber wir sind froh, leben wir noch.
189970	192940	2970	Doch die Versorgung der Flüchtlinge wird mit jedem Tag,
193090	196460	3370	an dem mehr Menschen in die noch sicheren Städte strömen, schwieriger.
198740	201220	2480	Präsident Obama genehmigt Luftangriffe im Nordirak,
201420.00000000003	203380	1960	zum Schutz von US-Truppen und zum Schutz von Menschen,
203510	206660	3150	die auf der Flucht vor dem Islamischen Staat sind.
206810	209140	2330	Karin Bauer in New York, wie gross ist denn die Gefahr,
209320	212340	3020	dass sich das zu einem grösseren US-Engagement im Irak auswächst?
212540	226540	14000	Wir untertiteln live:
226690	229500	2810	Laut den Militärstrategen, mit denen ich sprechen konnte, ist die Gefahr
229590	231540	1950	gering.
231690	234020	2330	Obama hat bewusst eine Politik der Nadelstiche angekündigt.
238390	240380	1990	Er will einen Genozid verhindern.
243010	245100	2090	Es stellt sich die Frage, was die Luftschläge nützen.
249870	252420	2550	Schaffen Sie es, das Terrorregime der ISIS bekämpfe einzudämmen?
253700	255540	1840	Obama müsste internationalen Druck aufbauen.
261399.99999999997	263660	2260	Er müsste die Türkei oder auch die Golfstaaten einbinden.
269400	271860	2460	Man muss auf Malik die einreden, eine mehrheitsfähig Regierung
271970	272860	890	bilden.
272940	275780	2840	Die innenpolitischen Kritiker von Obama haben ihm lange Zögerlichkeit
275860	278580	2720	im Kampf gegen die Dschihadisten in besagter Region vorgeworfen. Sind
278690	280700	2010	sie jetzt zufrieden?
285450	287340.00000000006	1890	Nein, natürlich nicht.
290409.99999999994	292740	2330	Die Republikaner registrieren Ehrenpräsident wie eh und je.
299010	301460	2450	John McCain Beispiel sagt, die Lufteinschläge kommen zu spät.
309630	311620	1990	Nur die Demokraten heute sind zufrieden.
314410	317100	2690	Sie sagen, es sei ein Zeichen gegen den Terrorismus gesetzt worden.
321230	323380	2150	Viele Amerikaner sind einfach nur kriegsmüde und froh,
325010	326900	1890	dass Obama keine Odentruppen einsetzt.
329620	331460	1840	Mit mörderischer Gnadenlosigkeit und mit genauso
331550	333659.99999999994	2110	mörderischer Selbstgerechtigkeit geht der Islamische Staat
333740	335420	1680	gegen die Minderheiten im Nordirak vor.
335680	337620	1940	Das können kleine christliche Glaubensgemeinschaften sein,
337730	339580	1850	genauso gut aber auch muslimische.
339780	342100	2320	Im Fadenkreuz der Fanatiker sind auch die Jesiden,
342280	344940	2660	Kurden mit einem eigenen, monotheistischen Glauben.
345170	348780	3610	"Weder Araber noch Moslems, sind sie eine ""doppelte"" Minderheit"
348950	351380	2430	und sind im Irak immer wieder verfolgt worden.
353010	356060	3050	Die Jesiden: Niemand weiss, wie viele es von ihnen im Irak noch gibt.
356230	360460	4230	Schätzungen schwanken zwischen 70'000 und 300'000.
360600	363420	2820	Immer wieder mussten sie vor Verfolgung fliehen.
363530	367260	3730	Im irakischen Parlament warnt die einzige Vertreterin der Jesiden
367440	371340	3900	unter Tränen vor einem Völkermord:
371490	374020	2530	Die Jesiden werden abgeschlachtet.
374260	376180	1920	Herr Präsident, wir verlangen vom irakischen Parlament
376370	379580	3210	sofort einzugreifen und dieses Massaker zu beenden.
379780	382340	2560	Es gab schon viele Mordkampagnen gegen die Jesiden,
382470	385020	2550	und jetzt wieder eine im 21. Jhd.
385100	388940	3840	Eine ganze Religion wird ausgelöscht.
389180	393430	4250	Die Jesiden leben im Nordirak haupt- sächlich in der Gegend von Mosul.
393540	396790	3250	Viele sind in den letzten Jahren von Syrien hierher gekommen
396940	399550	2610	auf der Flucht vor dem Krieg.
399640	401310	1670	Jetzt werden sie im Irak
401460	405430	3970	vom Terror der Islamisten eingeholt, wie ein Experte am Telefon erklärt.
405630	408750	3120	Die Menschen wurden immer vor die Wahl gestellt:
408909.99999999994	413030	4120	Entweder getötet werden, Kopfsteuer oder Islam.
413230	417430	4200	Oft wurden die Menschen einfach erschossen.
417580	420190	2610	Die Jesiden sind in den Augen vieler Moslems
420380	424070	3690	Teufelsanbeter - dies, weil sie einen gefallenen Engel verehren.
424260	427550	3290	Und Gemäss ihrem Glauben heiraten sie nur unter sich.
427710	431910	4200	Die tun niemandem etwas, die Minderheiten.
432030	434470	2440	Die wollen nur am Leben bleiben
434750	437750	3000	und weiterhin die Glaubensfreiheit haben.
437930	440550	2620	Das wollen die Islamisten aber nicht.
440650	444070	3420	Jetzt kommen sie auch in den Irak
444160	449110	4950	und vertreiben massenweise die Minderheiten.
449190	452990	3800	Das ist ein regelrechter Völkermord.
453190	456950	3760	Für den Experten ist klar: Die Jesiden haben im Irak
457120	460270	3150	nur unter speziellem Schutz in einem föderalen Staat eine Zukunft.
461670	466750	5080	961 Tote und 1'779 Erkrankte.
