start	end	duration	text
3000	4310	1310	.
4420	8630	4210	"""10vor10"" mit Andrea Vetsch."
8840	11190	2350	Guten Abend und herzlich willkommen.
11440	13990	2550	Diese Themen stehen heute bei uns im Zentrum:
15880	21150	5270	Der Bund will Kapitalbezüge für den Hauskauf massiv einschränken.
26840	29270	2430	Stromfresser müssen aus dem Haushalt verschwinden,
29360	31830	2470	der Bundesrat verschärft die Vorschriften.
35350	37470	2120	Mit Champagner und weichen Matratzen
37610	40790	3180	wollen Schweizer Campingplätze Gäste anlocken.
43620	49590	5970	Unternehmen überwachen ihre Manager und bestrafen sie bei Fehlverhalten.
50720	55470	4750	1:1-Untertitelung
57480	59670	2190	Franken um Franken
59870	62110	2240	zahlen Arbeitnehmende in ihre Pensionskasse ein -
62310	64830	2520	ein Topf, aus dem sie jederzeit Geld herausnehmen können,
64940	67190	2250	etwa für den Kauf eines Eigenheims
67290	69590	2300	oder für den Schritt in die Selbständigkeit.
69789.99999999999	74070	4280	So war es bis anhin. Und so will es der Bundesrat nicht mehr.
74240	76870	2630	Pensionskassengelder dürfen vor der Pensionierung
76970	79150	2180	nicht mehr angetastet werden,
79250	81670	2420	so schreibt es der Bundesrat in seinem heutigen Entwurf,
81820	84550	2730	mit dem er die Ergänzungsleistungen senken will.
84710.00000000001	87830	3120	Ein Doppelschlag für all jene, die vom Eigenheim träumen.
88010	91430	3420	Denn bereits gestern verschärften die Banken die Hypothekenvergabe.
91590	94789.99999999999	3200	Monika Suter über einen brisanten Vorschlag.
96950	99310	2360	Der Traum von den eigenen 4 Wänden.
99390	101229.99999999999	1840	Immer mehr Menschen im Land
101280	103190	1910	konnten ihn in den vergangenen Jahren verwirklichen.
103390	106030	2640	Viele von ihnen mit Geld aus der Pensionskasse.
106140	108110	1970	Gemäss dem Bundesamt für Sozialversicherungen
108340	112550	4210	haben 2011 rund 25'000 Personen einen Pensionskassen-Vorbezug
112660	117310	4650	für den Immobilienkauf getätigt. Damit soll nun Schluss sein.
117479.99999999999	120750	3270	Colette Nova vom Bundesamt für Sozialversicherung
120890	125070	4180	begründet die Vorlage des Bundesrates.
125170	127790	2620	Der Bundesrat möchte verhindern, dass es Leute gibt,
127940	131350	3410	die Pensionskassengeld in Form von Kapital beziehen
131530	133950	2420	und nachher nicht mehr genug zum Leben haben
134110	136910	2800	und darum Ergänzungsleistungen brauchen.
137130	140070	2940	Heute kann Geld von seinem Pensionskassenkonto nehmen,
140210	145150	4940	wer Wohneigentum kauft, auswandert oder sich selbstständig macht.
146430	149350	2920	Auch wer nach der Pensionierung sein Geld selbst verwalten möchte,
149460	153470	4010	kann je nach Kasse alles oder einen Teil herausnehmen.
153620	157430	3810	Neu soll das alles im obligatorischen Teil nicht mehr möglich sein.
157530	160829.99999999997	3300	Der obligatorische Teil der Pensionskassengelder
161050	164150	3100	betrifft das Jahreseinkommen bis 84'000 Fr.
164340	166510	2170	Viele Menschen verdienen nicht genügend Geld,
166610	168750	2140	um für einen Hauskauf zu sparen.
168920.00000000003	170870	1950	Aus diesem Grund haben in den vergangenen Jahren
171070	172990	1920	viele auf die Altersreserve zurückgegriffen
173190	177270	4080	und ihr Pensionskassengeld abgezogen. Von der Massnahme betroffen
177440	182110	4670	wären künftig v.a. die unteren und mittleren Einkommen.
183480	185470	1990	Man muss ehrlich sein:
185620	189550	3930	Es gibt sehr viele Leute,
189750	191990	2240	die praktisch nur das Obligatorium haben.
192110	194110	2000	Klemmt man diesen Teil ab,
194210	197030	2820	verunmöglicht man vielen den Erwerb von Wohneigentum.
197110	199870	2760	Ausserdem bezweifelt der Hauseigentümer-Verband, dass Leute,
200020	202390	2370	welche ihre Pensionskassengelder für Wohneigentum einsetzen,
202500	204670.00000000003	2170	später Ergänzungsleistungen beziehen.
204829.99999999997	207070	2240	Andreas Dummermuth,
207240	209470	2230	Präsident der kantonalen Konferenz der Ausgleichskassen,
209550	211750	2200	unterstützt den Vorschlag des Bundesrates.
211930	213950	2020	Der obligatorische Teil des Pensionskassenvermögens
214140	215990	1850	dürfte künftig nicht mehr angetastet werden.
216100	218190	2090	Das Obligatorium macht nur Sinn,
218300	220630	2330	wenn dieses Geld im Alter tatsächlich noch da ist.
220730	223550	2820	Verschwindet dieses Geld vorher, ist es absolut sinnlos.
