start	end	duration	text
1520	6340	4820	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6450	9260	2810	Guten Abend, meine Damen und Herren.
9410	12180	2770	"Ich begrüsse Sie zur ""Tagesschau""- Hauptausgabe vom 6. Februar."
12320	14500	2180	Diese Themen haben wir u.a. für Sie:
15460	19300	3840	Altlasten zwingen die Grossbank aber zu hohen Rückstellungen.
20510	25540	5030	Der japanische Konzern steigt aus dem PC-Geschäft aus.
27240	31980	4740	In Afghanistan hoffen die Menschen auf einen neuen Präsidenten.
34150	39500	5350	In 20 Std. beginnen die 22. Olympischen Winterspiele.
41340	46180	4840	Im Laufe des Tages beginnt es zu regnen oder zu schneien.
47450	51060	3610	Nachdem die UBS vor 2 Tagen ihr Jahresergebnis präsentiert hat,
51280	54060	2780	wartet heute die 2. Schweizer Grossbank, die Credit Suisse,
54250	57500	3250	mit ihren Zahlen auf: Mit einem Überschuss von 3,1 Mrd. Fr
57750	61900	4150	hat die Bank ihren Gewinn vom letzten Jahr mehr als verdoppelt
61990	63310	1320	Und die Kunden
63490	68390	4900	vertrauten der Credit Suisse neues Geld im Wert von 38 Mrd. Fr. an.
68620	70750	2130	Ein gutes Resultat für das ganze Jahr,
70830	73830	3000	allerdings - wie der Bericht von Marianne Fassbind zeigt -
73940	76150	2210	nur auf den ersten Blick.
77260	80230	2970	Für die Credit Suisse ist das 4. Quartal schlecht gelaufen
80300	82590	2290	Das Geschäftsergebnis vermiest
82730	85750	3020	haben die hohen Rückstellungen für Sünden der Vergangenheit.
85920	88750	2830	Das sowieso schon schwankungs- anfällige Investmentbanking
88920	92150	3230	rutschte deshalb im Schlussquartal in die roten Zahlen.
92350	96150	3800	Dies lässt Brady Dougan, Chef der Credit Suisse, aber unbeeindruckt:
96240.00000000001	99590	3350	Wir sind sehr zufrieden mit dem eingeschlagenen Weg.
99720	101710.00000000001	1990	Speziell im 4. Quartal
101789.99999999999	105509.99999999999	3720	waren die Resultate des Aktienge- schäfts im Investmentbanking stark.
105660	109750	4090	Und wir sind sehr optimistisch, wie das Geschäft 2014 angelaufen ist.
109830	113590	3760	Trotz Euphorie des Konzernchefs: Auch in der Vermögensverwaltung,
113759.99999999999	117229.99999999999	3470	die eigentlich besser abgeschnitten hat als die der UBS,
117350	119830	2480	sind noch Altlasten vorhanden.
119930	122110	2180	Wegen des US-Steuerstreits
122340	126390	4050	musste die Credit Suisse erneut Rück stellungen von 175 Mio. Fr. bilden,
126500	129430	2930	die aber noch keine Busse enthalten.
129600	132310	2710	Wenn wir solche Rückstellungen vornehmen, heisst das,
132550	135230	2680	wir erwarten eine baldige Lösung in den Rechtsstreitigkeiten.
135390	137550	2160	Wir sind zufrieden mit den Fortschritten,
137730	140430	2700	die wir in dieser Sache 2013 gemacht haben.
140570	144190	3620	Es ist gut, wenn wir hier weiterkommen.
144310	146990	2680	Einen präzisen Zeitpunkt dieser baldigen Lösung
147190	149070	1880	möchte Dougan allerdings nicht nennen.
149300	152510	3210	Erst dann wird auch klar sein, wie hoch die Busse ausfällt.
152630	155070	2440	Dennoch ist die Bank grosszügig
155150	158430	3280	und möchte eine Dividende von 70 Rp. auszahlen.
158600	162630	4030	Obwohl sich die Credit Suisse und die UBS auf Wachstumskurs befinden,
162810	165150	2340	werden die beiden Grossbanken Mühe haben,
165320	168110	2790	je wieder so profitabel zu wirtschaften
168230	170750	2520	wie vor der Finanzkrise 2007.
170829.99999999997	173350	2520	Denn die Bedingungen haben sich grundsätzlich verändert.
173579.99999999997	177510	3930	Im Investmentbanking sind durch die härteren Eigenkapitalrichtlinien
177590	179390	1800	die Kosten gestiegen.
179550	182190	2640	Und in der Vermögensverwaltung schwinden die Margen.
182260	185870	3610	Kurzum gesagt: Die Banken befinden sich in einem Strukturwandel.
186790	188270	1480	In der Eurozone
188550	191990	3440	bleiben die Zinsen weiterhin auf dem Rekordtief von 0,25 %.
192190	194990	2800	Mario Draghi, Präsident der Europäischen Zentralbank,
195120	196710	1590	verzichtet damit
196940	199950	3010	auf weitere Massnahmen gegen die niedrige Inflationsrate.
200150	202950	2800	Zuletzt war die Teuerung im Euroraum gesunken,
203110	206150	3040	so dass Angst vor einer Deflation aufkam -
206260	208750	2490	also die Angst vor sinkenden Preisen
210110	212829.99999999997	2720	Noch in den 1990er-Jahren brachte der Elektronik-Riese Sony
212990	216270	3280	jährlich etwa 500 neue Produkte auf den Markt,
216440	220470	4030	doch davon kann das japanische Unternehmen schon länger nur träumen
220750	223590	2840	es befindet sich seit Jahren im Sinkflug.
223860	228030	4170	Um seine enormen Verluste zu stoppen greift Sony zu drastischen Schritten
228220	232950	4730	Der Konzern stösst die schwächelnde PC-Sparte ab
233030	236430	3400	und baut weltweit 5'000 Stellen ab.
236579.99999999997	238870	2290	Im laufenden Geschäftsjahr erwartet Sony statt des erhofften Gewinns
239100	243110	4010	zudem rote Zahlen - nämlich einen Verlust von fast 1 Mrd. Fr.
243190	245030	1840	Beat Giger über den Wandel
245200	249430	4230	von einer erfolgreichen Kultmarke zum Sorgenkind der Branche.
250970	253750	2780	Das Lebensgefühl der 80er-Jahre.
253950	257339.99999999997	3390	Sony liefert mit dem tragbaren Kassettenspieler - dem Walkman -
257430	263100	5670	die passende Ausrüstung dazu und ist Ikone für eine ganze Generation.
263260	267380	4120	Kameras, Videogeräte, Computer und vieles mehr folgen -
267590	271780	4190	die Japaner erobern den boomenden Markt der Unterhaltungstechnologie
271990	274540	2550	rund um den Globus.
274710	276700	1990	Für IT-Experte Lucius Müller
276840.00000000006	280780	3940	hat sich Sony zu lange auf dem Erfol ausgeruht und nicht genügend flexibe
280980	284620	3640	auf die technologische Entwicklung reagiert.
284710	288580	3870	Sony hatte Mühe, den Wechsel ins digitale Zeitalter zu meistern.
288659.99999999994	291340.00000000006	2680	Es gibt keine namhaften Produkte -
291430	295060	3630	wie z.B. der Walkman aus dieser Zei oder der analoge Fernseher -
295280	297300	2020	die anschliessend noch so erfolgreich waren.
297490	299659.99999999994	2170	Es gibt ein Betriebssystem für Computer,
299780	301780	2000	das heute nicht mehr existiert.
301980	304710	2730	Und auch die Versuche, z.B. Musik online anzubieten,
304840	307270	2430	haben allesamt gefloppt.
307430	310870	3440	Das Geschäft mit den Fernsehgeräten beschert Sony heute riesige Verluste
311070	313750	2680	Und bei den immer beliebteren Tablet und Smartphones
313830	316550	2720	hat die Konkurrenz die Nase vorn.
316630	318790	2160	Finanzanalyst Michael Studer
318960	321310	2350	ortet auch noch ein Problem in der Firmenstruktur:
321460	323750	2290	Wie viele andere asiatische Multis
323950	326270	2320	ist Sony ein sehr weitverzweigtes Unternehmen
326510	328790	2280	Der Nachteil ist, dass man sich nicht wirklich
329000	331030	2030	auf einen bestimmten Bereich fokussieren kann.
331230	333470	2240	Die Amerikaner sind da z.B. viel strikter:
333570	337190	3620	Wenn ein Tochterunternehmen nicht mehr zum Kernbereich passt,
337360	341070	3710	stösst man es ab oder bringt es wieder an die Börse.
341150	345150	4000	Das ist bei Sony so nicht der Fall, und damit hat man eben
345290	349990	4700	diese weitverzweigte Struktur, die eine Fokussierung nicht ermöglicht.
350070	352150	2080	Ein Lichtblick immerhin:
