start	end	duration	text
38420	40500	2080	Der Sonntag beginnt mit Niederschlägen,
40510	42540	2030	wird aber immer freundlicher.
43770	45740	1970	Die Schweiz schrumpft.
45900	47700	1800	Also nicht die Schweiz als solche,
47900	49980	2080	aber was die Zahl ihrer Gemeinden betrifft.
50180	55140	4960	Auf Anfang Jahr haben weitere 56 Gemeinden ihre Autonomie aufgegeben
55270	57300	2030	und mit anderen fusioniert.
57470	60100	2630	D.h., sie verschwinden von der Landkarte.
60290	63780	3490	Der Trend zu Gemeindefusionen hatte im Jahr 2000 eingesetzt.
64000	68140	4140	Damals zählte die Schweiz noch 2'899 Gemeinden.
68220	70860	2640	Seither hat ihre Anzahl stetig abgenommen.
71020	76340	5320	So sind es am 1. Januar 2014 noch 2'352 Gemeinden -
76440	77539.99999999999	1100	oder anders ausgedrückt:
77730	82260	4530	547 Schweizer Gemeinden sind seither verschwunden.
82460.00000000001	85380	2920	Die meisten Fusionen gibt es dieses Jahr im Kanton Bern.
85560	89260	3700	Allein 7 Gemeinden finden Anschluss bei Fraubrunnen.
90940	94020.00000000001	3080	Fraubrunnen: Seit dem 1. Januar zähl die Gemeinde im Berner Mittelland
94200	98780	4580	4'800 Einwohner - fast 3-mal so viel wie vor der Fusion.
98940	102460.00000000001	3520	Eine Fusion, von der man sich hier viel verspricht:
102620	104660	2040	Denn die einzelnen Gemeinden kamen an ihre Grenzen.
104740.00000000001	107460.00000000001	2720	Politische Ämter konnten sie kaum mehr besetzen.
107570	111140	3570	Der neue Gemeindepräsident hofft:
111160	113860	2700	Dass wir bei der Suche der Behörden
113940	116340	2400	künftig weniger Schwierigkeiten haben werden.
116580	118940	2360	Wir konnten von 450 Behördenmitgliedern
119190	122380	3190	in allen 8 Gemeinden bis jetzt auf ca. 90 reduzieren.
122540	125500	2960	Die Fusion hinter sich hat der Kanton Glarus.
125620	127980	2360	Auch dank der Reduktion des Personal
128060	131220	3160	sind die 3 Grossgemeinden heute finanziell gut aufgestellt,
131300	135740	4440	wie der neuste Finanzbericht des Kantons ausweist.
137140	140579.99999999997	3440	Reto Steiner von der Universität Ber kennt die Schweiz und ihre Gemeinden
140800	145180	4380	Damit eine Fusion gelingt, müssen mehrere Faktoren übereinstimmen:
146510	149460	2950	Zuerst einmal die harten Fakten, sprich Finanzlage,
149620	152780	3160	gleiche Vorstellungen über die strategische Entwicklung ...
152990	155740	2750	Zudem müssen aber auch die Argument des Herzens übereinstimmen.
155820	158300	2480	Man muss sich vertrauen und glauben
158470	162060	3590	dass der Partner gute Absichten hegt.
162140	165860	3720	Und eben deshalb scheitern häufig Fusionen in grössere Städte.
165940	170140	4200	Freiburg z.B. wollte sich national besser positionieren.
170340	173420.00000000003	3080	Doch die Fusion mit den Gemeinden Marly und Villars-sur-Glane
173520	178740	5220	wurde auf Eis gelegt: Die kleinen Gemeinden fürchteten Steuerausfälle.
180220	181540	1320	Oder Luzern.
181710	184860	3150	Die Stadt schloss sich mit der Anrainergemeinde Littau zusammen
185010	188300	3290	und wurde damit zur siebtgrössten Schweizer Stadt.
188430	190540	2110	Doch das Projekt GrossLuzern,
190660	193460	2800	mit der Fusion aller Agglomerationsgemeinden in die Stadt
193660	215660	22000	scheiterte an der Urne.
215790	217980	2190	Diese Probleme hatte Fraubrunnen nicht.
218070	219900	1830	4 Jahre wurde die Fusion vorbereitet
220100	221980	1880	An den 750'000 Fr. Umsetzungskosten hat sich der Kanton Bern beteiligt.
222150	224660	2510	Am Montag nimmt die neue Grossgemeinde ihren Betrieb auf.
225610	228420.00000000003	2810	Im Korruptionsskandal, der zurzeit Griechenland beschäftig,
228579.99999999997	230500	1920	spielen offenbar auch Schweizer Banken eine Rolle.
230650	234220	3570	So sollen Schmiergelder, die von Rüstungsfirmen
234329.99999999997	236579.99999999997	2250	ans griechische Verteidigungs- ministerium gezahlt wurden,
236720	238820	2100	auf Schweizer Bankkonten gelandet sein.
239060	240580	1520	Das berichten verschiedene in- und ausländische Medien,
240700	242660	1960	"darunter der ""Tages-Anzeiger""."
242760	244700	1940	Die Bundesanwaltschaft prüft nun,
244790	248460	3670	ob ein sog. Organisationsverschulden der betroffenen Banken vorliegt.
248610	251100	2490	D.h., ob die Banken zu wenig kontrolliert hatten,
251240	254420	3180	um die Annahme von Bestechungsgelder zu verhindern.
255730	259260	3530	Antonios Kantas, ehemals höchster Waffeneinkäufer Griechenlands,
259529.99999999997	262180	2650	erscheint vor Gericht: Er hat jüngst zugegeben,
262290	265660	3370	Ende der 90er-Jahre für die Vergabe von Waffenaufträgen
265740	269500	3760	privat mehrere Millionen Euro entgegengenommen zu haben.
269650	274740	5090	Grosse Bestechungssummen sollen laut dem Geständnis von Kantas
274870	276900	2030	in der Schweiz gelandet sein.
276980	281900	4920	Am meisten Geld, rund 15 Mio. Euro, liess Kantas bei Julius Bär anlegen.
282130	284580	2450	"Das berichtet der ""Tages-Anzeiger""."
284659.99999999994	287580	2920	Die Bundesanwaltschaft bestätigt, dass geprüft werde, ob allenfalls
287730	292659.99999999994	4930	ein Organisationsverschulden der betroffenen Banken vorliegt.
292860	296580	3720	Laut Antikorruptionsexperte Mark Pieth stellt sich v.a. die Frage,
296710	301780	5070	bis wann diese Gelder auf Schweizer Konten flossen.
302100	304300	2200	Die Auslandsbestechung ist in der Schweiz
304410	307030	2620	auch seit etwa 2000 strafbar.
307120	310990	3870	Damit ist auch die Geldwäsche von Auslandsbestechung
311140	313030	1890	ein Problem für die Banken.
313270	317030	3760	Sie müssen Acht geben, dass sie solches Geld nicht annehmen.
317160	322270	5110	Wenn sie es doch annehmen, riskieren sie unter Umständen
322420	326830	4410	aufsichtsrechtliche Konsequenzen oder strafrechtliche Konsequenzen.
326950	328950	2000	Der Journalist Tasos Telloglou
329110	331110	2000	hat den Fall in Griechenland recherchiert.
331280	334950	3670	Telloglou zitiert einen beschuldigte Treuhänder namens Efstathiou.
335150	339310	4160	Demnach sollen die Gelder auch nach 2000 in die Schweiz geflossen sein.
339340.00000000006	341510	2170	Herr Efstathiou hat seine Aussage
341640	348590.00000000006	6950	auf den Zeitraum nach 2002 und 2003 ausgedehnt.
348750	353909.99999999994	5160	Seine Konten in Genf und in Zürich müssen geöffnet werden,
354070	358710	4640	damit man sieht, bis wann diese Zahlungen stattgefunden haben.
359030	361870	2840	Gemäss Pieth handelt es sich bei der aktuellen Schmiergeldaffäre
362100	364710	2610	nicht um einen Einzelfall.
365260	368630	3370	Ich nehme an, wir haben relativ viele solche Gelder in der Schweiz.
368710	371270	2560	Man wird ganz genau hinschauen müssen,
371470	378670	7200	ob die Banken in der neueren Zeit - ab 1997 wirds eher heikel
378820	382070	3250	für die Banken, ab dann gilt das Geldwäschegesetz -
382320	385190	2870	ob die Banken da ihren Pflichten nachgekommen sind.
385710	388350	2640	Umso mehr, als dass bei den Banken schon damals bekannt war,
388500	393070	4570	dass die Rüstungsbranche bestechungsanfällig ist.
394680	399550	4870	In Syrien sind 5 Mitarbeitende der Organisation Ärzte ohne Grenzen
399720	402350	2630	Medecins Sans Frontieres - verschleppt worden.
402520	404830	2310	Unter ihnen sei auch ein Schweizer, teilt die Organisation mit,
405030	406710	1680	die es aber gleichzeitig vermeidet,
406840.00000000006	409630	2790	von einer Entführung oder einer Geiselnahme zu sprechen.
409720	412430	2710	Bestätigt wird nur, dass die 4 anderen Mitarbeiter
412570	415430	2860	aus Schweden, Dänemark, Belgien und Peru kämen.
415550	418190	2640	Und man sei in Kontakt mit allen zuständigen Stellen
418340.00000000006	422790	4450	und versuche eine Verbindung zu den Kollegen herzustellen.
424020	426910	2890	Syrien versinkt im Krieg, und doch gibt es eine Region,
427110	429990	2880	die bisher von den Kämpfen verschont blieb.
430070	432350	2280	Der Nordosten, ein Gebiet, in dem Kurden leben,
432510	434470	1960	dort herrscht relativer Frieden.
434640	437710	3070	Man hat sich mit den kurdischen Milizen arrangiert und versucht -
437910	440590	2680	umgeben von Unruhen -, Normalität zu leben.
442470	445590	3120	Diese bewaffneten Männer gehören weder zu den Rebellen
445680	447630	1950	noch zur syrischen Armee.
447710	449910	2200	Es sind kurdische Milizen.
450020	454070	4050	Sie kontrollieren die Zufahrt zu ihrer Stadt im Nordosten von Syrien.
454310	456830	2520	Wir kontrollieren v.a. grosse Autos mit getönten Scheiben
456950	458710	1760	oder Kleinbusse.
458790	460230	1440	Einfach alle Fahrzeuge,
460400	465030	4630	in denen man explosives Material oder Waffen verstecken könnte.
467020	469030	2010	In ihrer Stadt gab es bisher keine Kämpfe.
469120	471270	2150	Was die Bewohner zurzeit am meisten fürchten,
471370	474710	3340	sind die Kälte und die Kosten für Lebensmittel.
476070	478950	2880	Vorher waren wir nicht so frei wie jetzt,
479150	480830	1680	wir hätten nicht so frei reden können,
480930	482910	1980	wie ich es jetzt mit Ihnen tue.
483130	484710	1580	Aber das Leben ist viel schwieriger geworden.
484900	486950	2050	Alles ist viel teurer.
488600	492510	3910	Brot und Gasbrenner um zu heizen waren noch nie so teuer.
492590	496350	3760	Seit dem Krieg sind die Preise um das 5-fache gestiegen.
497140	500110	2970	Das ist so teuer, ich kann es mir nicht leisten.
500300	503750	3450	Die Bewohner sprechen Kurdisch, eine Sprache,
503900	506510	2610	die vorher vom Regime verboten worden war.
506660	508430	1770	Überall ist die Fahne der kurdischen Partei aufgemalt.
508510	510510	2000	Die kurdische Partei hat auch
510700	514950.00000000006	4250	die Initiative für eine provisorisch Administration ergriffen:
515030	516950.00000000006	1920	Das Chaos war so gross,
517110	521070.00000000006	3960	es war einfach notwendig, eine administrative Stelle zu schaffen.
521150	523150	2000	Alle politischen Gruppen waren dieser Meinung,
523230	527190	3960	und so haben wir uns für die Arbeit zusammengetan.
529940	532550	2610	In der Hauptstadt der Region sind die Soldaten der Armee
532630	534270	1640	noch immer präsent.
534420	538830	4410	Sie sind da und beziehen Posten, lassen aber die Milizen gewähren:
540130	542190	2060	Wir wollen keine Gewalt.
542300	545430	3130	Wir haben unsere Region friedlich befreit.
545600	549190	3590	Die Regimesoldaten bleiben auf ihre Posten, aber lassen uns in Ruhe.
549350	552230	2880	Eines Tages werden wir sie auffordern,
552440	554670	2230	friedlich abzuziehen und sie werden gehen müssen.
554820	557950	3130	Eine schöne Vorstellung, vielleicht zu schön, um wahr zu sein
558150	561550	3400	Hoffen lässt, dass die Region bisher vom Kampf verschont blieb
561630	564630	3000	und die politischen Gegner bis jetzt in stillschweigendem Einverständnis
564710	566870	2160	nebeneinander leben.
568640	571550	2910	Kurz vor der Parlamentswahl in Bangladesch
571700	575790	4090	sind bei Kämpfen zwischen Anhängern der Regierung und der Opposition
575900	578030	2130	mehrere Menschen getötet worden.
578200	580870	2670	Mind. 30 Wahllokale in verschiedenen Teilen von Bangladesch
581030	583030	2000	wurden in der Nacht in Brand gesetzt
584710	586470	1760	Seit Tagen sind im ganzen Land
586610	588590	1980	Tausende Polizisten auf den Strassen präsent.
588820	592110	3290	Trotzdem haben Oppositionelle viele Brandanschläge verübt -
592310	596630	4320	auf Fahrzeuge und Schulen, die als Wahllokale gedacht waren.
596800	599870	3070	Die morgige Wahl wird von der Opposition boykottiert und wird -
599950	601550	1600	unabhängig vom Ergebnis -
601710	604510	2800	laut Beobachtern keine Stabilisierung bringen.
606790	610790	4000	Die irakische Armee hat in der Stadt Falludscha
610990	613830	2840	Artillerie gegen extremistische El-Kaida-Kämpfer eingesetzt.
613990	616390	2400	Islamistische Rebellen sind in der Grenzregion zu Syrien
616620	618590	1970	auf dem Vormarsch und haben die Kontrolle
618660	621070	2410	über die Städte Ramadi und Falludscha übernommen
621190	624550	3360	und liefern sich jetzt erbitterte Kämpfe mit der Armee.
627140	630550	3410	Russlands Präsident Putin hat sein verhängtes Demonstrationsverbot
630700	633750	3050	während den Olympischen Winterspiele in Sotschi wieder aufgehoben.
630580	633700	3120	während den Olympischen Winterspiele in Sotschi wieder aufgehoben.
633800	637300	3500	Putin hat ein Dekret unterzeichnet, welches Protestaktionen
637460	641460	4000	unter strengen Auflagen und nur an festgelegten Orten zulässt.
641680	645740	4060	Das Internationale Olympische Komite begrüsst diesen Entscheid.
647310	651140	3830	London gilt nicht gerade als die velofreundlichste Stadt der Welt.
651240	652340	1100	Im Gegenteil.
652430	657260	4830	Nun macht Stararchitekt Norman Foste einen aufsehenerregenden Vorschlag,
657430	661540	4110	wie die Metropole London diesbezüglich aufholen könnte.
661760	664340	2580	Indem man über den bestehenden Eisenbahngeleisen
664430	667180	2750	breite Fahrradbrücken baut.
667300	669500	2200	Das Projekt heisst Sky-Cycle,
669610	672540	2930	also auf Deutsch so etwas wie Velofahren hoch oben in der Luft.
672710	674820	2110	Es soll ermöglichen, dass man mit dem Velo
674940	677580	2640	fernab vom gefährlichen Strassenverkehr
677680	679760	2080	in die Londoner Innenstadt gelangen kann.
