start	end	duration	text
3400	5320	1920	.
5760	9080	3320	"""10vor10"" mit Daniela Lager."
10180	12240	2060	Guten Abend, meine Damen und Herren.
12330	14800	2470	Heute sehen Sie bei uns News und Hintergründe zu diesen Themen:
15900	22000	6100	Thorberg-Direktor Georges Caccivio wird freigestellt.
23140	27040	3900	Laut Experten seien manche Tests gefährlich,
27140	29640	2500	weil sie falsche Resultate liefern.
30860	34040	3180	Viele Zeitungsausträger verdienen
34250	38040	3790	mit dem neuem Gesamtarbeitsvertrag noch weniger.
38940	44960	6020	Wie Reporter in Russland an verbotene Aufbaupräparate gelangen.
46330	51520	5190	1:1-Untertitelung
52700	56480	3780	Georges Caccivio, Direktor der Strafanstalt Thorberg,
56590	58800	2210	ist vorläufig freigestellt.
58900	61080	2180	Die Massnahme durch die Berner Polizeidirektion
61310	63400	2090	erfolgt nach einer ganzen Reihe von Vorwürfe
63520	65800	2280	durch Mitarbeiter des Gefängnisses,
65890	69080	3190	"die ""10vor10"" am vergangenen Freitag publik gemacht hat."
69180	72080	2900	Es geht u.a. um fragwürdige Beziehungen zu Häftlingen
72289.99999999999	76480	4190	oder um Kontakte ins Drogen-Sex- Milieu Caccivios vor seiner Amtszeit
76600	78760	2160	Nun kommen weitere Probleme hinzu,
78980	81440	2460	was zur vorläufigen Amtsenthebung geführt hat.
81700	83480	1780	Ivana Imoli und Christof Schneider berichten.
84860	87840	2980	Hans-Jürg Käser hat heute viel zu erklären.
87940	89960.00000000001	2020	Der Berner Regierungsrat
90060	93800	3740	verfügte die Freistellung von Thorberg-Direktor Georges Caccivio.
94000	100000	6000	Die Vorwürfe waren seit Ende August in Form von Gerüchten bekannt.
100100	103280	3180	Die Fakten wurden aber erst im Verlauf der letzten Tage
103450	107720	4270	so auf den Punkt gebracht, dass ich mich entschied,
107940	110600	2660	Herr Caccivio aus seinem Amt zu entfernen.
110740.00000000001	113440	2700	Thorberg-Direktor Georges Caccivio.
113660	116960.00000000001	3300	Seit Ende letzter Woche steht er öffentlich in der Kritik.
117060	119479.99999999999	2420	Die Vorwürfe: fragwürdige Beförderungen,
119610	121840	2230	Beziehungen zu Gefangenen
121930	124600	2670	und Kontakte ins Bieler Drogen-Sex-Milieu,
124820	128080.00000000001	3260	welche jedoch vor seiner Amtszeit stattgefunden haben sollen.
128220	130680	2460	Heute liegen neue Fakten auf dem Tisch,
130820	134840	4020	welche das Vertrauen in Caccivio vollends zerrüttet hätten.
135060	139400	4340	Weil mir übers Wochenende bekannt wurde,
139520	145200	5680	dass Herr Caccivio mit Drogenpros- tituierten sexuellen Kontakt hatte
145290	148400	3110	auch während seiner Zeit als Direktor des Thorbergs.
148570	152800	4230	So kann ich nicht mehr hinter Herr Caccivio stehen.
153020	155320	2300	Die Affäre Thorberg -
155470	159280	3810	ein Trauerspiel, findet Caccivios Vorgänger Hans Zoss.
159390	164040	4650	17 Jahre lang amtete er als Thorberg-Direktor:
164570	167520	2950	Zuerst erschrak ich, dass so etwas überhaupt möglich ist
167690	170480	2790	Danach machte es mich traurig, denn als ich gegangen bin,
170579.99999999997	172920.00000000003	2340	verliess ich Thorberg
173150	176720	3570	mit einer guten Stimmung im Personal und mit den Gefangenen.
176900	180300	3400	Dass sich das geändert hat macht mich traurig.
180470	184300	3830	Ein scheinbar harmloser Vorwurf, nämlich dass Caccivio
184390	188620	4230	mit 2 Häftlingen per du ist, brachte die Affäre u.a. ins Rollen.
188780	193020	4240	Für Zoss wurden bereits hier Grenzen überschritten.
193220	196380	3160	Insassen duzen ist für mich ein absolutes No-Go.
196550	200860	4310	Das geht einfach nicht, denn so setzt man falsche Signale -
201060	204780	3720	Signale von Bevorzugung, Günstlingswirtschaft ...
204970	209460	4490	Man sieht es jetzt: Es kam so heraus, wie es herauskommen kann.
209620	213300	3680	Auch Thomas Noll vom Ausbildungs- zentrum für Strafvollzugspersonal
213410	219540	6130	ist diese Nähe zwischen Direktor und Insassen unzulässig.
219620	223980	4360	Ich würde in so einer Situation jedem Gefängnisdirektoren empfehlen
224070	227220	3150	den Insassen schon bevor er in der Anstalt ist
227410	229780	2370	in eine andere Anstalt weiterzuleiten.
229950	231780	1830	Gefängnisdirektoren sehen ja auf einer Liste,
232010	233980	1970	welche Insassen für ihr Gefängnis geplant sind
234140	236060	1920	und können rechtzeitig intervenieren.
236180	238020	1840	Ein weiterer Vorwurf:
238170.00000000003	241100	2930	Caccivio soll Akten eines Häftlings manipuliert haben.
241250	244420	3170	In den Unterlagen eines Verurteilten befand sich ein Protokoll,
244570	248660	4090	welches Caccivio als Zeugen im Verfahren aufführt
248770	252860	4090	und seine sexuellen Kontakte mit einer Drogenprostituierten offenlegt
253040	257500	4460	Die entsprechende Seite hat Caccivio aus dem Dossier entfernen lassen.
257720.00000000003	260019.99999999997	2300	Nachdem eine interne Untersuchung im Dezember
260220.00000000003	262460	2240	noch praktisch folgenlos blieb für Caccivio,
262610	265620	3010	soll nun eine externe Untersuchung die Wahrheit ans Licht bringen.
265790	269460	3670	Caccivio jedoch für die Affäre allein verantwortlich zu machen
269570	273340.00000000006	3770	greife zu kurz, finden Berner Links-Politiker.
273430	275340.00000000006	1910	Hier wird jemand
272720	274610	1890	Hier wird jemand
274810	277170	2360	in eine ganz sensible Position gewählt und angestellt.
277240	279210	1970	Da schaut man offensichtlich nicht,
279300	281330	2030	was für Milieukontakte diese Person hat.
281560	284090.00000000006	2530	Ich denke, das ist eine unabdingbare Sorgfalt,
284220	286970	2750	die hier nicht berücksichtigt wurde
287140	289530	2390	Das ist etwas, das man politisch anschauen muss.
289730	292010	2280	Die Rolle Herr Käsers scheint mir sehr problematisch.
292210	295450	3240	Er weiss offensichtlich seit längerem von diesen Sachen.
295560	297610	2050	Transparenz zu schaffen
297810	299570	1760	ist etwas vom Wichtigsten in Krisensituationen.
299800	301650	1850	Das schafft Herr Käser einmal mehr nicht.
301760	306210	4450	In wie fern tragen Sie als Regierungsratszuständiger
306240	308530	2290	eine politische Verantwortung?
308690	311490	2800	Der zuständige Regierungsrat trägt immer die Verantwortung,
311720	315170	3450	für alle Vorkommnisse in Anstalten und Gefängnissen.
315260	317530	2270	Das ist selbstverständlich.
317730	320410	2680	Bei der Auswahl von Herr Zoss' Nachfolger
320570	324410	3840	als Direktor des Thorbergs - das war eine saubere Ausschreibung.
324530	328330	3800	Es gab mehrere Bewerber.
328500	331490	2990	Herr Caccivio wurde angestellt, weil seine Bewerbung die beste war.
331620	333890	2270	Die Affäre Thorberg:
334090.00000000006	336970	2880	Bis hinter den dicken Mauern wieder Ruhe einkehrt,
337130	340290	3160	wird Hans-Jürg Käser noch einiges zu erklären haben.
342210	345250	3040	Georges Caccivio wollte heute zu den neuen Vorwürfen
345370	348370	3000	"gegen ihn auf Anfrage von ""10vor10"" keine Stellung nehmen."
349810	352170	2360	Vorsorgen ist besser als heilen.
352340.00000000006	355530	3190	Seit Jahren ermuntern uns Fachleute zu regelmässigen Check-ups.
355670	358490	2820	Bei Frauen steht dabei die Brustkrebsfrüherkennung
358600	361330	2730	durch systematische Mammografien im Vordergrund.
361610	364810	3200	Ein Fachgremium, das Swiss Medical Board, kommt nun zum Schluss:
365040	368250	3210	Vergleicht man Nutzen, Gefahren und Kosten,
368340	371010	2670	kann man die Screenings getrost bleiben lassen.
371210	374570	3360	Die Reaktionen von Politikern und Ärzten sind heftig.
374800	378370	3570	Reto Kohler weitet in seinem Beitrag die Kosten-Nutzen- Rechnung heute au
