start	end	duration	text
1510	6520	5010	1:1-Untertitelung
6750	10040	3290	"Die ""Tagesschau"" - meine Damen und Herren - guten Abend!"
10270	12360	2090	Heute mit diesen Themen:
13070	17840	4770	Die Wirtschaft kritisiert die Pläne des Bundesrates.
18330	23120	4790	Aus dem Osten der Ukraine werden bereits wieder neue Kämpfe gemeldet.
23610	30240	6630	Ein neuer Film zeigt, wie er Zehntausende Juden in Ungarn rettete.
30630	35440	4810	In den Alpen am Abend vereinzelt Platzregen.
36110	39920	3810	Wie viel Zuwanderung ist erlaubt in einem Jahr:
40080	41960	1880	Künftig will der Bundesrat Kontingente,
42080	43640	1560	also Höchstzahlen festlegen.
43840	46120	2280	Das hat er klargemacht, als er gestern sein Konzept
46330	49600	3270	zur Umsetzung der Massenein- wanderungs-Initiative vorstellte.
49770	53040	3270	V.a. ein Punkt sorgt dabei auch im Nachhinein für Kritik:
53240	57160	3920	Schon Kurzaufenthalte ab 4 Monaten sind kontingentiert.
57270	60840	3570	Dass der Bundesrat hier nicht mehr Spielraum zulassen will,
61050	65040.00000000001	3990	dafür erntet er aus verschiedenen Branchen Kritik - Senta Keller:
65730	70640	4910	Heuernte im St. Gallischen Altstätten.
70730	73280	2550	Ein Kurzaufenthalter aus Ungarn
73490	77680	4190	ist auf dem Betrieb von Markus Ritter im Einsatz - für ein Jahr.
77930	84720	6790	Die Landwirtschaft sei auf solche einjährigen Einsätze angewiesen,
84920	88960.00000000001	4040	sagt der Präsident des Schweizerischen Bauernverbandes.
89130	91000	1870	Wir müssen dann um Kontingente kämpfen,
91210.00000000001	93360	2150	wir müssen den bürokratischen Aufwand auf uns nehmen,
93530	96140	2610	auch mit den entsprechenden Abklärungen beim Inländer-Vorrang,
96250	97380	1130	obwohl wir wissen,
97610	100979.99999999999	3370	dass niemand zur Verfügung steht bei den Arbeiten in der Landwirtschaft.
101140	104300	3160	Auch das Baugewerbe fürchtet mehr Aufwand und mehr Kosten.
104390	106300	1910	Und - mit 4 Monaten sei die Schwelle
106410	110100	3690	für kontingentbefreite Kurzauf- enthalter viel zu tief angesetzt,
110259.99999999999	113300	3040	sagt Werner Messmer, Präsident des Baumeisterverbandes.
113530	116020.00000000001	2490	So kurze Einsätze brächten der Branche nichts.
116250	121300	5050	Wir in der Baubranche arbeiten inzwischen meistens das ganze Jahr,
121490	123100	1610	es gibt kaum mehr rechte Winter.
123210	125180	1970	Die Technik ist so weit fortgeschritten,
125370	128180	2810	dass wir auch bei tiefen Temperaturen arbeiten können.
128289.99999999999	134060	5770	Also brauchen wir Leute, die mind. 8 - 11 Monate hierbleiben können.
134220	136340	2120	Und darum ist diese 4-Monatsschwelle
136570	138900	2330	für uns so eigentlich nicht akzeptierbar.
139140	141220	2080	Nicht akzeptierbar ist diese Schwelle
141400	143660	2260	auch für den Schweizerischen Gewerkschaftsbund.
143860	147620	3760	Chefökonom Daniel Lampart fürchtet, dass Firmen mit den neuen Regeln
147829.99999999997	151540	3710	vermehrt auf Temporärjobs ausweichen werden.
151700	155660	3960	Temporärjobs sind oft unsichere, prekäre Jobs,
155790	157540	1750	auch mit schlechteren Löhnen.
157760	160140	2380	Und schlechtere Löhne für Temporärangestellte
160270	162740	2470	heisst am Schluss natürlich schlechtere Löhne für alle.
162970	167660	4690	30'000 Kurzaufenthalter befanden sich Ende April in der Schweiz.
167770	169579.99999999997	1810	Die Branchen hoffen nun,
169730	172180	2450	dass sie in der Vernehmlassung Gehör finden -
172320	174460	2140	auf dass Kurzaufenthalter bis zu einem Jahr
174630	179260	4630	auch künftig ohne Kontingente in der Schweiz arbeiten können.
179980	183580	3600	Der ukrainische Präsident Petro Poroschenko
183730	187940	4210	will endlich Ruhe im Osten des Landes:
188170	191540	3370	Dafür soll fürs Erste die einseitige Waffenruhe
191740	195620	3880	und längerfristig der angekündigte Friedensplan sorgen.
195850	198540	2690	Doch genau diesen kritisiert Russland scharf,
198710	202060	3350	und selbst im ukrainischen Militär ist man skeptisch.
202200	205340	3140	So bleibt die Lage im Krisenherd weiter höchst unruhig.
205450	208260	2810	Trotz Waffenruhe gibt es erneut vereinzelte Kämpfe.
210360	212420.00000000003	2060	Das Dorf Andriiwka
212560	215620	3060	liegt zwischen der Front von Regierungstruppen und Separatisten.
215730	218620	2890	Laut einer Einwohnerin wurde die Waffenruhe hier nicht eingehalten.
218829.99999999997	224660	5830	Es war nie ruhig heute, seit 4 Uhr in der Früh wird geschossen.
224890	230980	6090	In Donezk lassen sich heute Morgen prorussische Kämpfer vereidigen.
231140	234340	3200	An eine Waffenruhe wollen sie sich nicht halten,
234560	238500	3940	bis sie einen eigenen, von der Ukraine unabhängigen Staat haben.
238730	240100	1370	Wir kämpfen weiter.
240360	243420	3060	Weshalb sollen wir die Waffen stre- cken, wenn auf uns geschossen wird?
243530	245020	1490	Wir werden sie erst abgeben,
245190	249460	4270	wenn der Staat Neu-Russland gegründet ist.
249560	252060	2500	Auf der Gegenseite stattet der ukrainische Präsident
252240	254540	2300	gestern seinen Truppen einen Besuch ab.
254690	257620	2930	Vor den Soldaten erläutert er den Friedensplan.
257790.00000000003	261899.99999999997	4110	Er verspricht den Aufständischen Straffreiheit und Wirtschaftshilfe
262029.99999999997	266820	4790	für die Ost-Ukraine, aber gleich- zeitig markiert Poroschenko Härte:
266990	272860	5870	Jene, welche sich nicht an die Waffenruhe halten, werden zerstört.
273000	275940	2940	Vor der Waffenruhe haben sich die Gefechte in das Grenzgebiet
276170	280180	4010	zu Russland verlagert - hier ein zerstörter Grenzposten.
280320	282540	2220	Die ukrainischen Truppen versuchen,
282770	285620	2850	den Nachschub aus Russland zu unterbinden.
285790	290220	4430	Als Reaktion hat Russland nun seine Truppen entlang der Grenze verstärkt.
290990	294260	3270	In London gingen heute Tausende von Menschen auf die Strasse:
294430	297659.99999999994	3230	Sie haben genug von der Sparpolitik der britischen Regierung.
297770	299820	2050	Obwohl kaum eine Wirtschaft in Europa
299990	302220	2230	derzeit schneller wächst als die britische,
302320	305420	3100	profitieren die wenigsten im Land tatsächlich davon, im Gegenteil:
305570	307940	2370	Die Kluft zwischen Arm und Reich wird immer grösser.
308060	309660	1600	Laut einer neuen Studie
309800	314260	4460	lebt mittlerweile sogar jeder 3. Brite unter der Armutsgrenze -
314340	318940	4600	während es den oberen 10'000 immer besser geht. Aus London Urs Gredig:
319620	322100	2480	Wie gut es den Bestbetuchten geht,
322310	324620	2310	lässt sich diese Woche in Ascot beobachten.
324850	327300	2450	Am traditionellen Pferderennen sitzt das Geld locker,
327360	329940	2580	es wird fleissig konsumiert.
330170	335460	5290	Am royalen Anlass herrscht wirtschaftliche Hochstimmung.
335620	338580	2960	Hier im königlichen Grossbritannien spielt Geld keine Rolle,
338690	340860	2170	hier spricht man nicht über Geld.
340980	345060	4080	Aber es gibt noch eine andere - eine bittere - britische Realität.
345170	346820	1650	Und darüber wird hier gesprochen -
347050	350820	3770	an der nationalen Demonstration gegen die Sparpolitik der Regierung.
350980	354820	3840	No Cuts - keine weiteren Kürzungen v.a. im öffentlichen Bereich
354990	358460	3470	auf Kosten der Bevölkerung. Dies die Forderung der Demonstranten.
358560	360220	1660	Sie haben genug davon,
360280	362500	2220	dass die Sparschraube immer mehr angezogen wird.
362610	367020	4410	Wir haben 1 Mio. junge Menschen ohne Job, ohne Hoffnung.
367170	370380	3210	Und 3,5 Mio. Kinder unter der Armutsgrenze.
370610	374540	3930	Und das in der fünftreichsten Nation.
374660	377260	2600	Die Regierung müsste in Jobs investieren,
377410	379420	2010	um die Steuereinnahmen zu erhöhen.
379530	384700	5170	Stattdessen leiden die Armen unter den Sparmassnahmen.
384800	386460	1660	Die Regierung sieht das anders.
386630	388580	1950	Die Sparpolitik sei ein Erfolg, sagt sie
388760	391220	2460	und verweist auf positive Indikatoren.
391380	395540	4160	2014 soll die Wirtschaft fast 3 % wachsen.
395650	398940	3290	Langjährige Sorgenkinder wie die Autoindustrie boomen wieder.
399090.00000000006	403380	4290	Doch davon profitieren nicht alle, warnt der Ökonome Jack Meaning.
403480	407700	4220	Wir brauchen mehr Jobs und höhere Löhne.
407840.00000000006	412060	4220	Dafür muss aber unbedingt mehr produziert werden.
412230	417180	4950	Nur damit würde die derzeitige Krise der Lebenshaltungskosten gelöst.
417260	421060	3800	Die Spargegner werden so schnell nicht verstummen.
421160	422980	1820	Die Regierung hat bereits
423090	426340	3250	weitere Kürzungen der Staatsausgaben angekündigt:
426460	430260	3800	90 Mrd. Fr. bis 2018.
