start	end	duration	text
1460	3980	2520	.
4210	7580	3370	"""10vor10"" mit Stephan Klapproth."
8910	14540	5630	Guten Abend, unsere Themen heute:
16500	22060	5560	Bei den Pensionskassen liegen satte 6,3 Mrd. Fr. ohne Besitzer.
24590	29260	4670	Schnee und schönes Wetter sorgen für Rekordtage auf den Pisten
32369.999999999996	38450	6080	2 Denker sagen, warum Ungewissheit als Chance verstanden werden soll.
41390	44450	3060	Auf der Baustelle von Nairobis neuem Luxushochhaus
44580	47170	2590	arbeitet eine einzige Frau.
48700	53850	5150	1:1-Untertitelung
55130	58650	3520	Wenn das keine gute Meldung ist für den Jahresanfang:
58850	62810	3960	6,3 Mrd. Fr. liegen auf der Strasse in der Schweiz.
62940	65250	2310	Abzuholen bei den Pensionskassen.
65440	68410	2970	Denn laut den neuesten Zahlen, die uns dazu vorliegen,
68570	72130	3560	haben hierzulande über 1 Mio. Menschen Pensionskassengeld,
72320	75570	3250	das im Lauf ihres Arbeitslebens vergessen ging.
75690	79450	3760	Allerdings: Die Auffangeinrichtung BVG, wo die Guthaben landen,
79680	84130	4450	kann 70 % der berechtigten Kontoinhaber nicht ausfindig machen.
84250	87970	3720	Stellen Sie vor: Dort liegen über 6 Mrd., und keiner geht hin.
88200	91730	3530	Wie kann das sein? Franziska Ramser forscht nach.
93210.00000000001	97009.99999999999	3800	Ihm ist es passiert: Gottfried Maure arbeitet seit über 40 Jahren
97180	100810	3630	als Spengler - und so lange zahlte e auch in die Pensionskasse ein.
100940	103210.00000000001	2270	Als sein vorheriger Arbeitgeber Konkurs ging,
103300	107050	3750	schien auch das Pensionskassenvermögen verschwunden:
107140	110289.99999999999	3150	Die vorherige Firma ging Konkurs.
110300	113770.00000000001	3470	Wir zahlten unser Pensionsgeld ein,
113910	117009.99999999999	3100	aber sie leitete es danach nicht weiter.
117150	119289.99999999999	2140	Deshalb ging es verloren.
119450	123170	3720	Beim Konkurs vernahmen wir, dass das Geld verloren ist.
123220	126650	3430	Aber 13 Jahre später tauchte das Geld wieder auf:
126850	131530	4680	Maurer erhielt auf einen Schlag über 60'000 Fr. zurück.
134170	137890	3720	"Als das Geld auftauchte, dachte ich ""Jetzt habe ich auch mal Glück."""
138020	140170.00000000003	2150	Darüber war ich sehr froh.
141400	144329.99999999997	2930	Besitzer von Sparguthaben - ohne davon zu wissen?
144550	146130	1580	Das seien viele unter uns zu.
146240	148690	2450	Dies sagt der Pensionsberater Markus Kaltenrieder -
148890	152090	3200	er hat auch Gottfried Maurers Geld wiedergefunden.
153730	160890	7160	Jede 3. Pensionsplanung bringt solche Situationen mit sich.
161050	164130	3080	D.h., wir finden Geld von Leuten, die nichts davon wissen.
164320	167050	2730	Das sind Hunderttausende Konti, die auf die Leute warten,
167130	169450	2320	von denen das Geld nicht abgeholt wird.
169600	172450	2850	Aber wie kommt den Leuten ihr angespartes Pensionskassenvermögen
172530	174930	2400	überhaupt abhanden?
175010	178210	3200	Jeder Arbeitnehmer bezahlt Beiträge in die Pensionskasse ein.
178350	183450	5100	Wenn das Arbeitsverhältnis endet, wird er aufgefordert,
183640	185890	2250	das angesparte Guthaben
186130	189930	3800	zur Pensionskasse des neuen Arbeitgebers mitzunehmen.
190090	193290	3200	Tut er das nicht, muss die Pensionskasse das vergessene Geld
193300	194650	1350	innert 2 Jahren
194800	198890	4090	an die Auffangeinrichtung der beruflichen Vorsorge überweisen.
199450	201930	2480	Über 850'000 kontaktlose Konten
202010	204930	2920	werden in der Auffangeinrichtung verwaltet.
205130	210329.99999999997	5200	Laut Geschäftsführer Max Meili liegen im Schnitt auf jedem 7'500 Fr
211420.00000000003	215650	4230	Der grösste Teil ist zwischen Null und 10'000 Fr.
215730	217530	1800	Das ist der grösste Teil.
217610	220930	3320	Dann hat es ein paar, die zwischen 100'000 und 500'000 Fr. haben,
221130	222890	1760	und dann noch ein paar Wenige mit über 1 Mio.
223060	225290	2230	Man versuche zwar, die Kontobesitzer zu finden -
225430	228130	2700	aber das gestalte sich schwierig.
228420.00000000003	231370	2950	Die Leute ziehen in dieser Zeit vielleicht 2- bis 3-mal um.
231460	233690	2230	Und spätestens beim 2. oder 3. Mal
233890	237650	3760	erhalten wir praktisch keine Auskunft mehr von der Gemeinde.
237730	239170.00000000003	1440	Das ist der eine Punkt.
239250	241970	2720	Der 2. Punkt ist, viele Leute verlassen die Schweiz
242050	244730	2680	und sind sich gar nicht bewusst, dass sie noch Geld haben bei uns.
244930	249450	4520	So stammt das liegengebliebene Geld zu einem guten Teil von Saisonniers
249520	251770	2250	aber nicht nur.
251920	254850	2930	Knapp die Hälfte der Konten gehört Schweizern.
255000	257410.00000000003	2410	Als Pensionsberater sucht Markus Kaltenrieder darum
257649.99999999997	260290.00000000003	2640	routinemässig Vermögen, die vergessen wurden.
260490	264410	3920	Er weiss, in welchen Situationen das passiert.
264530	269610	5080	Es gibt verschiedene Lebens- einschnitte, die dazu führen.
269690	273050	3360	Z.B. Stellenwechsel, Pensionskassenwechsel, Scheidungen,
273270	278330	5060	Auslandaufenthalte, Babypausen.
278480	281090.00000000006	2610	Bei der Suche nach vergessenen Guthaben
281170	283890	2720	hilft die Zentralstelle II. Säule.
283970	286250	2280	Die Recherche könnte sich lohnen:
286460	290170	3710	Da auch bei Versicherungen und Banke
290300	294810	4510	kontaktlose Pensionskassenvermögen liegen, dürften insgesamt
294970	297690	2720	über 1 Mio. Menschen Kontobesitzer sein, ohne es zu wissen.
297890	299930	2040	Für Gottfried Maurer hat sich die Suche ausbezahlt:
300150	302410	2260	Er wird dank des unerwarteten Geldsegens jährlich
302610	306370	3760	rund 4'000 Fr. mehr Rente erhalten, wenn er in Pension geht.
