start	end	duration	text
640	2120	1480	.
2290	5440	3150	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6800	8640	1840	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
8780	10600	1820	Und das macht heute Schlagzeilen:
12920	15960	3040	Islamisten rücken Richtung Bagdad vor.
18000	21960	3960	Der Ständerat sagt Ja zum elektronischen Dossier.
23450	27560	4110	Bei US-Vorwahlen wird das republikanische Schwergewicht
27680	30240	2560	Eric Cantor abgestraft.
32380.000000000004	34400	2020	Am Abend lokale Gewitter.
35360	39160	3800	Im Irak kontrollieren jetzt erstmals religiöse Extremisten ganze Gebiete.
39350	43280	3930	In den letzten Tagen hat sich das Machtgefüge im Norden des Landes
43380	45520	2140	einschneidend verschoben -
45720	47680	1960	zugunsten der sunnitischen Aufständischen,
47880	51120	3240	die seit Jahren gegen die schiitisch geprägte Regierung in Bagdad kämpfen.
51300	55040	3740	Gestern haben Dschihadisten der Organisation ISIS -
55150	58800	3650	was so viel heisst wie Islamischer Staat im Irak und Syrien -
58880	62160	3280	in einem Überraschungsschlag die Grossstadt Mosul erobert.
62340	64640	2300	Jetzt stossen sie in Richtung Bagdad vor.
64730.00000000001	68610	3880	Dabei haben sie auch Tikrit unter ihre Kontrolle gebracht.
68720	70210.00000000001	1490	Dass Dschihadisten ganze Provinzen,
70370	73050	2680	Industrien und zentrale Transportrouten kontrollieren,
73160	74930	1770	ist neu im Irak-Konflikt.
76010	80770	4760	Dramatische Bilder. Die Fahrt durch Mosul.
80870	83530	2660	Panzer und Polizeifahrzeuge brennen.
84690	86810	2120	Genau wie Regierungsgebäude.
89080	93729.99999999999	4650	Die Läden geschlossen, die Millionenstadt leer.
93930	97410	3480	Mitten im Zentrum Pickups mit der schwarzen Fahne der Islamisten.
97520.00000000001	100009.99999999999	2490	Diese Fahrzeuge mit aufgebautem Schnellfeuergewehr
100180	102930	2750	sind die Hauptwaffe der Aufständischen.
103120	105130	2010	Damit überwinden sie blitzschnell grosse Distanzen
105350	109330	3980	und überrennen den Gegner.
109970	113170	3200	500'000 Menschen sind auf der Flucht, schätzt die UNO,
113280	114970	1690	und das nur aus Mosul.
115060	117850	2790	Darunter sind Christen, die in Mosul ein Zentrum haben,
118009.99999999999	120850	2840	aber auch Turkmenen, Assyrer und Kurden.
120950	124410	3460	Mosul ist eine multi-ethnische Stadt.
124490	126810	2320	Die Flucht geht nach Norden, nach Kurdistan.
127000	129169.99999999999	2170	Kurdische Peschmerga bewachen die Grenze.
129310	130490.00000000001	1180	Sie sind es auch,
130650	133810	3160	welche für Bagdad die Kohlen aus dem Feuer holen sollen.
135610	137730	2120	Die Angreifer werden von irakischen Sicherheitskräften
137960	141650	3690	in Kooperation mit kurdischen Peschmerga zurückgedrängt.
143690	148490	4800	Der ISIS hält vom syrischen Raqqa und Deir ez-Zor bis Mosul und Falludscha
148660	153410	4750	im Irak ein riesiges Gebiet mit den sunnitischen Hochburgen als Zentrum.
154079.99999999997	155530	1450	Die Hauptstrasse Richtung Süden.
155760	157970	2210	Die Aufständischen stossen nach Bagdad vor.
158140	160570	2430	Tikrit, keine 200 km nördlich von Bagdad,
160750	163450	2700	ist bereits in der Hand der sunnitischen Rebellen.
166030	169170.00000000003	3140	Gestern Mosul, heute weitere Städte wie Tikrit.
169320	171370	2050	Die ISIS-Kämpfer sind auf dem Vormarsch.
171450	173090	1640	Darüber wollen wir mit Guido Steinberg,
173200	175490	2290	Islamwissenschaftler von der Stiftung Wissenschaft und Politik
175620	177530	1910	in Berlin reden.
177710	180850	3140	Guido Steinberg: Welche Bedrohung geht von dieser Organisation
180960	196050	15090	tatsächlich aus? Wir untertiteln live:
196220	198890	2670	Zunächst einmal geht von ISIS eine grosse Gefahr für den Staat aus.
198970	200890	1920	Es ist erstaunlich, dass eine Gruppierung
203020	205370	2350	mit weniger als 10'000 Mann so grosse Erfolge feiern kann
206540	208450	1910	gegen eine Armee und Sicherheitskräfte,
212300	214370	2070	die aus mind. 500'000 Mann bestehen.
215820	217810	1990	D.h., dass im Irak viele Dinge nicht funktionieren.
220460	222610	2150	Oder weniger funktionieren als Beobachter das glaubten.
225329.99999999997	227770	2440	Die Organisation ist ja auch in Syrien sehr aktiv. Woher kommen
228010	229850	1840	diese ISIS-Leute, die jetzt im Irak kämpfen?
233079.99999999997	235450	2370	Die Kämpfer im Irak sind wahrscheinlich hauptsächlich Iraker.
239930	241970	2040	Vermutlich verstärkt mit Syrern
242670	244650	1980	und einigen Ausländern.
252410	254650	2240	ISIS ist eine Nachfolge-Gruppierung einer älteren Gruppe.
257779.99999999997	259890	2110	Es handelt sich um irakische Kämpfer langer Erfahrung,
262970	265650	2680	die in Jahren trainiert worden sind von Angehörigen des ehemaligen
265750	267650	1900	Regimes.
268910	270850	1940	Sie sind hoch motiviert und gut finanziert.
274420	276370	1950	Und sie unterscheiden sich vom irakischen Militär.
278670	281210	2540	Jetzt geht der Vormarsch weiter Richtung Hauptstadt Bagdad. In
281300	283210	1910	welcher Gefahr befindet sich die Regierung?
284430	286330	1900	Bagdad ist nicht gefährdet, denke ich.
291560	294290	2730	ISIS hat die Erfolge in den letzten Monaten eingefahren in Gebieten,
296430	298330	1900	in denen die sunnitische Minderheit lebt.
304630	307230	2600	Bagdad ist seit dem Bürgerkrieg von 2006 und 2007 eine schiitische
307360	309350	1990	Stadt.
310560	312630	2070	Hier werden die Islamisten nicht vorrücken können.
312770	315070	2300	Wenn sie es versuchen, werden sie von schiitischen Milizen
317650	319910	2260	und Elitetruppen des Präsidenten zurückgeschlagen werden.
324620	327390	2770	Wir müssen uns aber Sorgen machen um die Gebiete im Norden des Iraks.
330070	331990	1920	Es ist fraglich, ob die Regierung die Kontrolle dort zurückerhält.
335080	337350	2270	Im Irak sind die Kämpfer des ISIS auf dem Vormarsch.
337450	339390	1940	Und auch international erregen sie Besorgnis.
339590.00000000006	341750	2160	In Mosul haben sie nämlich das türkische Konsulat besetzt
341890	344470	2580	und den Konsul als Geisel genommen.
344630	349070	4440	Insgesamt befinden sich 80 türkische Bürger in der Hand der Islamisten.
349250	351750	2500	Dass diplomatische Einrichtungen angegriffen werden,
351850	354590.00000000006	2740	empört die Politik weltweit.
356010	359510	3500	Ich war schockiert, als ich hörte, dass diese Terroristen
359670	363230	3560	den türkischen Generalkonsul und viele weitere Konsularbeamte
363340	368830	5490	in Mosul gekidnappt haben.
368930	371750	2820	Das ist völlig inakzeptabel.
371950	376470	4520	Als UNO-Generalsekretär verurteile ich aufs Schärfste
376580	382590	6010	solche terroristische Angriffe auf diplomatisches Personal.
386250	389310	3060	Einfacher, schneller, vernetzter.
389410	394080	4670	Ärzte und Spitäler sollen künftig Patientendaten elektronisch erfassen
394330	397240	2910	und dann schweizweit untereinander austauschen können.
397430	400320	2890	Der Ständerat hat heute einem entsprechenden Gesetz zugestimmt -
400430	402000	1570	ohne jegliche Widerstände.
402159.99999999994	404880	2720	Sogar der Datenschutz war im Rat kein Thema mehr.
405060	409480	4420	Das Gesetz garantiert Patienten ein hohes Mass an Anonymität.
409690	411440	1750	Zudem braucht es für ein elektronisches Dossier
411650	414360	2710	sowieso die Einwilligung der Patienten. Hanspeter Forster:
415810	418000	2190	Krankengeschichten ausschliesslich auf Papier
418250	420200	1950	führen heute nur noch wenige Spitäler.
420330	423240	2910	Vielerorts arbeitet man heute schon mit elektronischen Dossiers.
423430	425960	2530	Nun soll das Speichern dieser Daten und der Austausch
426120	429640	3520	zwischen Ärzten und Spitälern schweizweit vereinheitlicht werden.
429730	433200	3470	Das soll die Abläufe verbessern und Geld sparen - aber nicht nur.
434040	436440	2400	Viel wichtiger ist für mich aber,
436610	439480	2870	dass mit einem elektronischen Patientendossier
439670	442560	2890	und der damit verbundenen verbesserten Rückverfolgbarkeit
442700	446960	4260	ein Sicherheitsgewinn und eine verbesserte Effizienz
447130	450240	3110	in der Behandlungskette resultieren wird.
450450	454240	3790	Das sah der Rat ebenso. Zu reden gab einzig die Freiwilligkeit.
454330	456520	2190	Jeder Arzt, jeder Patient kann selbst entscheiden,
456720	459400	2680	ob ein elektronisches Dossier geführt wird oder nicht.
459530	462200	2670	Das könnte Probleme geben, hiess es.
463110	466000	2890	Wenn ein Patient zu seinem Hausarzt geht,
466120	469440	3320	der im System angeschlossen ist,
469520	473640	4120	und dieser ihn zum Herzspezialisten schickt,
473770	478320	4550	der diesen Zugriff nicht hat ... Tja, was nützt ihm denn das?
478430	481640	3210	Bundesrat Berset hielt mit dem Hin- weis dagegen, dass in den Spitälern
481790	485520	3730	das elektronische Patientendossier ohnehin Pflicht werde.
486250	489200	2950	Das ist eine sehr pragmatische, sehr effiziente Lösung.
489380	492840	3460	Wir müssen nicht über alle 8 Mio. Bürger so ein Dossier führen.
493030	496600	3570	Sondern nur in Fällen, wo es wirklich Sinn macht.
497400	499120	1720	Der Ständerat liess sich überzeugen.
499320	500840	1520	Das elektronische Patientendossier
501030	503400	2370	wurde schliesslich ohne Gegenstimme gutgeheissen.
504990	509240	4250	Elektronische Patientendossiers, das kennen einige Kantone schon.
509400	512600	3200	Im Kanton St. Gallen z.B. läuft das entsprechende Projekt
512679.99999999994	515679.99999999994	3000	unter dem Namen Ponte Vecchio - alte Brücke also.
515820.00000000006	518520	2700	Das deshalb, weil es zwischen Hausärzten und Spitälern
518659.99999999994	520600	1940	eben eine Brücke schlagen will.
520760	522440.00000000006	1680	So können Hausärzte schnell und einfach
522590.00000000006	526480	3890	auf Patientendaten der St. Galler Spitäler zugreifen.
526690	529320	2630	Und die ersten Erfahrungen sind derart positiv,
529480	532320	2840	dass das Projekt sogar ausgebaut werden soll. Fabienne Frei.
533720	536960	3240	In der Praxis von Hausarzt Andreas Diethelm
537030	540120	3090	stapeln sich nur noch wenige Patientendossiers.
540200	543840	3640	Seit 3 Jahren arbeitet Diethelm nicht mehr mit Papier,
543950	546720	2770	sondern mit dem elektronischen Patientendossier.
547410	549290	1880	Wenn ich es mit meiner Papier-KG vergleiche,
549370	551450	2080	habe ich heute eine viel bessere Übersicht
551580	553650	2070	über die verschiedenen Komponenten.
553810	558970	5160	Ich kann auch Werte von früher mit heute besser vergleichen.
559090	562730	3640	Ich brauche nicht mehr so lange, um einen Bericht zu schreiben,
563000	567730	4730	weil ich die dazugehörigen Daten direkt übernehmen kann.
567870	569690	1820	Das elektronische Patientendossier
569970	572530	2560	ist für die Patienten freiwillig und kostenlos,
572650	575530	2880	Einsicht haben sie allerdings keine.
575710	579290	3580	Über 500 Patienten von Diethelm haben heute ein digitales Dossier.
580650	583090	2440	Die Patienten sind am Anfang vielleicht etwas erstaunt,
583200	585450	2250	dass ich nicht den Kugelschreiber in der Hand habe,
585600	587610	2010	sondern die Tastatur benutze.
587780	591290	3510	Aber mit der Zeit gewöhnt man sich beidseitig daran.
591490	596290	4800	Umgewöhnen mussten sich auch die beteiligten St. Galler Spitäler,
596490	599930	3440	denn die Ärzte erfassen den Austrittsbericht nun elektronisch.
600030	604050	4020	Die sensiblen Daten seien aber jederzeit gut gesichert.
604170	606810	2640	Die Daten werden nicht irgendwo zentral gespeichert,
607030	609650	2620	sie werden auch nicht auf eine Karte geschrieben,
609790	611530	1740	die Sie verlieren könnten.
611710	615010	3300	Die Daten bleiben dort, wo sie erstellt worden sind.
615170	619410	4240	Nun soll das Projekt weiter ausgebaut werden.
619490	621810	2320	Wir haben schon in ersten Gesprächen von den Hausärzten gehört,
622020	624850	2830	dass sie auch Bilder sehen möchten,
625040	627010	1970	dass sie die Laborberichte strukturiert erhalten möchten,
627180	630130	2950	dass sie aber auch gerne Termine online buchen möchten,
630300	633690	3390	sodass der Einweisungsprozess für sie schneller geht.
633880	638730	4850	Papierdossiers dürften in St. Galler Hausarztpraxen wohl bald passe sein.
640140	642130	1990	In der Schweiz sollen Asylgesuche
642300	645170	2870	künftig schneller und fairer behandelt werden,
645350	647770	2420	d.h., innerhalb von maximal 140 Tagen.
647850	651970	4120	Das Bundesamt für Migration testet dieses beschleunigte Asylverfahren
652050	656090	4040	seit Anfang Jahr in Zürich- Altstetten. Offenbar mit Erfolg:
656250	660930	4680	Bis Ende Mai wurden dem Zentrum knapp 800 Asylsuchende zugewiesen.
661180	664290	3110	Rund die Hälfte der Fälle konnte bereits erledigt werden -
664400	666330	1930	eine gute Quote, wenn man bedenkt,
666550	669730	3180	dass Verfahren im Extremfall mehrere Jahre dauern können.
669920	673650	3730	44 Flüchtlinge erhalten Asyl in der Schweiz.
673800	675810	2010	Geht es mit dem Testbetrieb so weiter,
675980	679890	3910	können bis Ende Jahr 1'500 Asylgesuche abgeschlossen werden.
682090	686330	4240	Altstetten: seit Anfang dieses Jahres Unterkunft für etwa 300 Asylsuchende.
686520	689650	3130	Kleine, aber immerhin private Schlafzimmer,
689810	693530	3720	diverse Aufenthaltsräume, Spielzimmer.
694120	695730	1610	Es gibt Beschäftigungsangebote,
695890	699050	3160	schulpflichtige Kinder werden unterrichtet.
699170	702450	3280	Und: In der Nähe der Unterkunft ist das Verfahrenszentrum.
702530	704810	2280	Dort wird befragt, untersucht -
705000	708210	3210	die Flüchtlinge erhalten fundierte Rechtsberatung.
