start	end	duration	text
3130	4990	1860	.
5130	8990	3860	"""10vor10"" mit Stephan Klapproth."
9190	11390	2200	Meine Damen und Herren, guten Abend. Unsere Themen heute:
15860	17390	1530	Die Behörden konnten Ausschreitungen
17590	19950	2360	rund um den Cupfinal nicht verhindern.
24480	28910	4430	Im Tessin lebe es sich mit 4'000 Fr. besser als in Zürich.
33360	37270	3910	Wer am Tag ohne Licht fährt, wird nun von der Polizei konsequent gebüsst.
39640	42430	2790	Wie ein Schweizer zum aggressivsten Sprayer von Wien wurde
42680	44910	2230	und selbst in der Graffiti-Szene verachtet wird.
46660	49150	2490	1:1-Untertitelung. Livepassagen können Fehler enthalten.
53020	55390	2370	Ein fröhlicher Fussball-Festtag geht anders.
55500	59150	3650	Trotz klarer Auflagen der Stadtberner Behörden gab es
59400	62630	3230	gestern beim Cupfinal FCB gegen FCZ am Rande von Fan-Märschen
62790	65990	3200	in Berns Innenstadt mächtig Zoff, und derweil
66150	69670	3520	die harmloseren Ramba-Zamba-Macher Feuerwerkskörper zündeten,
69870	73830	3960	gingen da und dort radikale Unruhestifter auf Polizisten los
73970	76470	2500	oder schlugen Schaufenster ein.
76670	79030	2360	Die Berner Bevölkerung hat im Februar dem Beitritt
79240	81630	2390	zum verschärften Hooligan-Konkordat haushoch zugestimmt.
81830	86350	4520	Dieses interkantonale Abkommen sieht zwar griffigere Massnahmen vor.
86550	89350	2800	Doch gegriffen haben die, wie Rolf Gatschet berichtet,
89440	90590	1150	augenscheinlich nicht:
93880	96870	2990	Bilanz des Berner Cupfinals: Schaufenster in Scherben,
97000	100680	3680	Uhren und Taschen geklaut, mehrere Zehntausend Franken Schaden.
100810	102640	1830	Diebesgut nicht eingerechnet.
102840	106520.00000000001	3680	Für Ladenbesitzer Andrea Ruffner ein jährlich wiederkehrendes Ritual.
106750	111720	4970	Ein Übel, dass ihn bis zu einem gewissen Grad resignieren lässt.
112890	115039.99999999999	2150	Es ist ein Schaden, wie jeder andere auch.
115210.00000000001	118720	3510	Das gibt es einfach, damit muss man leben.
119160	121120	1960	Wer bezahlt das am Schluss?
121200	122480	1280	Die Versicherung.
122560	124680	2120	Die gestrigen Fanmärsche lassen
124910	127680	2770	nicht nur die Ladenbesitzer und ihre Versicherungen finanziell bluten,
127880	131640	3760	auch die Berner Steuerzahler müssen tief ins Portemonnaie greifen:
131880	136480	4600	wegen des Chaos der Fussball-Fans und des Polizei-Grossaufgebots.
136650	139440	2790	Das kratzt am Cupfinal-Image:
139600	141920.00000000003	2320	Ich kann verzichten auf das Cupfinale hier in Bern,
142000	144400	2400	wenn es immer so Theater gibt.
144640	147440	2800	Die Ausrede der Fanclubs ist immer, es seien nur 10, 20 oder 30,
147530	151040	3510	aber dass dann die anderen 6'000 nicht im Stande sind,
