start	end	duration	text
1890	7450	5560	"""10vor10"" mit Stephan Klapproth."
8100	10850	2750	Meine Damen und Herren, guten Abend. Unsere Themen heute:
12040	17050	5010	Nach dem Drama um eine syrische Migrantin
17190	20020	2830	soll sich der Bundesrat entschuldigen.
20660	25020	4360	Die Gegenschläge der Palästinenser hingegen
25110	27780	2670	prallen am Schutzschild Iron Dome ab.
28310	31900	3590	Die Denkfabrik Avenir Suisse
32060.000000000004	35820	3760	fordert neue Wege zur Finanzierung der Pflegekosten.
36360	42180	5820	Pharrell Williams sorgt am nasskalten Open Air Frauenfeld für Stimmung.
42620	46580	3960	1:1-Untertitelung. Livepassagen können Fehler enthalten.
48520	51460	2940	Wir haben ihn gestern publik gemacht:
51690	54860	3170	den tragischen Fall einer Flüchtlingsfamilie aus Syrien.
54940	57580	2640	Auf dem Rückschaffungstransport durch die Schweiz
57770	62380	4610	hat eine hochschwangere Syrerin nach schweren Blutungen ihr Baby verloren.
62590	64980.00000000001	2390	Ihr Mann beschuldigt die Schweizer Grenzwachtbeamten,
65060	68340	3280	die den Transport begleiteten, seiner Frau über Stunden und Stunden
68539.99999999999	71140	2600	medizinische Hilfe vorenthalten zu haben.
71310	73620	2310	Behörden in Italien, wo die Familie herkam,
73830	77420	3590	untersuchen ebenfalls und verlangen von der Schweiz Rechtshilfe.
77590	80780	3190	Die Schweizer Flüchtlingshilfe reagiert schockiert auf das Drama.
80930	83500	2570	Es geht erneut um sehr ernste und schwere Fragen
83640	85539.99999999999	1900	im Beitrag von Philipp Zahn,
85630	88340	2710	auch wenn der Bericht mit einem kleinen Lichtblick beginnt:
89620	93580	3960	Heute kann Omar wieder lächeln. Am Vormittag holt der syrische Vater
93720	97100	3380	seine 6-jährige Tochter und seinen 4-jährigen Sohn.
97229.99999999999	99740.00000000001	2510	Seit der Noteinlieferung der Ehefrau ins Krankenhaus
99850	102460.00000000001	2610	war die Familie getrennt.
102610	106740.00000000001	4130	Ich möchte Italien danken - der Polizei, dem Roten Kreuz,
106900	110500	3600	allen, die uns in diesen Tagen geholfen haben.
110720	113460.00000000001	2740	Meine 2 älteren Kinder wurden in Mailand gut behandelt.
113670	118140	4470	Sie waren dort in einem Notaufnahmelager.
118310	120420	2110	Jetzt ist die Familie wieder vereint.
120620	123820	3200	Ehefrau Suha gehe es den Umständen entsprechend gut -
123990	128539.99999999999	4550	6 Tage nach der Totgeburt im 7. Schwangerschaftsmonat.
128750	131420	2670	Sarah sollte die jüngste Tochter heissen.
131540	135020	3480	In Domodossola wurde sie gestern unter grosser Anteilnahme beerdigt.
135130	136940	1810	Ihren Obduktionsbericht
137110	139700	2590	wollen die Italiener spätestens übermorgen vorlegen:
139790	141820	2030	Anhand der Todeszeit will man erfahren,
142030	145500	3470	ob das Kind in Italien oder noch in der Schweiz verstorben ist.
145650	149500	3850	Das weitere Verfahren wird davon abhängig sein.
149610	152500	2890	Der Vater und Lehrer aus Aleppo will wissen,
152710	157180	4470	wer für die grobe Behandlung in der Schweiz verantwortlich war.
159190	162220	3030	In der Zelle wollte ich wenigstens wissen, wo wir sind.
162360	164860	2500	Keiner hat mir eine Antwort gegeben.
164950	167780	2830	Da habe ich angefangen, mit meinem Handy zu filmen.
167870	169820	1950	Irgendwann haben die Beamten das gemerkt und gesagt,
169910	171700	1790	ich solle aufhören.
171790	173740	1950	Ich wollte nicht, und dann wurden sie grob.
173980	176180	2200	Sie haben mich wieder in die Zelle zurückgestossen und gesagt,
176329.99999999997	180740	4410	sie machen erst wieder auf, wenn ich alles gelöscht habe.
180950	182860	1910	Die Oberzolldirektion in Bern
183070	185940	2870	will sich zu diesen Vorwürfen nicht vor der Kamera äussern.
186140	189580	3440	"Auf Anfragen von ""10vor10"" aber wird bestätigt:"
199490	202940	3450	Eine lückenlose Aufklärung im Fall der hochschwangeren Ehefrau
203100	205820	2720	erwartet auch die Schweizer Flüchtlingshilfe.
206030	211860	5830	Sie fordert sogar eine offizielle Entschuldigung durch den Bundesrat.
211970	214380	2410	Wir alle sind total schockiert.
214520	217980	3460	Wir müssen über den Tag hinaus denken und sagen:
218150	221820	3670	Der Umgang mit verletzlichen Personen im ganzen Asylwesen
221960	225300	3340	muss überdacht werden.
225480	229060	3580	Wenn die Leute ein offensichtliches medizinisches Problem haben
229260	232180	2920	oder im Fall einer hochschwangeren Frau
232329.99999999997	234740	2410	braucht es zuerst die medizinische Versorgung
234829.99999999997	236980	2150	und erst dann die Bürokratie.
237090	239140	2050	Was ist am letzten Samstag
239300	242300	3000	bei der Überführung der Migranten nach Brig passiert?
242500	244740	2240	Warum hat eine Frau im 7. Schwangerschaftsmonat
