start	end	duration	text
2580	4340	1760	.
4570	7420	2850	"""10vor10"" mit Daniela Lager."
8820	10230	1410	Guten Abend, meine Damen und Herren,
10410	12270	1860	Fakten und Hintergründe heute zu diesen Themen:
14160	18320	4160	Ein Lufthansa-Kapitän verdient fast so viel
18450	21080	2630	wie Bundeskanzlerin Angela Merkel.
23410	26720	3310	Wirtschaftsanwalt Thomas Stähelin
26870	30800	3930	sitzt in 41 Schweizer Verwaltungs- und Stiftungsräten.
33140	37160	4020	Svenjas Mutter täuschte Polizei und Behörden.
39860	44840	4980	Skandal-Regisseur Lars von Trier stellt eine Krankheit ins Zentrum,
45050	47520	2470	die es so wohl gar nicht gibt.
49400	54280	4880	1:1-Untertitelung. Livepassagen können Fehler enthalten.
56240	61440	5200	Das machte viele Menschen in Deutschland fast etwas neidisch:
61590	65560	3970	Die Swiss - eine Lufthansa-Tochter - fliegt heute nach Plan.
65680	69160	3480	Nicht so die Lufthansa selber.
69230	71280	2050	Ein Pilotenstreik über volle 3 Tage zwingt die deutsche Fluglinie
71520	75000	3480	und die 2 Tochtergesellschaften Germanwings und Cargo auf den Boden.
75120	77080	1960	Was um Mitternacht begann,
77240	80039.99999999999	2800	dürfte als bislang grösster Pilotenstreik
80250	83440	3190	in die Geschichte der Lufthansa eingehen. 3'800 Flüge fallen aus.
83590	85760	2170	Die Piloten fordern deutlich mehr Lohn
85970	88640	2670	und weiterhin eine Frührente mit 55.
88800	91240	2440	Die Captains grosser staatlicher Fluglinien
91410	95000	3590	galten bislang als privilegiert - und v.a. als äusserst gut bezahlt.
95210.00000000001	98880	3670	Ein Mythos? Antworten von Rahel Sahli und Sarah Weber.
100770.00000000001	105440	4670	Einer von 425'000 Passagieren, die wegen des Streiks am Boden blieben.
105570	109360	3790	Viele sind irgendwo gestrandet, andere gar nicht erst gekommen.
109520.00000000001	112160	2640	Gähnende Leere auf den deutschen Flughäfen.
112289.99999999999	115039.99999999999	2750	Fast alle Lufthansa-Flüge waren annulliert.
115210.00000000001	117560	2350	Ich fliege heute über Wien, Dubai und Singapur,
117780	122360	4580	und bin 25 Std. unterwegs - statt der geplanten 12 1/2 Std.
122540	124960	2420	Es ist für uns Vielflieger natürlich ärgerlich.
125130	128360.00000000001	3230	Unsere Freunde wollten heute mit der Lufthansa kommen
128520.00000000001	131760	3240	und mussten umbuchen, um das ganze Chaos zu umgehen.
131860	133280	1420	Der Grund:
133520	136880	3360	5'000 Lufthansa-Piloten waren auf der Strasse anstatt im Cockpit.
137000	138440	1440	Sie fordern mehr Lohn
138550	141480	2930	und wollen weiterhin mit 55 in Rente gehen dürfen.
141630	145560	3930	Dieses Privileg hatte die Lufthansa kürzlich abgeschafft.
146650	149680	3030	Dies ist für uns eine solche Provokation,
149820	152760	2940	dass wir hier direkt Flagge zeigen müssen.
152920.00000000003	155800	2880	Wir haben lange genug mit Lufthansa verhandelt.
155950	158640	2690	Tobias Mattle, Sprecher der Schweizer Pilotengewerkschaft,
158800	162480	3680	solidarisiert sich mit den deutschen Kollegen.
162570	164480	1910	Gerade die Möglichkeit, früh in Rente zu gehen,
164620	167560	2940	eminent wichtig. Der Job lauge aus.
167770	169480	1710	Piloten werden relativ stark belastet.
169650	172360	2710	D.h., man hat Schichtdienst,
172520	174280	1760	dieser wechselt z.T. morgens um 4 Uhr -
174530	176880	2350	am nächsten Tag arbeitet man bis Mitternacht.
177000	178680	1680	Man hat Jetlag - das kennen Sie,
178870	181440	2570	wenn Sie von Amerika zurück nach Europa kommen -
181670	183400	1730	das ist sehr belastend.
183580	185720	2140	Die Umgebung im Flugzeug: sehr trockene Luft,
185810	187760	1950	eine grosse Strahlenbelastung -
187860	190080	2220	das alles führt zu einer hohen Belastung,
190320	192960	2640	die es für Piloten über 50 von der Gesundheit her sehr schwierig macht.
193110	195320	2210	Doch wie sieht es aus mit dem Lohn?
195500	198120	2620	Verdienen Lufthansa-Piloten tatsächlich so wenig,
198270	200200	1930	dass sie streiken müssen? Im Gegenteil.
200260	202360	2100	Ein Lufthansa-Pilot mit 20 Jahren Erfahrung
202500	205360	2860	kann heute mit allen Zulagen in Schweizer Franken umgerechnet
205390	208520	3130	bis zu 310'000 Fr. verdienen.
208700	211400	2700	Im Vergleich: Ein Swiss-Pilot kommt nach 25 Jahren
211560	216960	5400	auf max. 210'000 Fr. - rund 100'000 weniger als der deutsche Kollege.
217150	219960	2810	Man staune: Sogar die deutsche Bundeskanzlerin
220170.00000000003	224160	3990	verdient nicht viel mehr als ein Lufthansa-Pilot.
224220	226760	2540	Das ärgert die Passagiere.
226970	229000	2030	Dass ausgerechnet die gut verdienenden Piloten
229120	231000	1880	jetzt noch mehr Lohn fordern,
231210	234720	3510	sorgte heute am Flughafen Berlin-Tegel für Unmut.
234930	237520	2590	Unmöglich. Warum?
237670.00000000003	241120	3450	Weil sie schon nicht schlecht verdienen.
241290	243680	2390	Es ist schwierig - einerseits gönne ich ihnen natürlich mehr Gehalt,
243930	246560	2630	aber andererseits - weil sie eine Key-Funktion einnehmen -
246690	248160	1470	ist es schon schlecht.
248300	252600	4300	Bei den Gehältern kann ich mich nicht ganz damit anfreunden.
252760	259959.99999999997	7200	Sie würden sagen, Ihre Renten- situation ist nicht so gut -
260070	262240	2170	Wir fragen den Luftfahrtexperten der Universität St. Gallen,
262260	264320	2060	Andreas Wittmer.
264530	266160	1630	Ist der hohe Lohn und die Forderung nach noch mehr Geld
266250	267960	1710	im heutigen Umfeld der Luftfahrtbranche gerechtfertigt?
268180	269960	1780	Der Lohn ist sehr hoch - v.a. für eine Industrie,
270190	272050	1860	die mit sehr kleinen Margen operieren muss,
272140	274010	1870	einen sehr hohen Preisdruck hat
274210	276730	2520	und sich im Markt auch mit Billigairlines abgeben muss.
276820	280770	3950	Kommt dazu, dass für die Airline der Streik teuer zu stehen kommt.
281000	283650	2650	Dass ihre Flugzeuge 3 Tage lang am Boden bleiben,
283740	287850	4110	kostet die Lufthansa geschätzt 80 Mio. Euro.
287940	289970	2030	Dieser Streik kostet Lufthansa ja Millionen.
290170	293170	3000	Gefährdet man damit nicht auch als Pilot das eigene Unternehmen?
293260	295170	1910	Kein Pilot streikt gerne.
295310	298170	2860	Einerseits schadet das dem Unternehmen, das ist richtig.
298350	301130	2780	Andererseits ist es auch für die Passagiere sehr unangenehm.
301290	303250	1960	In der Situation, in der wir jetzt sind,
303400	306650	3250	wo es aber um die Renten geht - um die Sicherheit der Altersrente -
306810	309530	2720	aber auch um die Sicherheit in der Luftfahrt,
309660	312050	2390	ist eine solche Ausnahmesituation gerechtfertigt.
312150	313890	1740	Damit in den nächsten Tagen
313970	316570	2600	wenigstens einige Passagiere abheben können,
316740	320210	3470	bucht die Lufthansa viele Gestrandete auf die Tochter Swiss um.
322360	324450	2090	Wir schalten zu Stefan Reinhart nach Berlin, guten Abend.
324650	328610	3960	Der Beitrag zeigt, die Piloten verdienen heute schon gut, sehr gut.
328690	331770	3080	Sie wollen noch mehr und v.a. weiterhin früh in Rente.
331850	333890	2040	Können sie damit durchkommen?
333970	337130	3160	Wir untertiteln live:
341760	344130	2370	das ist derzeit noch komplett offen.
345650	348409.99999999994	2760	Es finden keine Gespräche statt zurzeit.
354770	358330	3560	Die Strategie der Lufthansa Piloten ist risikoreich,
359630	363450	3820	die Lufthansa fliegt auch international mit hohen Kosten.
364010	367930	3920	Auf der Lohnseite gibt es praktisch keinen Spielraum mehr.
373020	377530	4510	Es könnte sein, dass die Piloten der Lufthansa am eigenen Ast schneiden.
377670	380570	2900	Sie sind immer noch sehr komfortabel international gesehen.
380530	382770	2240	Deutschland hat eine andere Streik- kultur als etwa die Schweiz.
