start	end	duration	text
2000	3990	1990	.
4200	6990	2790	1:1-Untertitelung.
8230	10070	1840	"Das ist die ""Tagesschau""-Hauptausgabe vom 15. Juni,"
10310	12390	2080	guten Abend, meine Damen und Herren, ich begrüsse Sie!
13840	16910	3070	Bagdad meldet Erfolge gegen die Dschihadisten.
19480	23310	3830	Verbände sind uneins über eine Erhöhung des Benzinpreises.
26070	29590	3520	Ein Australier gewinnt die Königsetappe der Tour de Suisse.
32220	36200	3980	Sotheby's zeigt Graffiti-Kunst des unbekannten Sprayers.
38630	40840	2210	Im Norden sonniger als im Süden.
42950	44840	1890	Aber zum Allerwichtigsten gehört natürlich auch
45070	47330	2260	die Partie Schweiz gegen Ecuador, die im Moment läuft.
47480	50210	2730	Die Details zum Match hat meine Kollegin vom Sport -
50250	51570	1320	Daniela Milanese.
52910	55370	2460	Seit 18 Uhr wird im Estadio Nacional in Brasilia gespielt.
55470	57450	1980	Die Schweiz geriet früh in Rücklage,
57650	60290	2640	konnte die Partie dann aber ausgleichen.
60380	65930	5550	Zurzeit steht es 1:1. Zu spielen bleiben noch rund 15 Min.
66030	68330	2300	Sie können die Partie auf SRF zwei live sehen.
68500	71690	3190	Hier ist der erste WM-Auftritt der Schweiz etwas später wieder Thema.
73340	76130	2790	Und wir schauen jetzt auf das politische Top-Thema des Tages,
76210.00000000001	78330	2120	in den Irak.
78450	80970	2520	Dort ist der brutale Vormarsch der radikalen Islamisten der ISIS
81090	83090	2000	vorläufig gestoppt worden.
83310	85570	2260	Die irakische Armee ging zum Gegenangriff über
85710.00000000001	88570	2860	und hat nach eigenen Angaben 2 Städte nördlich von Bagdad zurückerobert.
88700	90970	2270	Auch die USA haben reagiert
91070	94450	3380	und Kriegsschiffe in die Krisenregion verlegt.
94539.99999999999	97930	3390	Der Widerstand der Schiiten scheint also - nach den jüngsten Meldungen -
98039.99999999999	100330	2290	stärker zu werden.
100550	103130	2580	Nach der anfänglichen Schockstarre sind Hunderte von Freiwilligen
103259.99999999999	105130	1870	zur irakischen Armee gestossen,
105229.99999999999	107570	2340	um die regulären Truppen zu unterstützen.
107729.99999999999	111130	3400	Unterdessen ist unser Nahost- korrespondent Pascal Weber im Irak,
111250	113410	2160	genauer in Kalak, angekommen.
113580	117930	4350	Kalak liegt am Grenzübergang zwischen dem autonomen Kurdengebiet
118150	121050	2900	und der Provinz Mosul, von wo viele Menschen fliehen.
121160	124530	3370	Viele andere allerdings machen sich bereits wieder auf den Rückweg.
125890	129090	3200	Fiteh Ahmed Hammoudi will zurück. Zurück nach Mosul.
129220	131890	2670	Wir gehen zurück nach Mosul. Für uns ist Mosul befreit.
131990	135090	3100	Befreit von den Truppen von Ministerpräsident Maliki.
135230	137490	2260	Für uns haben die Islamisten die Stadt befreit,
137630	141329.99999999997	3700	und zwar mithilfe von vielen Kämpfern aus Mosul.
141480	144090	2610	So wie Fiteh Hammoudi denken offensichtlich viele.
144190	146650	2460	Sie sind vor ein paar Tagen vor den Kämpfen
146740	150090	3350	hierher in die sicheren Kurdengebiete geflohen, jetzt wollen sie zurück,
150350	153530	3180	auch wenn sie nicht genau wissen, wie es dort aussieht.
153650	156140	2490	Für andere ist es noch zu früh.
156270	159380	3110	Gleich neben der Strasse ist ein Flüchtlingslager entstanden.
159560	162900	3340	Hier lebt auch die Familie von Khalida Yassin.
163170.00000000003	165380	2210	Was in Mosul genau passiert, weiss sie nicht.
165620	167940	2320	Zurück will sie noch nicht:
168030	170340	2310	5 Tage lang wurde gekämpft.
170579.99999999997	174540	3960	Wir konnten nicht raus, uns ging das Essen aus.
174790	178940	4150	Da haben wir unsere Sachen gepackt und sind geflohen!
179040	181060	2020	So wie viele andere auch.
181200	184340	3140	Auch an diesem Tag strömen weitere Flüchtlinge aus Mosul
184420	188260	3840	in Richtung Erbil, ins sichere autonome Kurdengebiet:
188440	190860	2420	Im Moment gibt es keine Kämpfe mehr in Mosul,
191050	195060	4010	aber es gibt keine Polizei, keine Armee, deshalb gehen wir lieber,
195220	198340	3120	man weiss nie, was geschieht.
198570	201660	3090	Die Flüchtlinge fürchten sich nicht nur vor den islamistischen Kämpfern:
201910	204300	2390	Sie fürchten sich auch vor möglichen Versuchen
204340	206500	2160	der irakischen Zentralregierung,
206650	209260	2610	Mosul mit Waffengewalt zurückzuerobern.
209440	213380	3940	Auch wenn diese Angst in den letzten Tagen abgenommen hat:
213470	215100	1630	Die Bewegung geht in beide Richtungen.
215230	217579.99999999997	2350	Diejenigen, die sich mehr vor den Rückeroberungsbomben
217740	219660	1920	der irakischen Armee gefürchtet haben,
219750	222100	2350	machen sich bereits auf den Rückweg nach Mosul.
222210	224260	2050	Andererseits fliehen nach wie vor viele Menschen
224350	227420.00000000003	3070	vor den islamistischen Kämpfern aus Mosul
227630	229980	2350	ins benachbarte sichere Kurdengebiet.
231760	234020	2260	Israel hat 2'000 Soldaten ins Westjordanland entsandt -
234200	237540	3340	sie sollen bei der Suche nach 3 entführten Jugendlichen helfen.
237710	239820	2110	Premierminister Netanjahu gibt die Schuld
240050	243380	3330	am Verschwinden der jungen Männer der radikalislamischen Hamas.
244940	246460	1520	Israelische Sicherheitskräfte
246630	250140	3510	suchen seit Donnerstagabend intensiv nach ihnen - bisher ohne Erfolg.
250310	253500	3190	Die Jugendlichen - 2 16-Jährige und ein 19-Jähriger -
253580	256660.00000000003	3080	besuchen eine jüdische Religionsschule bei Bethlehem.
256850.00000000003	259579.99999999997	2730	An der Kabinettsitzung sagte Premier Benjamin Netanjahu,
259750	263260	3510	hinter der Tat stehe dieselbe Hamas, die mit der gemässigten Fatah
263440	266700	3260	die palästinensische Einheitsregierung bilde.
266840	269100	2260	Er drohte mit harten Konsequenzen.
270970	272540	1570	Nach dem Abschuss eines Militärflugzeugs
272680	274780	2100	gedenkt die Ukraine der Opfer.
274870	276100	1230	Und sie droht Russland
276250	278659.99999999994	2410	mit einem Abbruch der diplomatischen Beziehungen,
